,series_id,year,period,value,footnote_codes
247791,CEU6000000007    ,1964,M13,37.4,
247804,CEU6000000007    ,1965,M13,37.3,
247817,CEU6000000007    ,1966,M13,37.0,
247830,CEU6000000007    ,1967,M13,36.6,
247843,CEU6000000007    ,1968,M13,36.3,
247856,CEU6000000007    ,1969,M13,36.3,
247869,CEU6000000007    ,1970,M13,35.9,
247882,CEU6000000007    ,1971,M13,35.5,
247895,CEU6000000007    ,1972,M13,35.5,
247908,CEU6000000007    ,1973,M13,35.5,
247921,CEU6000000007    ,1974,M13,35.3,
247934,CEU6000000007    ,1975,M13,35.1,
247947,CEU6000000007    ,1976,M13,34.9,
247960,CEU6000000007    ,1977,M13,34.7,
247973,CEU6000000007    ,1978,M13,34.6,
247986,CEU6000000007    ,1979,M13,34.4,
247999,CEU6000000007    ,1980,M13,34.3,
248012,CEU6000000007    ,1981,M13,34.3,
248025,CEU6000000007    ,1982,M13,34.2,
248038,CEU6000000007    ,1983,M13,34.4,
248051,CEU6000000007    ,1984,M13,34.3,
248064,CEU6000000007    ,1985,M13,34.2,
248077,CEU6000000007    ,1986,M13,34.3,
248090,CEU6000000007    ,1987,M13,34.3,
248103,CEU6000000007    ,1988,M13,34.2,
248116,CEU6000000007    ,1989,M13,34.2,
248129,CEU6000000007    ,1990,M13,34.2,
248142,CEU6000000007    ,1991,M13,34.0,
248155,CEU6000000007    ,1992,M13,34.0,
248168,CEU6000000007    ,1993,M13,34.0,
248181,CEU6000000007    ,1994,M13,34.1,
248194,CEU6000000007    ,1995,M13,34.1,
248207,CEU6000000007    ,1996,M13,34.1,
248220,CEU6000000007    ,1997,M13,34.3,
248233,CEU6000000007    ,1998,M13,34.3,
248246,CEU6000000007    ,1999,M13,34.4,
248259,CEU6000000007    ,2000,M13,34.5,
248272,CEU6000000007    ,2001,M13,34.2,
248285,CEU6000000007    ,2002,M13,34.2,
248298,CEU6000000007    ,2003,M13,34.1,
248311,CEU6000000007    ,2004,M13,34.2,
248324,CEU6000000007    ,2005,M13,34.3,
248337,CEU6000000007    ,2006,M13,34.6,
248350,CEU6000000007    ,2007,M13,34.8,
248363,CEU6000000007    ,2008,M13,34.8,
248376,CEU6000000007    ,2009,M13,34.7,
248389,CEU6000000007    ,2010,M13,35.1,
248402,CEU6000000007    ,2011,M13,35.2,
248415,CEU6000000007    ,2012,M13,35.3,
248428,CEU6000000007    ,2013,M13,35.4,
248441,CEU6000000007    ,2014,M13,35.6,
248454,CEU6000000007    ,2015,M13,35.5,
248467,CEU6000000007    ,2016,M13,35.4,
248480,CEU6000000007    ,2017,M13,35.4,
248493,CEU6000000007    ,2018,M13,35.4,
248506,CEU6000000007    ,2019,M13,35.4,
248519,CEU6000000007    ,2020,M13,35.8,
248543,CEU6000000008    ,1964,M13,3.17,
248556,CEU6000000008    ,1965,M13,3.28,
248569,CEU6000000008    ,1966,M13,3.39,
248582,CEU6000000008    ,1967,M13,3.51,
248595,CEU6000000008    ,1968,M13,3.65,
248608,CEU6000000008    ,1969,M13,3.84,
248621,CEU6000000008    ,1970,M13,4.04,
248634,CEU6000000008    ,1971,M13,4.26,
248647,CEU6000000008    ,1972,M13,4.5,
248660,CEU6000000008    ,1973,M13,4.72,
248673,CEU6000000008    ,1974,M13,5.01,
248686,CEU6000000008    ,1975,M13,5.29,
248699,CEU6000000008    ,1976,M13,5.6,
248712,CEU6000000008    ,1977,M13,5.95,
248725,CEU6000000008    ,1978,M13,6.32,
248738,CEU6000000008    ,1979,M13,6.71,
248751,CEU6000000008    ,1980,M13,7.22,
248764,CEU6000000008    ,1981,M13,7.8,
248777,CEU6000000008    ,1982,M13,8.3,
248790,CEU6000000008    ,1983,M13,8.7,
248803,CEU6000000008    ,1984,M13,8.98,
248816,CEU6000000008    ,1985,M13,9.28,
248829,CEU6000000008    ,1986,M13,9.56,
248842,CEU6000000008    ,1987,M13,9.86,
248855,CEU6000000008    ,1988,M13,10.23,
248868,CEU6000000008    ,1989,M13,10.7,
248881,CEU6000000008    ,1990,M13,11.15,
248894,CEU6000000008    ,1991,M13,11.51,
248907,CEU6000000008    ,1992,M13,11.8,
248920,CEU6000000008    ,1993,M13,11.97,
248933,CEU6000000008    ,1994,M13,12.16,
248946,CEU6000000008    ,1995,M13,12.54,
248959,CEU6000000008    ,1996,M13,13.01,
248972,CEU6000000008    ,1997,M13,13.58,
248985,CEU6000000008    ,1998,M13,14.28,
248998,CEU6000000008    ,1999,M13,14.86,
249011,CEU6000000008    ,2000,M13,15.53,
249024,CEU6000000008    ,2001,M13,16.34,
249037,CEU6000000008    ,2002,M13,16.82,
249050,CEU6000000008    ,2003,M13,17.22,
249063,CEU6000000008    ,2004,M13,17.49,
249076,CEU6000000008    ,2005,M13,18.09,
249089,CEU6000000008    ,2006,M13,19.14,
249102,CEU6000000008    ,2007,M13,20.16,
249115,CEU6000000008    ,2008,M13,21.19,
249128,CEU6000000008    ,2009,M13,22.36,
249141,CEU6000000008    ,2010,M13,22.8,
249154,CEU6000000008    ,2011,M13,23.14,
249167,CEU6000000008    ,2012,M13,23.31,
249180,CEU6000000008    ,2013,M13,23.74,
249193,CEU6000000008    ,2014,M13,24.31,
249206,CEU6000000008    ,2015,M13,24.81,
249219,CEU6000000008    ,2016,M13,25.43,
249232,CEU6000000008    ,2017,M13,26.05,
249245,CEU6000000008    ,2018,M13,26.82,
249258,CEU6000000008    ,2019,M13,27.79,
249271,CEU6000000008    ,2020,M13,29.27,
249295,CEU6000000030    ,1964,M13,118.84,
249308,CEU6000000030    ,1965,M13,122.3,
249321,CEU6000000030    ,1966,M13,125.53,
249334,CEU6000000030    ,1967,M13,128.34,
249347,CEU6000000030    ,1968,M13,132.47,
249360,CEU6000000030    ,1969,M13,139.37,
249373,CEU6000000030    ,1970,M13,144.76,
249386,CEU6000000030    ,1971,M13,151.51,
249399,CEU6000000030    ,1972,M13,159.88,
249412,CEU6000000030    ,1973,M13,167.4,
249425,CEU6000000030    ,1974,M13,176.47,
249438,CEU6000000030    ,1975,M13,185.81,
249451,CEU6000000030    ,1976,M13,195.61,
249464,CEU6000000030    ,1977,M13,206.78,
249477,CEU6000000030    ,1978,M13,218.42,
249490,CEU6000000030    ,1979,M13,231.16,
249503,CEU6000000030    ,1980,M13,247.64,
249516,CEU6000000030    ,1981,M13,267.46,
249529,CEU6000000030    ,1982,M13,284.11,
249542,CEU6000000030    ,1983,M13,298.74,
249555,CEU6000000030    ,1984,M13,308.24,
249568,CEU6000000030    ,1985,M13,317.41,
249581,CEU6000000030    ,1986,M13,327.36,
249594,CEU6000000030    ,1987,M13,337.91,
249607,CEU6000000030    ,1988,M13,350.23,
249620,CEU6000000030    ,1989,M13,366.27,
249633,CEU6000000030    ,1990,M13,381.01,
249646,CEU6000000030    ,1991,M13,391.49,
249659,CEU6000000030    ,1992,M13,401.16,
249672,CEU6000000030    ,1993,M13,406.6,
249685,CEU6000000030    ,1994,M13,414.59,
249698,CEU6000000030    ,1995,M13,427.16,
249711,CEU6000000030    ,1996,M13,443.31,
249724,CEU6000000030    ,1997,M13,466.13,
249737,CEU6000000030    ,1998,M13,490.53,
249750,CEU6000000030    ,1999,M13,511.39,
249763,CEU6000000030    ,2000,M13,535.56,
249776,CEU6000000030    ,2001,M13,558.32,
249789,CEU6000000030    ,2002,M13,575.0,
249802,CEU6000000030    ,2003,M13,587.68,
249815,CEU6000000030    ,2004,M13,597.88,
249828,CEU6000000030    ,2005,M13,619.65,
249841,CEU6000000030    ,2006,M13,662.8,
249854,CEU6000000030    ,2007,M13,701.42,
249867,CEU6000000030    ,2008,M13,738.31,
249880,CEU6000000030    ,2009,M13,776.3,
249893,CEU6000000030    ,2010,M13,799.43,
249906,CEU6000000030    ,2011,M13,814.74,
249919,CEU6000000030    ,2012,M13,823.37,
249932,CEU6000000030    ,2013,M13,839.86,
249945,CEU6000000030    ,2014,M13,865.25,
