,series_id,year,period,value,footnote_codes
131241,CEU8000000007    ,1964,M13,36.3,
131254,CEU8000000007    ,1965,M13,36.1,
131267,CEU8000000007    ,1966,M13,35.8,
131280,CEU8000000007    ,1967,M13,35.4,
131293,CEU8000000007    ,1968,M13,35.0,
131306,CEU8000000007    ,1969,M13,35.0,
131319,CEU8000000007    ,1970,M13,34.7,
131332,CEU8000000007    ,1971,M13,34.2,
131345,CEU8000000007    ,1972,M13,34.2,
131358,CEU8000000007    ,1973,M13,34.1,
131371,CEU8000000007    ,1974,M13,33.9,
131384,CEU8000000007    ,1975,M13,33.8,
131397,CEU8000000007    ,1976,M13,33.6,
131410,CEU8000000007    ,1977,M13,33.4,
131423,CEU8000000007    ,1978,M13,33.2,
131436,CEU8000000007    ,1979,M13,33.0,
131449,CEU8000000007    ,1980,M13,33.0,
131462,CEU8000000007    ,1981,M13,33.0,
131475,CEU8000000007    ,1982,M13,33.0,
131488,CEU8000000007    ,1983,M13,33.0,
131501,CEU8000000007    ,1984,M13,32.9,
131514,CEU8000000007    ,1985,M13,32.8,
131527,CEU8000000007    ,1986,M13,32.9,
131540,CEU8000000007    ,1987,M13,32.8,
131553,CEU8000000007    ,1988,M13,32.9,
131566,CEU8000000007    ,1989,M13,32.9,
131579,CEU8000000007    ,1990,M13,32.8,
131592,CEU8000000007    ,1991,M13,32.7,
131605,CEU8000000007    ,1992,M13,32.6,
131618,CEU8000000007    ,1993,M13,32.6,
131631,CEU8000000007    ,1994,M13,32.7,
131644,CEU8000000007    ,1995,M13,32.6,
131657,CEU8000000007    ,1996,M13,32.5,
131670,CEU8000000007    ,1997,M13,32.7,
131683,CEU8000000007    ,1998,M13,32.6,
131696,CEU8000000007    ,1999,M13,32.5,
131709,CEU8000000007    ,2000,M13,32.5,
131722,CEU8000000007    ,2001,M13,32.3,
131735,CEU8000000007    ,2002,M13,32.1,
131748,CEU8000000007    ,2003,M13,31.4,
131761,CEU8000000007    ,2004,M13,31.0,
131774,CEU8000000007    ,2005,M13,30.9,
131787,CEU8000000007    ,2006,M13,30.9,
131800,CEU8000000007    ,2007,M13,30.9,
131813,CEU8000000007    ,2008,M13,30.8,
131826,CEU8000000007    ,2009,M13,30.5,
131839,CEU8000000007    ,2010,M13,30.7,
131852,CEU8000000007    ,2011,M13,30.8,
131865,CEU8000000007    ,2012,M13,30.7,
131878,CEU8000000007    ,2013,M13,30.8,
131891,CEU8000000007    ,2014,M13,30.7,
131904,CEU8000000007    ,2015,M13,30.7,
131917,CEU8000000007    ,2016,M13,30.8,
131930,CEU8000000007    ,2017,M13,30.7,
131943,CEU8000000007    ,2018,M13,30.8,
131956,CEU8000000007    ,2019,M13,30.8,
131969,CEU8000000007    ,2020,M13,31.2,
131982,CEU8000000007    ,2021,M13,31.4,
131997,CEU8000000008    ,1964,M13,1.14,
132010,CEU8000000008    ,1965,M13,1.25,
132023,CEU8000000008    ,1966,M13,1.37,
132036,CEU8000000008    ,1967,M13,1.49,
132049,CEU8000000008    ,1968,M13,1.62,
132062,CEU8000000008    ,1969,M13,1.81,
132075,CEU8000000008    ,1970,M13,2.01,
132088,CEU8000000008    ,1971,M13,2.24,
132101,CEU8000000008    ,1972,M13,2.46,
132114,CEU8000000008    ,1973,M13,2.67,
132127,CEU8000000008    ,1974,M13,2.95,
132140,CEU8000000008    ,1975,M13,3.21,
132153,CEU8000000008    ,1976,M13,3.51,
132166,CEU8000000008    ,1977,M13,3.84,
132179,CEU8000000008    ,1978,M13,4.19,
132192,CEU8000000008    ,1979,M13,4.56,
132205,CEU8000000008    ,1980,M13,5.05,
132218,CEU8000000008    ,1981,M13,5.61,
132231,CEU8000000008    ,1982,M13,6.11,
