index,Index,Label,unit,start,last,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
CEU9000000001    ,CEU9000000001    ,90000000,1,1939-M01,2022-M01,4040.0,4251.0,4726.0,5592.0,6222.0,6187.0,6082.0,5705.0,5567.0,5742.0,5950.0,6120.0,6502.0,6727.0,6758.0,6858.0,7021.0,7386.0,7724.0,7946.0,8192.0,8464.0,8706.0,9004.0,9341.0,9711.0,10191.0,10910.0,11525.0,11972.0,12330.0,12687.0,13012.0,13465.0,13862.0,14303.0,14820.0,15001.0,15258.0,15812.0,16068.0,16375.0,16180.0,15982.0,16011.0,16159.0,16533.0,16838.0,17156.0,17540.0,17927.0,18415.0,18545.0,18787.0,18989.0,19275.0,19432.0,19539.0,19664.0,19909.0,20307.0,20790.0,21118.0,21513.0,21583.0,21621.0,21804.0,21974.0,22218.0,22509.0,22555.0,22490.0,22086.0,21920.0,21853.0,21882.0,22029.0,22224.0,22350.0,22455.0,22613.0,21986.0,22004.0
CEU9000000010    ,CEU9000000010    ,90000000,10,1964-M01,2022-M01,,,,,,,,,,,,,,,,,,,,,,,,,,3771.0,4023.0,4432.0,4764.0,5041.0,5215.0,5428.0,5565.0,5824.0,6082.0,6343.0,6527.0,6724.0,7103.0,7437.0,7695.0,8029.0,8027.0,7894.0,7917.0,8151.0,8442.0,8706.0,8966.0,9233.0,9526.0,9855.0,9985.0,10162.0,10326.0,10531.0,10698.0,10832.0,10991.0,11164.0,11452.0,11771.0,12015.0,12327.0,12337.0,12335.0,12389.0,12218.0,12578.0,12908.0,12900.0,12829.0,12611.0,12493.0,12468.0,12495.0,12605.0,12741.0,12819.0,12927.0,13054.0,12654.0,12702.0
CEU9091000001    ,CEU9091000001    ,90910000,1,1939-M01,2022-M01,950.0,1045.0,1406.0,2322.0,3047.0,3071.0,2945.0,2365.0,1985.0,1954.0,2001.0,2023.0,2415.0,2539.0,2418.0,2295.0,2295.0,2318.0,2326.0,2298.0,2342.0,2381.0,2391.0,2455.0,2473.0,2463.0,2495.0,2690.0,2852.0,2871.0,2893.0,2865.0,2828.0,2815.0,2794.0,2858.0,2882.0,2863.0,2859.0,2893.0,2894.0,3000.0,2922.0,2884.0,2915.0,2943.0,3014.0,3044.0,3089.0,3124.0,3136.0,3196.0,3110.0,3111.0,3063.0,3018.0,2949.0,2877.0,2806.0,2772.0,2769.0,2865.0,2764.0,2766.0,2761.0,2730.0,2732.0,2732.0,2734.0,2762.0,2832.0,2977.0,2859.0,2820.0,2769.0,2733.0,2757.0,2795.0,2805.0,2800.0,2831.0,2930.0,2886.0
CEU9091000010    ,CEU9091000010    ,90910000,10,1964-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,548.0,561.0,631.0,699.0,736.0,750.0,750.0,742.0,776.0,810.0,829.0,836.0,904.0,1010.0,1045.0,1063.0,1136.0,1133.0,1140.0,1177.0,1206.0,1250.0,1274.0,1300.0,1320.0,1341.0,1378.0,1329.0,1335.0,1321.0,1306.0,1285.0,1261.0,1240.0,1184.0,1174.0,1231.0,1148.0,1155.0,1173.0,1168.0,1177.0,1194.0,1202.0,1224.0,1259.0,1326.0,1269.0,1249.0,1230.0,1209.0,1220.0,1236.0,1244.0,1249.0,1273.0,1324.0,1309.0
CEU9091100001    ,CEU9091100001    ,90911000,1,1939-M01,2022-M01,629.2,716.6,1065.8,1973.5,2679.2,2663.8,2505.8,1892.1,1514.0,1456.5,1474.4,1506.6,1893.7,1996.9,1887.6,1761.9,1760.9,1778.7,1770.3,1731.8,1763.7,1790.6,1790.1,1853.3,1870.8,1858.6,1875.9,2004.1,2133.4,2142.3,2155.2,2123.5,2096.3,2112.4,2096.0,2147.9,2183.1,2187.3,2201.5,2232.4,2220.2,2326.8,2247.0,2200.1,2230.1,2237.2,2263.8,2251.9,2274.7,2289.7,2297.6,2370.5,2296.2,2310.7,2269.4,2197.2,2098.8,2009.8,1940.2,1891.3,1879.5,1984.8,1891.0,1923.8,1952.4,1947.5,1957.3,1962.6,1964.7,2014.4,2128.5,2318.1,2227.6,2209.2,2174.5,2140.4,2160.0,2185.8,2189.4,2191.8,2224.0,2328.0,2279.8
CEU9091100010    ,CEU9091100010    ,90911000,10,1976-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,707.9,793.7,835.7,856.2,915.7,903.3,897.5,918.0,933.4,952.9,946.7,964.9,978.6,999.7,1051.1,1021.5,1037.2,1018.7,985.3,944.8,908.1,880.1,823.1,812.2,861.9,795.9,814.4,843.2,843.5,852.1,868.8,872.5,905.2,958.4,1044.1,997.2,983.6,967.4,945.9,954.0,962.4,966.0,973.5,995.5,1048.8,1031.8
CEU9091622001    ,CEU9091622001    ,90916220,1,1975-M03,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.1,226.0,229.3,224.5,233.9,232.0,234.8,237.5,241.0,248.1,246.3,249.4,240.7,227.4,231.6,233.5,234.7,233.7,233.8,233.2,231.7,224.4,223.6,220.6,222.0,229.1,226.7,233.5,245.2,248.4,251.8,258.0,273.0,290.6,300.8,306.4,308.5,313.6,319.1,329.4,338.4,343.5,349.3,355.3,357.9,360.5
CEU9091622010    ,CEU9091622010    ,90916220,10,1976-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.5,114.6,123.1,124.6,132.1,133.7,136.6,137.1,140.7,145.1,141.9,145.1,142.4,135.3,138.6,141.3,142.0,141.2,141.0,140.2,137.8,132.8,135.4,134.5,134.3,133.0,132.8,134.7,141.7,146.2,151.9,156.1,166.6,177.7,183.7,188.0,189.9,193.9,192.9,197.1,203.5,208.2,213.3,217.9,221.6,225.9
CEU9091911001    ,CEU9091911001    ,90919110,1,1939-M01,2021-M13,132.5,181.6,374.9,920.4,1361.2,1352.3,1233.8,745.8,498.6,511.4,530.8,533.2,796.8,867.9,818.3,743.6,744.0,748.5,729.1,695.0,699.4,680.8,683.1,697.2,687.0,675.8,679.3,740.9,802.4,801.3,814.6,755.8,730.5,720.2,695.6,697.9,703.9,693.0,676.1,661.1,648.8,644.6,654.7,690.4,699.0,715.9,738.4,735.9,735.6,718.7,734.5,722.3,701.6,701.5,670.0,656.8,626.6,597.2,587.5,550.4,524.9,509.5,503.9,498.9,485.6,473.2,487.5,493.1,491.0,495.6,518.7,545.1,558.6,551.6,536.9,524.4,526.1,529.3,527.1,530.5,543.8,560.3,564.1
CEU9091911010    ,CEU9091911010    ,90919110,10,1972-M01,2021-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.2,201.3,200.3,198.9,192.7,188.0,182.6,180.4,179.6,183.0,198.5,207.2,215.5,222.6,221.8,221.7,216.4,237.4,259.1,251.5,251.5,240.2,235.5,224.7,214.1,210.6,197.4,188.2,185.3,182.7,180.4,174.3,167.9,166.4,165.5,163.2,164.0,170.5,177.0,179.6,175.7,169.8,163.9,164.5,162.9,159.6,157.4,167.0,177.7,178.2
