,series_id,year,period,value,footnote_codes
136444,CUUS0000SAF      ,1984,S01,102.8,
136445,CUUS0000SAF      ,1984,S02,103.7,
136447,CUUS0000SAF      ,1985,S01,105.3,
136448,CUUS0000SAF      ,1985,S02,106.0,
136450,CUUS0000SAF      ,1986,S01,107.9,
136451,CUUS0000SAF      ,1986,S02,110.3,
136453,CUUS0000SAF      ,1987,S01,112.8,
136454,CUUS0000SAF      ,1987,S02,114.2,
136456,CUUS0000SAF      ,1988,S01,116.5,
136457,CUUS0000SAF      ,1988,S02,119.9,
136459,CUUS0000SAF      ,1989,S01,123.6,
136460,CUUS0000SAF      ,1989,S02,126.2,
136462,CUUS0000SAF      ,1990,S01,131.0,
136463,CUUS0000SAF      ,1990,S02,133.2,
136465,CUUS0000SAF      ,1991,S01,136.7,
136466,CUUS0000SAF      ,1991,S02,136.9,
136468,CUUS0000SAF      ,1992,S01,138.4,
136469,CUUS0000SAF      ,1992,S02,139.0,
136471,CUUS0000SAF      ,1993,S01,141.1,
136472,CUUS0000SAF      ,1993,S02,142.1,
136474,CUUS0000SAF      ,1994,S01,144.0,
136475,CUUS0000SAF      ,1994,S02,145.7,
136477,CUUS0000SAF      ,1995,S01,148.3,
136478,CUUS0000SAF      ,1995,S02,149.5,
136480,CUUS0000SAF      ,1996,S01,152.2,
136481,CUUS0000SAF      ,1996,S02,155.2,
136483,CUUS0000SAF      ,1997,S01,157.0,
136484,CUUS0000SAF      ,1997,S02,158.5,
136486,CUUS0000SAF      ,1998,S01,160.3,
136487,CUUS0000SAF      ,1998,S02,161.9,
136489,CUUS0000SAF      ,1999,S01,163.9,
136490,CUUS0000SAF      ,1999,S02,165.2,
136492,CUUS0000SAF      ,2000,S01,167.2,
136493,CUUS0000SAF      ,2000,S02,169.5,
136495,CUUS0000SAF      ,2001,S01,172.4,
136496,CUUS0000SAF      ,2001,S02,174.8,
136498,CUUS0000SAF      ,2002,S01,176.5,
136499,CUUS0000SAF      ,2002,S02,177.1,
136501,CUUS0000SAF      ,2003,S01,179.1,
136502,CUUS0000SAF      ,2003,S02,182.0,
