,series_id,year,period,value,footnote_codes
52673,CUUS0000SAH      ,1984,S01,102.4,
52674,CUUS0000SAH      ,1984,S02,104.8,
52676,CUUS0000SAH      ,1985,S01,106.5,
52677,CUUS0000SAH      ,1985,S02,109.0,
52679,CUUS0000SAH      ,1986,S01,110.2,
52680,CUUS0000SAH      ,1986,S02,111.6,
52682,CUUS0000SAH      ,1987,S01,113.1,
52683,CUUS0000SAH      ,1987,S02,115.4,
52685,CUUS0000SAH      ,1988,S01,117.2,
52686,CUUS0000SAH      ,1988,S02,119.8,
52688,CUUS0000SAH      ,1989,S01,121.7,
52689,CUUS0000SAH      ,1989,S02,124.4,
52691,CUUS0000SAH      ,1990,S01,126.8,
52692,CUUS0000SAH      ,1990,S02,130.2,
52694,CUUS0000SAH      ,1991,S01,132.6,
52695,CUUS0000SAH      ,1991,S02,134.6,
52697,CUUS0000SAH      ,1992,S01,136.6,
52698,CUUS0000SAH      ,1992,S02,138.5,
52700,CUUS0000SAH      ,1993,S01,140.3,
52701,CUUS0000SAH      ,1993,S02,142.2,
52703,CUUS0000SAH      ,1994,S01,143.9,
52704,CUUS0000SAH      ,1994,S02,145.6,
52706,CUUS0000SAH      ,1995,S01,147.4,
52707,CUUS0000SAH      ,1995,S02,149.5,
52709,CUUS0000SAH      ,1996,S01,151.7,
52710,CUUS0000SAH      ,1996,S02,153.9,
52712,CUUS0000SAH      ,1997,S01,155.9,
52713,CUUS0000SAH      ,1997,S02,157.7,
52715,CUUS0000SAH      ,1998,S01,159.4,
52716,CUUS0000SAH      ,1998,S02,161.4,
52718,CUUS0000SAH      ,1999,S01,162.8,
52719,CUUS0000SAH      ,1999,S02,164.9,
52721,CUUS0000SAH      ,2000,S01,167.8,
52722,CUUS0000SAH      ,2000,S02,171.4,
52724,CUUS0000SAH      ,2001,S01,175.5,
52725,CUUS0000SAH      ,2001,S02,177.3,
52727,CUUS0000SAH      ,2002,S01,179.2,
52728,CUUS0000SAH      ,2002,S02,181.4,
52730,CUUS0000SAH      ,2003,S01,184.0,
52731,CUUS0000SAH      ,2003,S02,185.6,
52733,CUUS0000SAH      ,2004,S01,188.1,
52734,CUUS0000SAH      ,2004,S02,190.9,
52736,CUUS0000SAH      ,2005,S01,193.8,
52737,CUUS0000SAH      ,2005,S02,197.6,
52739,CUUS0000SAH      ,2006,S01,201.6,
52740,CUUS0000SAH      ,2006,S02,204.8,
52742,CUUS0000SAH      ,2007,S01,208.234,
52743,CUUS0000SAH      ,2007,S02,210.938,
52745,CUUS0000SAH      ,2008,S01,214.717,
52746,CUUS0000SAH      ,2008,S02,217.811,
52748,CUUS0000SAH      ,2009,S01,217.275,
52749,CUUS0000SAH      ,2009,S02,216.839,
52751,CUUS0000SAH      ,2010,S01,216.058,
52752,CUUS0000SAH      ,2010,S02,216.454,
52754,CUUS0000SAH      ,2011,S01,217.941,
52755,CUUS0000SAH      ,2011,S02,220.263,
52757,CUUS0000SAH      ,2012,S01,221.685,
52758,CUUS0000SAH      ,2012,S02,223.745,
