index,Index,Label,unit,start,last,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2,2018-S1,2018-S2,2019-S1,2019-S2,2020-S1,2020-S2,2021-S1
CWUS0000SAE      ,CWUS0000SAE      ,"Education and communication in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1993-S01,2021-S01,85.0,87.0,88.2,89.9,91.4,93.3,94.3,96.4,97.7,99.4,100.1,100.8,101.0,102.0,102.3,103.1,104.2,106.4,106.7,108.6,108.6,109.3,109.6,110.3,110.7,112.0,113.1,114.7,115.265,117.338,118.46600000000001,121.18700000000001,122.164,123.87,124.42200000000001,125.36,125.00200000000001,126.038,126.97,127.66799999999999,128.369,129.095,129.593,129.766,129.001,129.905,130.108,129.546,126.485,125.13799999999999,125.21700000000001,125.615,125.15899999999999,126.08200000000001,126.869,129.184,129.409
CWUS0000SAE1     ,CWUS0000SAE1     ,"Education in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1993-S01,2021-S01,76.8,80.0,81.6,84.6,86.2,89.3,91.0,93.8,95.6,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.30200000000002,257.015,259.39599999999996,263.285,265.257,267.49,267.829
CWUS0000SAE2     ,CWUS0000SAE2     ,"Communication in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1993-S01,2021-S01,96.0,96.4,97.1,97.1,98.4,98.5,98.8,99.8,100.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.363,74.98,74.181,74.414,74.828,76.564,76.715
CWUS0000SAE21    ,CWUS0000SAE21    ,"Information and information processing in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1997.12=100,1993-S01,2021-S01,96.8,97.2,98.0,98.0,98.2,98.3,98.6,99.8,100.5,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.67399999999998,72.29,71.421,71.64,71.98899999999998,73.695,73.788
CWUS0000SAEC     ,CWUS0000SAEC     ,"Education and communication commodities in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.978,98.527,97.11,95.015,94.55,93.184,92.051,90.226,89.334,87.477,85.667,83.958,81.873,80.872,79.639,78.497,77.529,75.955,73.88,72.797,71.066,70.008,68.85300000000001
CWUS0000SAES     ,CWUS0000SAES     ,"Education and communication services in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 2009.12=100,2010-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.236,101.193,101.008,102.111,102.975,103.73,104.465,105.291,105.83200000000001,106.191,105.709,106.704,107.12200000000001,106.735,104.134,103.059,103.242,103.79,103.631,104.59100000000001,105.50299999999999,107.675,107.99700000000001
CWUS0000SEEA     ,CWUS0000SEEA     ,"Educational books and supplies in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.797,699.5889999999997,690.579,692.687,687.316,700.081,702.834
CWUS0000SEEB     ,CWUS0000SEEB     ,"Tuition, other school fees, and childcare in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705.048,719.3530000000003,727.2460000000003,738.804,744.913,750.797,751.6439999999999
CWUS0000SEEB01   ,CWUS0000SEEB01   ,"College tuition and fees in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.324,859.2360000000001,867.828,881.199,885.0239999999999,890.3989999999999,890.319
CWUS0000SEEB02   ,CWUS0000SEEB02   ,"Elementary and high school tuition and fees in U.S. city average, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,2018-S01,2021-S01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821.548,849.3969999999997,855.947,876.378,882.546,891.5930000000003,898.7130000000003
