index,Index,Label,unit,start,last,1984-S1,1984-S2,1985-S1,1985-S2,1986-S1,1986-S2,1987-S1,1987-S2,1988-S1,1988-S2,1989-S1,1989-S2,1990-S1,1990-S2,1991-S1,1991-S2,1992-S1,1992-S2,1993-S1,1993-S2,1994-S1,1994-S2,1995-S1,1995-S2,1996-S1,1996-S2,1997-S1,1997-S2,1998-S1,1998-S2,1999-S1,1999-S2,2000-S1,2000-S2,2001-S1,2001-S2,2002-S1,2002-S2,2003-S1,2003-S2,2004-S1,2004-S2,2005-S1,2005-S2,2006-S1,2006-S2,2007-S1,2007-S2,2008-S1,2008-S2,2009-S1,2009-S2,2010-S1,2010-S2,2011-S1,2011-S2,2012-S1,2012-S2,2013-S1,2013-S2,2014-S1,2014-S2,2015-S1,2015-S2,2016-S1,2016-S2,2017-S1,2017-S2
CWUSA104AA0      ,CWUSA104AA0      ,"All items - old base in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1967=100,1984-S01,2017-S03,300.9,303.8,306.7,309.8,309.5,310.2,315.7,321.4,325.9,331.3,340.1,346.5,355.1,366.6,370.8,377.9,384.0,390.2,396.5,400.0,407.2,415.5,422.3,427.7,433.5,439.7,446.1,449.1,450.4,456.4,460.3,468.6,479.3,484.2,494.5,492.6,492.5,498.8,504.1,506.7,518.0,528.8,536.6,550.0,557.8,561.2,571.969,583.467,603.433,612.7090000000002,605.9,616.33,620.487,626.168,645.966,660.8389999999997,674.808,678.0269999999998,684.544,683.0139999999999,691.752,692.4739999999997,689.829,696.4730000000003,697.415,707.046,715.8889999999999,720.574
CWUSA104SA0      ,CWUSA104SA0      ,"All items in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,101.2,102.1,103.1,104.2,104.1,104.3,106.1,108.0,109.5,111.3,114.4,116.5,119.4,123.3,124.7,127.1,129.1,131.2,133.3,134.5,136.9,139.7,142.0,143.8,145.8,147.8,150.0,151.0,151.4,153.4,154.8,157.6,161.2,162.8,166.2,165.6,165.6,167.7,169.5,170.4,174.2,177.8,180.4,185.0,187.5,188.7,192.312,196.178,202.892,206.01,203.72099999999998,207.22799999999998,208.62599999999998,210.535,217.192,222.19299999999998,226.89,227.972,230.16299999999998,229.649,232.58700000000002,232.83,231.94,234.174,234.49099999999999,237.729,240.702,242.278
CWUSA104SA0E     ,CWUSA104SA0E     ,"Energy in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,102.9,103.2,103.1,104.2,94.4,85.0,88.4,89.6,86.4,88.3,93.8,95.1,99.2,111.9,108.6,110.4,108.1,109.9,107.0,109.0,109.8,115.0,116.2,114.5,114.0,118.3,122.3,120.1,112.7,111.5,109.8,119.7,127.4,135.6,147.9,133.4,124.3,130.4,144.6,146.9,160.6,171.1,182.7,209.2,222.0,210.4,221.979,239.72099999999998,275.541,269.77299999999997,216.74900000000002,230.021,239.37099999999998,238.808,277.232,280.04900000000004,283.123,279.686,280.128,266.718,279.918,270.74,236.30599999999998,229.415,212.795,221.75900000000001,234.637,242.41
CWUSA104SA0L1E   ,CWUSA104SA0L1E   ,"All items less food and energy in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,101.0,102.3,103.4,105.0,106.2,107.4,108.8,111.1,113.4,115.4,117.5,119.8,122.2,125.2,127.0,130.0,132.7,135.1,137.7,138.7,141.6,144.3,147.2,149.3,151.2,153.0,155.1,156.8,158.5,161.1,163.1,165.0,168.6,169.1,170.9,171.8,172.9,174.8,174.5,174.6,176.7,179.1,180.7,182.7,184.2,186.3,188.6,190.239,193.53900000000002,196.722,198.78400000000002,202.02900000000002,202.49599999999998,203.97,207.298,211.52900000000002,216.923,218.138,220.412,221.528,223.36,224.16,226.635,229.99599999999998,232.43099999999998,235.707,238.273,238.75900000000001
CWUSA104SA0L2    ,CWUSA104SA0L2    ,"All items less shelter in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,103.4,104.2,105.1,106.0,105.1,105.1,106.9,108.9,110.1,112.6,116.0,118.4,121.3,125.0,126.2,128.2,130.0,131.7,133.8,134.9,136.5,139.4,141.7,143.3,145.2,147.7,150.4,150.8,150.7,152.2,153.8,157.2,161.7,163.4,167.8,165.8,164.6,166.7,168.9,170.1,174.0,177.1,180.6,185.0,187.5,187.7,191.7,196.69799999999998,205.239,208.949,205.61,209.25,210.737,213.487,221.892,227.347,230.792,231.59900000000002,233.274,231.919,234.092,232.50599999999997,230.043,231.63099999999997,231.169,234.201,236.919,239.09
CWUSA104SA0L5    ,CWUSA104SA0L5    ,"All items  less medical care in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,100.8,101.7,102.7,103.6,103.2,103.3,105.0,106.8,108.3,110.0,112.9,115.0,117.7,121.4,122.7,124.9,127.0,129.0,130.9,132.0,134.4,137.1,139.4,141.1,142.9,145.0,147.1,148.1,148.5,150.5,151.6,154.4,158.1,159.7,163.2,162.4,162.3,164.3,165.9,166.6,170.3,173.9,176.3,180.8,183.0,184.1,187.59900000000002,191.326,197.75900000000001,200.765,198.34400000000002,201.668,202.75799999999998,204.479,210.924,215.73,220.299,220.856,222.77900000000002,222.07,225.122,225.825,224.43200000000002,226.66400000000002,226.799,229.91299999999998,231.912,232.915
CWUSA104SA0LE    ,CWUSA104SA0LE    ,"All items less energy in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,100.9,102.0,103.2,104.2,105.5,107.1,108.7,110.8,112.8,114.7,117.3,119.6,122.4,125.1,127.1,129.7,132.2,134.3,137.1,138.1,140.8,143.3,145.8,148.0,150.3,152.0,154.0,155.5,156.9,159.4,161.1,162.8,166.0,166.9,168.9,170.4,171.6,173.2,173.5,174.2,176.9,179.6,181.1,183.1,184.5,187.0,189.88099999999997,191.952,195.56599999999997,199.657,201.985,204.65099999999998,205.507,207.317,211.142,216.24200000000002,221.148,222.577,224.976,225.66400000000002,227.669,228.862,231.296,234.453,236.475,239.149,241.148,242.114
CWUSA104SAA      ,CWUSA104SAA      ,"Apparel in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,101.5,101.3,101.8,103.8,98.2,101.7,103.7,108.4,110.0,115.2,116.1,121.0,121.7,122.5,123.4,125.5,127.0,128.9,131.0,126.7,130.8,126.2,129.2,128.6,127.8,130.4,134.5,139.1,138.0,138.9,141.2,146.1,162.1,157.5,161.9,155.9,154.6,154.3,145.7,144.1,135.8,141.3,140.8,135.2,129.9,137.0,144.08700000000005,143.04399999999995,142.991,151.768,152.991,156.452,154.891,159.25,162.059,173.54,180.565,169.34099999999995,163.118,164.433,159.627,159.149,155.57399999999996,164.118,176.535,181.11599999999999,175.949,179.016
CWUSA104SAC      ,CWUSA104SAC      ,"Commodities in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,101.3,101.4,102.1,102.8,100.6,100.1,102.2,104.6,105.7,108.0,110.7,112.4,114.8,119.1,119.7,120.6,122.1,123.6,125.7,126.0,127.2,129.5,131.1,133.2,134.9,136.5,138.9,139.0,138.4,140.1,141.9,145.8,151.1,151.8,154.2,152.3,150.9,152.7,153.3,153.5,157.6,161.2,164.0,167.6,169.6,170.5,174.537,179.821,187.301,189.544,185.27599999999998,190.505,192.155,194.715,204.502,210.28400000000002,214.612,214.226,214.481,212.79,214.417,211.709,205.0,205.66,203.438,206.403,208.764,211.05
CWUSA104SACL1    ,CWUSA104SACL1    ,"Commodities less food in Pittsburgh, PA, urban wage earners and clerical workers, not seasonally adjusted",Index base: 1982-84=100,1984-S01,2017-S03,101.6,101.6,102.1,103.4,99.0,96.6,98.3,101.5,102.6,105.3,107.1,108.5,110.0,115.5,114.9,116.1,116.9,118.8,120.2,119.8,120.9,123.2,125.5,127.1,128.0,129.4,132.2,132.3,130.9,132.4,134.9,140.2,147.4,147.2,149.6,144.6,141.7,144.1,143.7,142.4,146.0,149.4,153.1,157.2,159.3,159.1,162.121,167.65099999999995,176.048,175.575,167.77200000000005,175.255,176.34900000000005,178.442,189.798,193.775,198.933,197.252,196.28,194.637,195.423,190.524,181.035,181.356,178.80599999999995,183.30599999999998,187.15200000000002,188.83599999999998
