,series_id,year,period,value,footnote_codes
0,CWURA104AA0      ,1917,M12,41.3,
1,CWURA104AA0      ,1918,M12,49.3,
2,CWURA104AA0      ,1918,M13,45.2,
3,CWURA104AA0      ,1919,M06,50.4,
4,CWURA104AA0      ,1919,M12,56.0,
5,CWURA104AA0      ,1919,M13,51.9,
6,CWURA104AA0      ,1920,M06,62.2,
7,CWURA104AA0      ,1920,M12,57.6,
8,CWURA104AA0      ,1920,M13,59.6,
9,CWURA104AA0      ,1921,M05,53.3,
10,CWURA104AA0      ,1921,M09,52.1,
11,CWURA104AA0      ,1921,M12,51.1,
12,CWURA104AA0      ,1921,M13,53.3,
13,CWURA104AA0      ,1922,M03,49.3,
14,CWURA104AA0      ,1922,M06,49.6,
15,CWURA104AA0      ,1922,M09,49.3,
16,CWURA104AA0      ,1922,M12,50.0,
17,CWURA104AA0      ,1922,M13,49.7,
18,CWURA104AA0      ,1923,M03,50.0,
19,CWURA104AA0      ,1923,M06,51.1,
20,CWURA104AA0      ,1923,M09,51.4,
21,CWURA104AA0      ,1923,M12,51.1,
22,CWURA104AA0      ,1923,M13,50.8,
23,CWURA104AA0      ,1924,M03,50.5,
24,CWURA104AA0      ,1924,M06,51.4,
25,CWURA104AA0      ,1924,M09,51.6,
26,CWURA104AA0      ,1924,M12,52.0,
27,CWURA104AA0      ,1924,M13,51.3,
28,CWURA104AA0      ,1925,M06,53.0,
29,CWURA104AA0      ,1925,M12,54.1,
30,CWURA104AA0      ,1925,M13,53.0,
31,CWURA104AA0      ,1926,M06,53.6,
32,CWURA104AA0      ,1926,M12,53.4,
33,CWURA104AA0      ,1926,M13,53.4,
34,CWURA104AA0      ,1927,M06,53.3,
35,CWURA104AA0      ,1927,M12,52.3,
36,CWURA104AA0      ,1927,M13,52.5,
37,CWURA104AA0      ,1928,M06,51.7,
38,CWURA104AA0      ,1928,M12,52.3,
39,CWURA104AA0      ,1928,M13,52.1,
40,CWURA104AA0      ,1929,M06,52.1,
41,CWURA104AA0      ,1929,M12,51.9,
42,CWURA104AA0      ,1929,M13,52.1,
43,CWURA104AA0      ,1930,M06,51.0,
44,CWURA104AA0      ,1930,M12,48.4,
