,series_id,year,period,value,footnote_codes
161827,CWUS0100AA0      ,1984,S01,160.1,
161828,CWUS0100AA0      ,1984,S02,164.1,
161830,CWUS0100AA0      ,1985,S01,167.3,
161831,CWUS0100AA0      ,1985,S02,170.2,
161833,CWUS0100AA0      ,1986,S01,171.7,
161834,CWUS0100AA0      ,1986,S02,173.1,
161836,CWUS0100AA0      ,1987,S01,177.5,
161837,CWUS0100AA0      ,1987,S02,182.1,
161839,CWUS0100AA0      ,1988,S01,185.7,
161840,CWUS0100AA0      ,1988,S02,191.1,
161842,CWUS0100AA0      ,1989,S01,196.5,
161843,CWUS0100AA0      ,1989,S02,201.5,
161845,CWUS0100AA0      ,1990,S01,207.3,
161846,CWUS0100AA0      ,1990,S02,214.1,
161848,CWUS0100AA0      ,1991,S01,218.3,
161849,CWUS0100AA0      ,1991,S02,221.6,
161851,CWUS0100AA0      ,1992,S01,224.9,
161852,CWUS0100AA0      ,1992,S02,228.8,
161854,CWUS0100AA0      ,1993,S01,232.0,
161855,CWUS0100AA0      ,1993,S02,234.0,
161857,CWUS0100AA0      ,1994,S01,236.8,
161858,CWUS0100AA0      ,1994,S02,240.1,
161860,CWUS0100AA0      ,1995,S01,243.1,
161861,CWUS0100AA0      ,1995,S02,246.0,
161863,CWUS0100AA0      ,1996,S01,249.9,
161864,CWUS0100AA0      ,1996,S02,253.2,
161866,CWUS0100AA0      ,1997,S01,256.4,
161867,CWUS0100AA0      ,1997,S02,258.3,
161869,CWUS0100AA0      ,1998,S01,259.5,
161870,CWUS0100AA0      ,1998,S02,261.8,
161872,CWUS0100AA0      ,1999,S01,264.1,
161873,CWUS0100AA0      ,1999,S02,268.4,
161875,CWUS0100AA0      ,2000,S01,273.2,
161876,CWUS0100AA0      ,2000,S02,277.4,
161878,CWUS0100AA0      ,2001,S01,282.1,
161879,CWUS0100AA0      ,2001,S02,283.7,
161881,CWUS0100AA0      ,2002,S01,286.2,
161882,CWUS0100AA0      ,2002,S02,290.7,
161884,CWUS0100AA0      ,2003,S01,295.1,
161885,CWUS0100AA0      ,2003,S02,299.0,
161887,CWUS0100AA0      ,2004,S01,304.8,
161888,CWUS0100AA0      ,2004,S02,309.6,
161890,CWUS0100AA0      ,2005,S01,314.6,
161891,CWUS0100AA0      ,2005,S02,322.0,
161893,CWUS0100AA0      ,2006,S01,328.2,
161894,CWUS0100AA0      ,2006,S02,331.6,
161896,CWUS0100AA0      ,2007,S01,335.772,
161897,CWUS0100AA0      ,2007,S02,341.26199999999994,
161899,CWUS0100AA0      ,2008,S01,350.842,
161900,CWUS0100AA0      ,2008,S02,355.3880000000001,
161902,CWUS0100AA0      ,2009,S01,349.86800000000005,
161903,CWUS0100AA0      ,2009,S02,356.255,
161905,CWUS0100AA0      ,2010,S01,360.371,
161906,CWUS0100AA0      ,2010,S02,362.652,
161908,CWUS0100AA0      ,2011,S01,371.098,
161909,CWUS0100AA0      ,2011,S02,376.721,
161911,CWUS0100AA0      ,2012,S01,380.1,
161912,CWUS0100AA0      ,2012,S02,382.839,
161914,CWUS0100AA0      ,2013,S01,385.39,
161915,CWUS0100AA0      ,2013,S02,387.107,
