,series_id,year,period,value,footnote_codes
0,EIUCTCANTOT                   ,2017,M12,100.0,
3,EIUCTCANTOT                   ,2018,M03,102.5,
6,EIUCTCANTOT                   ,2018,M06,99.1,
9,EIUCTCANTOT                   ,2018,M09,102.8,
12,EIUCTCANTOT                   ,2018,M12,117.8,
15,EIUCTCANTOT                   ,2019,M03,96.9,
18,EIUCTCANTOT                   ,2019,M06,98.1,
21,EIUCTCANTOT                   ,2019,M09,98.3,
24,EIUCTCANTOT                   ,2019,M12,99.6,
27,EIUCTCANTOT                   ,2020,M03,110.5,
30,EIUCTCANTOT                   ,2020,M06,106.7,
33,EIUCTCANTOT                   ,2020,M09,101.6,
36,EIUCTCANTOT                   ,2020,M12,100.3,
39,EIUCTCANTOT                   ,2021,M03,92.0,
42,EIUCTCANTOT                   ,2021,M06,86.6,
45,EIUCTCANTOT                   ,2021,M09,93.6,
48,EIUCTCANTOT                   ,2021,M12,90.0,R
51,EIUCTCHNTOT                   ,2017,M12,100.0,
54,EIUCTCHNTOT                   ,2018,M03,102.4,
57,EIUCTCHNTOT                   ,2018,M06,101.8,
60,EIUCTCHNTOT                   ,2018,M09,98.0,
63,EIUCTCHNTOT                   ,2018,M12,98.7,
66,EIUCTCHNTOT                   ,2019,M03,100.0,
69,EIUCTCHNTOT                   ,2019,M06,99.3,
72,EIUCTCHNTOT                   ,2019,M09,99.0,
75,EIUCTCHNTOT                   ,2019,M12,99.2,
78,EIUCTCHNTOT                   ,2020,M03,96.2,
81,EIUCTCHNTOT                   ,2020,M06,97.5,
84,EIUCTCHNTOT                   ,2020,M09,98.4,
87,EIUCTCHNTOT                   ,2020,M12,102.1,
90,EIUCTCHNTOT                   ,2021,M03,106.0,
93,EIUCTCHNTOT                   ,2021,M06,108.1,
96,EIUCTCHNTOT                   ,2021,M09,107.4,
99,EIUCTCHNTOT                   ,2021,M12,107.0,
102,EIUCTEECTOT                   ,2017,M12,100.0,
105,EIUCTEECTOT                   ,2018,M03,101.1,
108,EIUCTEECTOT                   ,2018,M06,101.4,
111,EIUCTEECTOT                   ,2018,M09,101.6,
114,EIUCTEECTOT                   ,2018,M12,101.9,
117,EIUCTEECTOT                   ,2019,M03,102.6,
120,EIUCTEECTOT                   ,2019,M06,102.8,
123,EIUCTEECTOT                   ,2019,M09,103.1,
126,EIUCTEECTOT                   ,2019,M12,102.7,
129,EIUCTEECTOT                   ,2020,M03,100.8,
132,EIUCTEECTOT                   ,2020,M06,100.1,
135,EIUCTEECTOT                   ,2020,M09,100.1,
138,EIUCTEECTOT                   ,2020,M12,100.5,
141,EIUCTEECTOT                   ,2021,M03,101.9,
144,EIUCTEECTOT                   ,2021,M06,103.5,
147,EIUCTEECTOT                   ,2021,M09,102.2,
150,EIUCTEECTOT                   ,2021,M12,103.2,R
153,EIUCTGERTOT                   ,2017,M12,100.0,
156,EIUCTGERTOT                   ,2018,M03,104.9,
159,EIUCTGERTOT                   ,2018,M06,104.5,
162,EIUCTGERTOT                   ,2018,M09,103.7,
165,EIUCTGERTOT                   ,2018,M12,104.2,
168,EIUCTGERTOT                   ,2019,M03,104.3,
171,EIUCTGERTOT                   ,2019,M06,105.7,
174,EIUCTGERTOT                   ,2019,M09,106.7,
177,EIUCTGERTOT                   ,2019,M12,106.5,
180,EIUCTGERTOT                   ,2020,M03,107.0,
183,EIUCTGERTOT                   ,2020,M06,107.3,
186,EIUCTGERTOT                   ,2020,M09,108.4,
189,EIUCTGERTOT                   ,2020,M12,107.6,
192,EIUCTGERTOT                   ,2021,M03,105.8,
195,EIUCTGERTOT                   ,2021,M06,107.7,
198,EIUCTGERTOT                   ,2021,M09,104.3,
201,EIUCTGERTOT                   ,2021,M12,103.7,R
204,EIUCTINDUSTOT                 ,2017,M12,100.0,
207,EIUCTINDUSTOT                 ,2018,M03,100.4,
210,EIUCTINDUSTOT                 ,2018,M06,99.6,
213,EIUCTINDUSTOT                 ,2018,M09,101.0,
216,EIUCTINDUSTOT                 ,2018,M12,105.7,
219,EIUCTINDUSTOT                 ,2019,M03,99.4,
222,EIUCTINDUSTOT                 ,2019,M06,99.6,
225,EIUCTINDUSTOT                 ,2019,M09,99.3,
228,EIUCTINDUSTOT                 ,2019,M12,99.3,
231,EIUCTINDUSTOT                 ,2020,M03,101.6,
234,EIUCTINDUSTOT                 ,2020,M06,100.7,
237,EIUCTINDUSTOT                 ,2020,M09,99.9,
240,EIUCTINDUSTOT                 ,2020,M12,100.1,
243,EIUCTINDUSTOT                 ,2021,M03,97.4,
246,EIUCTINDUSTOT                 ,2021,M06,97.1,
249,EIUCTINDUSTOT                 ,2021,M09,99.9,
252,EIUCTINDUSTOT                 ,2021,M12,99.2,R
255,EIUCTJPNTOT                   ,2017,M12,100.0,
258,EIUCTJPNTOT                   ,2018,M03,101.2,
261,EIUCTJPNTOT                   ,2018,M06,100.5,
264,EIUCTJPNTOT                   ,2018,M09,99.4,
267,EIUCTJPNTOT                   ,2018,M12,99.2,
270,EIUCTJPNTOT                   ,2019,M03,98.9,
273,EIUCTJPNTOT                   ,2019,M06,98.9,
276,EIUCTJPNTOT                   ,2019,M09,99.0,
279,EIUCTJPNTOT                   ,2019,M12,99.2,
282,EIUCTJPNTOT                   ,2020,M03,95.2,
285,EIUCTJPNTOT                   ,2020,M06,95.8,
288,EIUCTJPNTOT                   ,2020,M09,98.1,
291,EIUCTJPNTOT                   ,2020,M12,100.2,
294,EIUCTJPNTOT                   ,2021,M03,104.8,
297,EIUCTJPNTOT                   ,2021,M06,108.7,
300,EIUCTJPNTOT                   ,2021,M09,108.8,
303,EIUCTJPNTOT                   ,2021,M12,109.3,R
306,EIUCTLATTOT                   ,2017,M12,100.0,
309,EIUCTLATTOT                   ,2018,M03,100.6,
312,EIUCTLATTOT                   ,2018,M06,101.6,
315,EIUCTLATTOT                   ,2018,M09,101.4,
318,EIUCTLATTOT                   ,2018,M12,102.5,
321,EIUCTLATTOT                   ,2019,M03,103.5,
324,EIUCTLATTOT                   ,2019,M06,101.3,
327,EIUCTLATTOT                   ,2019,M09,101.4,
