,series_id,year,period,value,footnote_codes
0,EIUIC131                      ,1990,M09,98.6,
1,EIUIC131                      ,1990,M12,107.1,
2,EIUIC131                      ,1991,M03,105.3,
3,EIUIC131                      ,1991,M06,103.4,
4,EIUIC131                      ,1991,M09,103.3,
5,EIUIC131                      ,1991,M12,105.8,
6,EIUIC131                      ,1992,M03,106.5,
7,EIUIC131                      ,1992,M06,103.2,
8,EIUIC131                      ,1992,M09,105.8,
9,EIUIC131                      ,1992,M12,100.7,
10,EIUIC131                      ,1993,M03,98.7,
11,EIUIC131                      ,1993,M06,104.9,
12,EIUIC131                      ,1993,M09,105.1,
13,EIUIC131                      ,1993,M12,104.6,
14,EIUIC131                      ,1994,M03,104.4,
15,EIUIC131                      ,1994,M06,106.6,
16,EIUIC131                      ,1994,M09,107.1,
17,EIUIC131                      ,1994,M12,108.9,
18,EIUIC131                      ,1995,M03,113.6,
19,EIUIC131                      ,1995,M06,116.5,
20,EIUIC131                      ,1995,M09,111.0,
21,EIUIC131                      ,1995,M12,111.7,
22,EIUIC131                      ,1996,M03,108.6,
23,EIUIC131                      ,1996,M06,107.7,
24,EIUIC131                      ,1996,M09,108.2,
25,EIUIC131                      ,1996,M12,107.6,
26,EIUIC131                      ,1997,M03,101.3,
27,EIUIC131                      ,1997,M06,101.8,
28,EIUIC131                      ,1997,M09,100.3,
29,EIUIC131                      ,1997,M12,97.9,
30,EIUIC131                      ,1998,M03,93.9,
31,EIUIC131                      ,1998,M06,94.4,
32,EIUIC131                      ,1998,M09,92.7,
33,EIUIC131                      ,1998,M12,99.0,
34,EIUIC131                      ,1999,M03,99.6,
35,EIUIC131                      ,1999,M06,97.6,
36,EIUIC131                      ,1999,M09,99.5,
37,EIUIC131                      ,1999,M12,102.8,
38,EIUIC131                      ,2000,M03,100.7,
39,EIUIC131                      ,2000,M06,100.1,
40,EIUIC131                      ,2000,M09,100.2,
41,EIUIC131                      ,2000,M12,99.0,
42,EIUIC131                      ,2001,M03,97.9,
43,EIUIC131                      ,2001,M06,95.1,
44,EIUIC131                      ,2001,M09,94.9,
45,EIUIC131                      ,2001,M12,95.1,
46,EIUIC131                      ,2002,M03,93.9,
47,EIUIC131                      ,2002,M06,98.3,
48,EIUIC131                      ,2002,M09,100.3,
49,EIUIC131                      ,2002,M12,105.9,
50,EIUIC131                      ,2003,M03,108.8,
51,EIUIC131                      ,2003,M06,109.4,
52,EIUIC131                      ,2003,M09,112.5,
53,EIUIC131                      ,2003,M12,112.9,
54,EIUIC131                      ,2004,M03,116.2,
55,EIUIC131                      ,2004,M06,116.6,
56,EIUIC131                      ,2004,M09,118.7,
57,EIUIC131                      ,2004,M12,125.1,
58,EIUIC131                      ,2005,M03,126.3,
59,EIUIC131                      ,2005,M06,125.6,
60,EIUIC131                      ,2005,M09,127.5,
61,EIUIC131                      ,2005,M12,124.6,
62,EIUIC131                      ,2006,M01,123.2,
63,EIUIC131                      ,2006,M02,124.8,
64,EIUIC131                      ,2006,M03,124.6,
65,EIUIC131                      ,2006,M04,124.6,
66,EIUIC131                      ,2006,M05,127.0,
67,EIUIC131                      ,2006,M06,129.2,
68,EIUIC131                      ,2006,M07,128.1,
69,EIUIC131                      ,2006,M08,128.3,
70,EIUIC131                      ,2006,M09,128.9,
71,EIUIC131                      ,2006,M10,128.0,
72,EIUIC131                      ,2006,M11,126.4,
73,EIUIC131                      ,2006,M12,127.1,
74,EIUIC131                      ,2007,M01,128.0,
75,EIUIC131                      ,2007,M02,126.6,
76,EIUIC131                      ,2007,M03,126.6,
77,EIUIC131                      ,2007,M04,126.9,
78,EIUIC131                      ,2007,M05,127.6,
79,EIUIC131                      ,2007,M06,127.3,
80,EIUIC131                      ,2007,M07,127.4,
81,EIUIC131                      ,2007,M08,129.4,
82,EIUIC131                      ,2007,M09,129.6,
83,EIUIC131                      ,2007,M10,131.1,
84,EIUIC131                      ,2007,M11,134.1,
85,EIUIC131                      ,2007,M12,138.1,
86,EIUIC131                      ,2008,M01,138.8,
87,EIUIC131                      ,2008,M02,139.4,
88,EIUIC131                      ,2008,M03,140.7,
89,EIUIC131                      ,2008,M04,145.8,
90,EIUIC131                      ,2008,M05,150.2,
91,EIUIC131                      ,2008,M06,152.1,
92,EIUIC131                      ,2008,M07,155.2,
93,EIUIC131                      ,2008,M08,155.5,
94,EIUIC131                      ,2008,M09,151.6,
95,EIUIC131                      ,2008,M10,147.7,
96,EIUIC131                      ,2008,M11,142.8,
97,EIUIC131                      ,2008,M12,136.8,
98,EIUIC131                      ,2009,M01,134.0,
99,EIUIC131                      ,2009,M02,131.4,
100,EIUIC131                      ,2009,M03,127.5,
101,EIUIC131                      ,2009,M04,125.5,
102,EIUIC131                      ,2009,M05,124.3,
103,EIUIC131                      ,2009,M06,125.1,
104,EIUIC131                      ,2009,M07,125.3,
105,EIUIC131                      ,2009,M08,125.9,
106,EIUIC131                      ,2009,M09,127.4,
107,EIUIC131                      ,2009,M10,134.8,
108,EIUIC131                      ,2009,M11,140.3,
109,EIUIC131                      ,2009,M12,147.3,
110,EIUIC131                      ,2010,M01,144.0,
111,EIUIC131                      ,2010,M02,143.1,
112,EIUIC131                      ,2010,M03,144.3,
113,EIUIC131                      ,2010,M04,144.9,
114,EIUIC131                      ,2010,M05,147.2,
115,EIUIC131                      ,2010,M06,147.1,
116,EIUIC131                      ,2010,M07,145.0,
117,EIUIC131                      ,2010,M08,146.7,
118,EIUIC131                      ,2010,M09,147.2,
119,EIUIC131                      ,2010,M10,149.5,
120,EIUIC131                      ,2010,M11,152.8,
121,EIUIC131                      ,2010,M12,153.4,
122,EIUIC131                      ,2011,M01,152.7,
123,EIUIC131                      ,2011,M02,155.0,
124,EIUIC131                      ,2011,M03,157.0,
125,EIUIC131                      ,2011,M04,159.1,
126,EIUIC131                      ,2011,M05,165.1,
127,EIUIC131                      ,2011,M06,164.4,
128,EIUIC131                      ,2011,M07,163.6,
129,EIUIC131                      ,2011,M08,164.2,
130,EIUIC131                      ,2011,M09,164.2,
131,EIUIC131                      ,2011,M10,163.4,
132,EIUIC131                      ,2011,M11,162.2,
133,EIUIC131                      ,2011,M12,160.7,
134,EIUIC131                      ,2012,M01,157.3,
135,EIUIC131                      ,2012,M02,155.5,
136,EIUIC131                      ,2012,M03,158.8,
137,EIUIC131                      ,2012,M04,161.2,
138,EIUIC131                      ,2012,M05,161.6,
139,EIUIC131                      ,2012,M06,163.2,
140,EIUIC131                      ,2012,M07,161.5,
141,EIUIC131                      ,2012,M08,161.0,
142,EIUIC131                      ,2012,M09,163.6,
143,EIUIC131                      ,2012,M10,165.5,
144,EIUIC131                      ,2012,M11,168.5,
145,EIUIC131                      ,2012,M12,167.5,
146,EIUIC131                      ,2013,M01,165.7,
147,EIUIC131                      ,2013,M02,164.5,
148,EIUIC131                      ,2013,M03,163.8,
149,EIUIC131                      ,2013,M04,162.9,
150,EIUIC131                      ,2013,M05,161.9,
151,EIUIC131                      ,2013,M06,160.6,
152,EIUIC131                      ,2013,M07,160.6,
153,EIUIC131                      ,2013,M08,160.6,
154,EIUIC131                      ,2013,M09,161.5,
155,EIUIC131                      ,2013,M10,162.8,
156,EIUIC131                      ,2013,M11,165.5,
157,EIUIC131                      ,2013,M12,164.8,
158,EIUIC131                      ,2014,M01,164.2,
