index,Index,Label,unit,start,last,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
JTU000000000000000LDL         ,JTU000000000000000LDL         ,0,L,2000-M12,2021-M10,24971.0,23621.0,24353.0,23701.0,23495.0,22267.0,23556.0,25443.0,27434.0,22562.0,22134.0,22023.0,20959.0,21147.0,21779.0,21240.0,21585.0,21804.0,21851.0,41018.0
JTU000000000000000LDR         ,JTU000000000000000LDR         ,0,R,2000-M12,2021-M10,18.9,18.1,18.7,18.0,17.5,16.3,17.1,18.5,20.9,17.3,16.8,16.4,15.4,15.2,15.4,14.7,14.7,14.6,14.5,28.8
JTU000000MW0000000LDL         ,JTU000000MW0000000LDL         ,0,L,2000-M12,2021-M10,6328.0,5391.0,5260.0,5215.0,5517.0,4952.0,5449.0,5526.0,5989.0,5237.0,4991.0,4829.0,4327.0,4664.0,4972.0,4919.0,4865.0,4788.0,4419.0,9136.0
JTU000000MW0000000LDR         ,JTU000000MW0000000LDR         ,0,R,2000-M12,2021-M10,20.1,17.4,17.1,16.9,17.8,15.8,17.3,17.7,20.1,17.7,16.6,15.9,14.1,15.0,15.7,15.4,15.1,14.7,13.5,29.7
JTU000000NE0000000LDL         ,JTU000000NE0000000LDL         ,0,L,2000-M12,2021-M10,4659.0,4472.0,4645.0,4754.0,4385.0,3832.0,4161.0,4503.0,5214.0,4502.0,4186.0,4106.0,4024.0,3858.0,3807.0,4030.0,4124.0,3930.0,3968.0,8244.0
JTU000000NE0000000LDR         ,JTU000000NE0000000LDR         ,0,R,2000-M12,2021-M10,18.4,17.9,18.7,19.1,17.5,15.1,16.1,17.4,20.9,18.1,16.7,16.3,15.8,15.0,14.5,15.2,15.3,14.4,14.4,31.8
JTU000000SO0000000LDL         ,JTU000000SO0000000LDL         ,0,L,2000-M12,2021-M10,8060.0,8246.0,8837.0,8226.0,8352.0,8010.0,8576.0,9077.0,9628.0,7606.0,8110.0,8184.0,7639.0,7598.0,7892.0,7525.0,8182.0,8353.0,8248.0,13329.0
JTU000000SO0000000LDR         ,JTU000000SO0000000LDR         ,0,R,2000-M12,2021-M10,17.3,17.9,19.1,17.5,17.4,16.3,17.2,18.3,20.2,16.1,16.9,16.8,15.4,15.0,15.3,14.3,15.3,15.3,14.9,25.5
JTU000000WE0000000LDL         ,JTU000000WE0000000LDL         ,0,L,2000-M12,2021-M10,5924.0,5515.0,5614.0,5505.0,5239.0,5478.0,5371.0,6333.0,6603.0,5221.0,4848.0,4904.0,4973.0,5026.0,5109.0,4766.0,4413.0,4733.0,5217.0,10309.0
JTU000000WE0000000LDR         ,JTU000000WE0000000LDR         ,0,R,2000-M12,2021-M10,20.6,19.4,19.7,18.9,17.5,17.9,17.3,20.7,22.8,18.3,16.7,16.4,16.2,15.9,15.8,14.4,13.0,13.7,14.8,31.0
JTU100000000000000LDL         ,JTU100000000000000LDL         ,100000,L,2000-M12,2021-M10,23842.0,22393.0,23016.0,22355.0,22181.0,20877.0,22184.0,24227.0,25803.0,20465.0,20794.0,20747.0,19783.0,20074.0,20440.0,19905.0,20249.0,20550.0,20607.0,39081.0
JTU100000000000000LDR         ,JTU100000000000000LDR         ,100000,R,2000-M12,2021-M10,21.5,20.5,21.2,20.3,19.8,18.2,19.2,21.1,23.7,19.0,18.9,18.5,17.3,17.1,17.1,16.3,16.3,16.3,16.1,32.5
JTU110099000000000LDL         ,JTU110099000000000LDL         ,110099,L,2000-M12,2021-M10,119.0,109.0,110.0,99.0,88.0,81.0,100.0,137.0,200.0,102.0,83.0,148.0,150.0,141.0,241.0,173.0,125.0,128.0,151.0,206.0
JTU110099000000000LDR         ,JTU110099000000000LDR         ,110099,R,2000-M12,2021-M10,19.6,18.7,19.2,16.8,14.0,11.8,13.8,17.9,28.8,14.5,10.5,17.5,17.4,15.8,29.6,25.9,18.5,17.6,20.8,33.3
JTU230000000000000LDL         ,JTU230000000000000LDL         ,230000,L,2000-M12,2021-M10,3216.0,3227.0,3346.0,3072.0,2902.0,2836.0,2972.0,3468.0,3861.0,3109.0,2893.0,2812.0,2426.0,1986.0,2134.0,2238.0,2241.0,2002.0,2583.0,3216.0
JTU230000000000000LDR         ,JTU230000000000000LDR         ,230000,R,2000-M12,2021-M10,47.1,48.0,49.7,44.0,39.6,36.9,39.0,48.4,64.2,56.3,52.3,49.8,41.4,32.3,33.0,33.3,32.2,27.5,34.5,44.2
JTU300000000000000LDL         ,JTU300000000000000LDL         ,300000,L,2000-M12,2021-M10,3352.0,2768.0,2409.0,2048.0,1878.0,1811.0,2031.0,2287.0,2861.0,1673.0,1393.0,1332.0,1243.0,1213.0,1277.0,1293.0,1250.0,1370.0,1315.0,2752.0
JTU300000000000000LDR         ,JTU300000000000000LDR         ,300000,R,2000-M12,2021-M10,20.4,18.1,16.6,14.3,13.2,12.8,14.6,17.1,24.1,14.5,11.9,11.2,10.3,10.0,10.3,10.5,10.0,10.8,10.3,22.6
JTU320000000000000LDL         ,JTU320000000000000LDL         ,320000,L,2000-M12,2021-M10,2004.0,1692.0,1481.0,1242.0,1147.0,1038.0,1232.0,1468.0,1856.0,936.0,768.0,802.0,776.0,716.0,790.0,803.0,703.0,752.0,750.0,1727.0
