,series_id,year,period,value,footnote_codes
0,PCU211---211---               ,1985,M12,100.0,
1,PCU211---211---               ,1986,M01,99.7,
2,PCU211---211---               ,1986,M02,90.7,
3,PCU211---211---               ,1986,M03,84.8,
4,PCU211---211---               ,1986,M04,78.8,
5,PCU211---211---               ,1986,M05,77.2,
6,PCU211---211---               ,1986,M06,76.1,
7,PCU211---211---               ,1986,M07,70.4,
8,PCU211---211---               ,1986,M08,68.5,
9,PCU211---211---               ,1986,M09,68.8,
10,PCU211---211---               ,1986,M10,69.3,
11,PCU211---211---               ,1986,M11,69.9,
12,PCU211---211---               ,1986,M12,69.0,
14,PCU211---211---               ,1987,M01,72.3,
15,PCU211---211---               ,1987,M02,72.4,
16,PCU211---211---               ,1987,M03,74.6,
17,PCU211---211---               ,1987,M04,74.5,
18,PCU211---211---               ,1987,M05,74.0,
19,PCU211---211---               ,1987,M06,74.6,
20,PCU211---211---               ,1987,M07,76.1,
21,PCU211---211---               ,1987,M08,77.0,
22,PCU211---211---               ,1987,M09,75.9,
23,PCU211---211---               ,1987,M10,74.0,
24,PCU211---211---               ,1987,M11,72.7,
25,PCU211---211---               ,1987,M12,73.2,
27,PCU211---211---               ,1988,M01,71.3,
28,PCU211---211---               ,1988,M02,70.2,
29,PCU211---211---               ,1988,M03,69.4,
30,PCU211---211---               ,1988,M04,71.8,
31,PCU211---211---               ,1988,M05,71.1,
32,PCU211---211---               ,1988,M06,69.0,
33,PCU211---211---               ,1988,M07,67.9,
34,PCU211---211---               ,1988,M08,66.3,
35,PCU211---211---               ,1988,M09,65.4,
36,PCU211---211---               ,1988,M10,65.9,
37,PCU211---211---               ,1988,M11,65.2,
38,PCU211---211---               ,1988,M12,68.3,
40,PCU211---211---               ,1989,M01,73.0,
41,PCU211---211---               ,1989,M02,74.5,
42,PCU211---211---               ,1989,M03,73.8,
43,PCU211---211---               ,1989,M04,76.7,
44,PCU211---211---               ,1989,M05,78.1,
45,PCU211---211---               ,1989,M06,77.2,
46,PCU211---211---               ,1989,M07,78.1,
47,PCU211---211---               ,1989,M08,72.8,
48,PCU211---211---               ,1989,M09,75.8,
49,PCU211---211---               ,1989,M10,75.2,
50,PCU211---211---               ,1989,M11,75.5,
51,PCU211---211---               ,1989,M12,77.3,
53,PCU211---211---               ,1990,M01,82.0,
54,PCU211---211---               ,1990,M02,82.3,
55,PCU211---211---               ,1990,M03,77.9,
56,PCU211---211---               ,1990,M04,73.1,
57,PCU211---211---               ,1990,M05,73.8,
58,PCU211---211---               ,1990,M06,69.4,
59,PCU211---211---               ,1990,M07,71.8,
60,PCU211---211---               ,1990,M08,80.7,
61,PCU211---211---               ,1990,M09,89.7,
62,PCU211---211---               ,1990,M10,103.0,
63,PCU211---211---               ,1990,M11,97.0,
64,PCU211---211---               ,1990,M12,91.8,
66,PCU211---211---               ,1991,M01,94.8,
67,PCU211---211---               ,1991,M02,81.0,
68,PCU211---211---               ,1991,M03,75.5,
69,PCU211---211---               ,1991,M04,74.1,
70,PCU211---211---               ,1991,M05,76.9,
71,PCU211---211---               ,1991,M06,74.5,
72,PCU211---211---               ,1991,M07,74.9,
73,PCU211---211---               ,1991,M08,75.9,
74,PCU211---211---               ,1991,M09,73.6,
75,PCU211---211---               ,1991,M10,77.6,
76,PCU211---211---               ,1991,M11,79.1,
77,PCU211---211---               ,1991,M12,77.1,
79,PCU211---211---               ,1992,M01,73.5,
80,PCU211---211---               ,1992,M02,73.5,
81,PCU211---211---               ,1992,M03,70.0,
82,PCU211---211---               ,1992,M04,71.8,
83,PCU211---211---               ,1992,M05,73.9,
84,PCU211---211---               ,1992,M06,75.5,
85,PCU211---211---               ,1992,M07,78.1,
86,PCU211---211---               ,1992,M08,76.9,
87,PCU211---211---               ,1992,M09,81.8,
88,PCU211---211---               ,1992,M10,80.3,
89,PCU211---211---               ,1992,M11,83.7,
90,PCU211---211---               ,1992,M12,79.4,
92,PCU211---211---               ,1993,M01,78.7,
93,PCU211---211---               ,1993,M02,75.8,
94,PCU211---211---               ,1993,M03,75.3,
95,PCU211---211---               ,1993,M04,75.9,
96,PCU211---211---               ,1993,M05,80.7,
97,PCU211---211---               ,1993,M06,82.0,
98,PCU211---211---               ,1993,M07,74.6,
99,PCU211---211---               ,1993,M08,73.0,
