,series_id,year,period,value,footnote_codes
0,PCU323---323---               ,2003,M12,100.0,
1,PCU323---323---               ,2004,M01,100.2,
2,PCU323---323---               ,2004,M02,100.2,
3,PCU323---323---               ,2004,M03,100.4,
4,PCU323---323---               ,2004,M04,100.8,
5,PCU323---323---               ,2004,M05,100.8,
6,PCU323---323---               ,2004,M06,101.0,
7,PCU323---323---               ,2004,M07,101.3,
8,PCU323---323---               ,2004,M08,101.3,
9,PCU323---323---               ,2004,M09,101.8,
10,PCU323---323---               ,2004,M10,101.8,
11,PCU323---323---               ,2004,M11,102.0,
12,PCU323---323---               ,2004,M12,102.0,
13,PCU323---323---               ,2004,M13,101.1,
14,PCU323---323---               ,2005,M01,102.5,
15,PCU323---323---               ,2005,M02,102.4,
16,PCU323---323---               ,2005,M03,102.5,
17,PCU323---323---               ,2005,M04,102.8,
18,PCU323---323---               ,2005,M05,102.8,
19,PCU323---323---               ,2005,M06,102.9,
20,PCU323---323---               ,2005,M07,103.2,
21,PCU323---323---               ,2005,M08,103.4,
22,PCU323---323---               ,2005,M09,103.6,
23,PCU323---323---               ,2005,M10,103.7,
24,PCU323---323---               ,2005,M11,103.7,
25,PCU323---323---               ,2005,M12,103.9,
26,PCU323---323---               ,2005,M13,103.1,
27,PCU323---323---               ,2006,M01,104.5,
28,PCU323---323---               ,2006,M02,104.8,
29,PCU323---323---               ,2006,M03,105.2,
30,PCU323---323---               ,2006,M04,105.3,
31,PCU323---323---               ,2006,M05,105.4,
32,PCU323---323---               ,2006,M06,105.5,
33,PCU323---323---               ,2006,M07,105.6,
34,PCU323---323---               ,2006,M08,105.8,
35,PCU323---323---               ,2006,M09,105.9,
36,PCU323---323---               ,2006,M10,106.3,
37,PCU323---323---               ,2006,M11,106.3,
38,PCU323---323---               ,2006,M12,106.3,
39,PCU323---323---               ,2006,M13,105.6,
40,PCU323---323---               ,2007,M01,106.3,
41,PCU323---323---               ,2007,M02,106.1,
42,PCU323---323---               ,2007,M03,106.3,
