,series_id,year,period,value,footnote_codes
13,PCU331---331---               ,1985,M13,99.4,
26,PCU331---331---               ,1986,M13,97.0,
39,PCU331---331---               ,1987,M13,101.0,
52,PCU331---331---               ,1988,M13,113.0,
65,PCU331---331---               ,1989,M13,118.8,
78,PCU331---331---               ,1990,M13,116.5,
91,PCU331---331---               ,1991,M13,113.1,
104,PCU331---331---               ,1992,M13,111.7,
117,PCU331---331---               ,1993,M13,111.4,
130,PCU331---331---               ,1994,M13,117.0,
143,PCU331---331---               ,1995,M13,128.2,
156,PCU331---331---               ,1996,M13,123.7,
169,PCU331---331---               ,1997,M13,124.7,
182,PCU331---331---               ,1998,M13,120.9,
195,PCU331---331---               ,1999,M13,115.8,
208,PCU331---331---               ,2000,M13,119.8,
221,PCU331---331---               ,2001,M13,116.1,
234,PCU331---331---               ,2002,M13,116.2,
247,PCU331---331---               ,2003,M13,118.4,
260,PCU331---331---               ,2004,M13,142.8,
273,PCU331---331---               ,2005,M13,156.3,
286,PCU331---331---               ,2006,M13,179.3,
299,PCU331---331---               ,2007,M13,190.5,
312,PCU331---331---               ,2008,M13,211.9,
325,PCU331---331---               ,2009,M13,172.5,
338,PCU331---331---               ,2010,M13,196.1,
351,PCU331---331---               ,2011,M13,217.2,
364,PCU331---331---               ,2012,M13,207.6,
377,PCU331---331---               ,2013,M13,198.7,
390,PCU331---331---               ,2014,M13,201.0,
403,PCU331---331---               ,2015,M13,184.0,
416,PCU331---331---               ,2016,M13,175.2,
429,PCU331---331---               ,2017,M13,191.4,
442,PCU331---331---               ,2018,M13,211.5,
455,PCU331---331---               ,2019,M13,206.7,
468,PCU331---331---               ,2020,M13,195.1,
493,PCU3311--3311--               ,2004,M13,127.7,
506,PCU3311--3311--               ,2005,M13,136.7,
519,PCU3311--3311--               ,2006,M13,150.9,
532,PCU3311--3311--               ,2007,M13,160.8,
545,PCU3311--3311--               ,2008,M13,189.7,
558,PCU3311--3311--               ,2009,M13,138.1,
571,PCU3311--3311--               ,2010,M13,163.4,
584,PCU3311--3311--               ,2011,M13,183.6,
597,PCU3311--3311--               ,2012,M13,175.5,
610,PCU3311--3311--               ,2013,M13,164.8,
623,PCU3311--3311--               ,2014,M13,170.7,
636,PCU3311--3311--               ,2015,M13,148.8,
649,PCU3311--3311--               ,2016,M13,139.1,
662,PCU3311--3311--               ,2017,M13,156.8,
675,PCU3311--3311--               ,2018,M13,178.5,
688,PCU3311--3311--               ,2019,M13,170.1,
701,PCU3311--3311--               ,2020,M13,150.7,
726,PCU33111-33111-               ,2004,M13,127.7,
739,PCU33111-33111-               ,2005,M13,136.7,
752,PCU33111-33111-               ,2006,M13,150.9,
765,PCU33111-33111-               ,2007,M13,160.8,
778,PCU33111-33111-               ,2008,M13,189.7,
791,PCU33111-33111-               ,2009,M13,138.1,
804,PCU33111-33111-               ,2010,M13,163.4,
817,PCU33111-33111-               ,2011,M13,183.6,
830,PCU33111-33111-               ,2012,M13,175.5,
843,PCU33111-33111-               ,2013,M13,164.8,
856,PCU33111-33111-               ,2014,M13,170.7,
869,PCU33111-33111-               ,2015,M13,148.8,
882,PCU33111-33111-               ,2016,M13,139.1,
895,PCU33111-33111-               ,2017,M13,156.8,
908,PCU33111-33111-               ,2018,M13,178.5,
921,PCU33111-33111-               ,2019,M13,170.1,
934,PCU33111-33111-               ,2020,M13,150.7,
958,PCU331110331110               ,1965,M13,27.6,
971,PCU331110331110               ,1966,M13,27.9,
984,PCU331110331110               ,1967,M13,28.3,
997,PCU331110331110               ,1968,M13,28.9,
1010,PCU331110331110               ,1969,M13,30.3,
1023,PCU331110331110               ,1970,M13,32.3,
1036,PCU331110331110               ,1971,M13,34.9,
1049,PCU331110331110               ,1972,M13,36.9,
1062,PCU331110331110               ,1973,M13,38.0,
1075,PCU331110331110               ,1974,M13,49.0,
1088,PCU331110331110               ,1975,M13,57.8,
1101,PCU331110331110               ,1976,M13,61.3,
1114,PCU331110331110               ,1977,M13,67.0,
1127,PCU331110331110               ,1978,M13,74.2,
1140,PCU331110331110               ,1979,M13,81.7,
1153,PCU331110331110               ,1980,M13,87.8,
1166,PCU331110331110               ,1981,M13,96.9,
1179,PCU331110331110               ,1982,M13,100.0,
1192,PCU331110331110               ,1983,M13,101.1,
1205,PCU331110331110               ,1984,M13,104.7,
1218,PCU331110331110               ,1985,M13,104.9,
1231,PCU331110331110               ,1986,M13,99.7,
1244,PCU331110331110               ,1987,M13,102.4,
1257,PCU331110331110               ,1988,M13,109.4,
1270,PCU331110331110               ,1989,M13,113.0,
1283,PCU331110331110               ,1990,M13,110.8,
1296,PCU331110331110               ,1991,M13,108.4,
1309,PCU331110331110               ,1992,M13,105.8,
1322,PCU331110331110               ,1993,M13,107.4,
1335,PCU331110331110               ,1994,M13,112.4,
1348,PCU331110331110               ,1995,M13,118.5,
1361,PCU331110331110               ,1996,M13,114.0,
1374,PCU331110331110               ,1997,M13,114.2,
1387,PCU331110331110               ,1998,M13,111.3,
1400,PCU331110331110               ,1999,M13,102.0,
1413,PCU331110331110               ,2000,M13,104.1,
1426,PCU331110331110               ,2001,M13,96.9,
1439,PCU331110331110               ,2002,M13,100.1,
1452,PCU331110331110               ,2003,M13,103.8,
1465,PCU331110331110               ,2004,M13,136.4,
1478,PCU331110331110               ,2005,M13,145.9,
1491,PCU331110331110               ,2006,M13,161.5,
1504,PCU331110331110               ,2007,M13,172.0,
1517,PCU331110331110               ,2008,M13,202.5,
1530,PCU331110331110               ,2009,M13,147.8,
1543,PCU331110331110               ,2010,M13,175.1,
1556,PCU331110331110               ,2011,M13,197.0,
1569,PCU331110331110               ,2012,M13,188.2,
1582,PCU331110331110               ,2013,M13,176.8,
1595,PCU331110331110               ,2014,M13,183.1,
1608,PCU331110331110               ,2015,M13,159.6,
1621,PCU331110331110               ,2016,M13,149.2,
1634,PCU331110331110               ,2017,M13,168.2,
1647,PCU331110331110               ,2018,M13,191.4,
1660,PCU331110331110               ,2019,M13,182.5,
1673,PCU331110331110               ,2020,M13,161.7,
1697,PCU3311103311103              ,1965,M13,26.4,
1710,PCU3311103311103              ,1966,M13,26.6,
1723,PCU3311103311103              ,1967,M13,27.0,
1736,PCU3311103311103              ,1968,M13,27.7,
1749,PCU3311103311103              ,1969,M13,29.3,
1762,PCU3311103311103              ,1970,M13,30.8,
1775,PCU3311103311103              ,1971,M13,33.7,
1788,PCU3311103311103              ,1972,M13,35.9,
1801,PCU3311103311103              ,1973,M13,36.4,
1814,PCU3311103311103              ,1974,M13,46.9,
1827,PCU3311103311103              ,1975,M13,56.4,
