index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
PCU332---332---               ,PCU332---332---               ,"PPI industry sub-sector data for Fabricated metal product mfg, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6,101.0,102.1,107.4,112.6,115.1,116.6,117.2,118.2,120.3,124.8,126.2,127.6,128.7,129.1,130.3,131.0,131.7,132.9,141.3,149.5,155.7,162.3,174.4,175.2,176.5,182.8,185.4,186.4,188.4,189.1,188.8,191.8,200.0,204.6,205.8,230.168
PCU3321--3321--               ,PCU3321--3321--               ,"PPI industry group data for Forging & stamping, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,113.3,116.8,120.9,130.8,128.0,130.3,135.8,134.9,133.4,133.1,129.8,128.3,130.9,133.1,131.9,130.0,155.907
PCU33211-33211-               ,PCU33211-33211-               ,"PPI industry data for Forging & stamping, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,113.3,116.8,120.9,130.8,128.0,130.3,135.8,134.9,133.4,133.1,129.8,128.3,130.9,133.1,131.9,130.1,155.932
PCU332111332111               ,PCU332111332111               ,"PPI industry data for Iron and steel forging, not seasonally adjusted",Index base: 1983.12 = 100,1983-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5,97.7,96.2,95.6,98.6,106.5,107.3,106.6,106.3,107.3,108.8,112.8,114.6,116.1,117.7,115.7,115.8,114.7,112.9,112.8,117.5,128.1,133.9,140.4,150.9,148.6,150.6,157.5,159.1,158.2,160.5,158.7,157.2,157.6,156.7,151.0,148.2,161.266
PCU3321113321111              ,PCU3321113321111              ,"PPI industry data for Iron and steel forging-Hot impression die impact, press and upset steel forgings, not seasonally adjusted",Index base: 1983.12 = 100,1983-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,97.8,96.7,97.1,100.5,108.4,109.9,110.6,111.2,111.8,112.5,115.2,116.3,117.9,121.1,120.3,120.2,118.9,118.0,118.8,123.7,136.4,140.0,139.3,146.5,156.0,155.4,161.4,164.2,165.5,167.7,165.6,162.3,162.9,164.4,158.7,153.6,168.926
PCU33211133211111             ,PCU33211133211111             ,"PPI industry data for Iron and steel forging-Hot impression die impact, press and upset carbon steel forgings, not seasonally adjusted",Index base: 1983.12 = 100,1983-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.8,101.5,100.1,101.8,105.8,111.0,112.4,112.6,112.9,112.9,113.3,114.9,115.9,119.4,125.5,126.5,127.4,127.2,126.7,127.6,132.4,149.1,151.9,154.6,170.2,176.3,175.5,181.6,184.6,187.6,189.1,184.6,181.5,179.8,177.6,169.3,162.0,179.577
PCU33211133211112             ,PCU33211133211112             ,"PPI industry data for Iron and steel forging-Hot impression die impact, press and upset alloy steel forgings, not seasonally adjusted",Index base: 1983.12 = 100,1983-M12,2022-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4,99.9,98.9,98.3,101.3,107.4,108.3,108.4,109.2,110.5,111.1,114.3,115.3,114.7,114.5,113.0,111.5,109.2,107.7,108.6,111.1,117.1,120.0,119.9,123.0,136.8,137.8,144.2,145.7,145.9,147.6,146.9,142.5,145.6,150.9,145.6,141.6,157.721
PCU33211133211113             ,PCU33211133211113             ,"PPI industry data for Iron and steel forging-Hot impression die impact, press and upset stainless steel forgings, not seasonally adjusted",Index base: 1983.12 = 100,1983-M12,2014-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,93.5,93.1,92.2,97.9,116.5,119.7,114.0,111.1,110.7,114.3,121.5,126.0,125.3,126.4,125.2,127.1,125.5,118.9,120.4,147.7,173.6,189.4,190.2,172.1,,191.0,194.3,206.4,205.8,,,,,,,,
PCU33211133211114             ,PCU33211133211114             ,"PPI industry data for Iron and steel forging-Hot impression die impact, press and upset hi-temp steel forgings, not seasonally adjusted",Index base: 1998.06 = 100,1998-M06,2003-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.9,94.7,94.8,,,,,,,,,,,,,,,,,,
PCU3321113321114              ,PCU3321113321114              ,"PPI industry data for Iron and steel forging-Seamless rolled ring forgings, ferrous, from purchased iron and steel, not seasonally adjusted",Index base: 1983.12 = 100,1983-M12,2009-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,97.8,97.4,96.8,99.4,106.1,107.7,108.8,107.1,104.5,108.5,112.5,123.1,121.3,123.9,122.2,120.1,113.9,109.6,105.9,107.9,115.6,,156.9,,,,,,,,,,,,,,
