,series_id,year,period,value,footnote_codes
13,PCU336---336---               ,2004,M13,100.9,
26,PCU336---336---               ,2005,M13,102.5,
39,PCU336---336---               ,2006,M13,103.2,
52,PCU336---336---               ,2007,M13,104.9,
65,PCU336---336---               ,2008,M13,107.3,
78,PCU336---336---               ,2009,M13,109.5,
91,PCU336---336---               ,2010,M13,110.4,
104,PCU336---336---               ,2011,M13,112.3,
117,PCU336---336---               ,2012,M13,114.8,
130,PCU336---336---               ,2013,M13,116.0,
143,PCU336---336---               ,2014,M13,117.6,
156,PCU336---336---               ,2015,M13,119.3,
169,PCU336---336---               ,2016,M13,120.2,
182,PCU336---336---               ,2017,M13,121.6,
195,PCU336---336---               ,2018,M13,123.3,
208,PCU336---336---               ,2019,M13,124.6,
221,PCU336---336---               ,2020,M13,125.3,
234,PCU336---336---               ,2021,M13,128.708,P
249,PCU3361--3361--               ,2004,M13,99.4,
262,PCU3361--3361--               ,2005,M13,98.7,
275,PCU3361--3361--               ,2006,M13,96.1,
288,PCU3361--3361--               ,2007,M13,96.6,
301,PCU3361--3361--               ,2008,M13,98.0,
314,PCU3361--3361--               ,2009,M13,100.9,
327,PCU3361--3361--               ,2010,M13,101.2,
340,PCU3361--3361--               ,2011,M13,102.0,
353,PCU3361--3361--               ,2012,M13,104.7,
366,PCU3361--3361--               ,2013,M13,105.8,
379,PCU3361--3361--               ,2014,M13,107.7,
392,PCU3361--3361--               ,2015,M13,110.3,
405,PCU3361--3361--               ,2016,M13,111.3,
418,PCU3361--3361--               ,2017,M13,112.9,
431,PCU3361--3361--               ,2018,M13,113.8,
444,PCU3361--3361--               ,2019,M13,114.2,
457,PCU3361--3361--               ,2020,M13,114.0,
470,PCU3361--3361--               ,2021,M13,117.023,P
485,PCU33611-33611-               ,2004,M13,99.2,
498,PCU33611-33611-               ,2005,M13,98.2,
511,PCU33611-33611-               ,2006,M13,95.1,
524,PCU33611-33611-               ,2007,M13,95.3,
537,PCU33611-33611-               ,2008,M13,96.6,
550,PCU33611-33611-               ,2009,M13,99.4,
563,PCU33611-33611-               ,2010,M13,99.4,
576,PCU33611-33611-               ,2011,M13,100.1,
589,PCU33611-33611-               ,2012,M13,102.6,
602,PCU33611-33611-               ,2013,M13,103.7,
615,PCU33611-33611-               ,2014,M13,105.6,
628,PCU33611-33611-               ,2015,M13,108.2,
641,PCU33611-33611-               ,2016,M13,109.1,
654,PCU33611-33611-               ,2017,M13,110.5,
667,PCU33611-33611-               ,2018,M13,111.3,
680,PCU33611-33611-               ,2019,M13,111.6,
693,PCU33611-33611-               ,2020,M13,111.2,
706,PCU33611-33611-               ,2021,M13,114.465,P
721,PCU336110336110               ,1976,M13,64.0,
734,PCU336110336110               ,1977,M13,68.2,
747,PCU336110336110               ,1978,M13,72.9,
760,PCU336110336110               ,1979,M13,78.7,
773,PCU336110336110               ,1980,M13,86.0,
786,PCU336110336110               ,1981,M13,94.5,
799,PCU336110336110               ,1982,M13,99.6,
812,PCU336110336110               ,1983,M13,102.1,
825,PCU336110336110               ,1984,M13,104.6,
838,PCU336110336110               ,1985,M13,107.2,
851,PCU336110336110               ,1986,M13,111.0,
864,PCU336110336110               ,1987,M13,113.0,
877,PCU336110336110               ,1988,M13,114.1,
890,PCU336110336110               ,1989,M13,117.4,
903,PCU336110336110               ,1990,M13,119.9,
916,PCU336110336110               ,1991,M13,125.3,
929,PCU336110336110               ,1992,M13,129.1,
942,PCU336110336110               ,1993,M13,133.2,
955,PCU336110336110               ,1994,M13,138.0,
968,PCU336110336110               ,1995,M13,139.1,
981,PCU336110336110               ,1996,M13,140.4,
994,PCU336110336110               ,1997,M13,138.7,
1007,PCU336110336110               ,1998,M13,136.8,
1020,PCU336110336110               ,1999,M13,137.6,
1033,PCU336110336110               ,2000,M13,138.7,
1046,PCU336110336110               ,2001,M13,137.6,
1059,PCU336110336110               ,2002,M13,134.9,
1072,PCU336110336110               ,2003,M13,135.1,
1085,PCU336110336110               ,2004,M13,136.5,
1098,PCU336110336110               ,2005,M13,135.1,
1111,PCU336110336110               ,2006,M13,130.8,
1124,PCU336110336110               ,2007,M13,131.1,
1137,PCU336110336110               ,2008,M13,132.9,
1150,PCU336110336110               ,2009,M13,136.7,
1163,PCU336110336110               ,2010,M13,136.8,
1176,PCU336110336110               ,2011,M13,137.7,
1189,PCU336110336110               ,2012,M13,141.2,
1202,PCU336110336110               ,2013,M13,142.7,
1215,PCU336110336110               ,2014,M13,145.3,
1228,PCU336110336110               ,2015,M13,148.9,
1241,PCU336110336110               ,2016,M13,150.1,
1254,PCU336110336110               ,2017,M13,152.1,
1267,PCU336110336110               ,2018,M13,153.2,
1280,PCU336110336110               ,2019,M13,153.6,
1293,PCU336110336110               ,2020,M13,153.1,
1306,PCU336110336110               ,2021,M13,157.534,P
1327,PCU3361103361101              ,1994,M13,133.6,
1340,PCU3361103361101              ,1995,M13,133.9,
1353,PCU3361103361101              ,1996,M13,135.1,
1366,PCU3361103361101              ,1997,M13,133.3,
1379,PCU3361103361101              ,1998,M13,131.6,
1392,PCU3361103361101              ,1999,M13,131.1,
1405,PCU3361103361101              ,2000,M13,132.5,
1418,PCU3361103361101              ,2001,M13,131.8,
1431,PCU3361103361101              ,2002,M13,129.3,
1444,PCU3361103361101              ,2003,M13,129.3,
1457,PCU3361103361101              ,2004,M13,131.5,
1470,PCU3361103361101              ,2005,M13,131.5,
1483,PCU3361103361101              ,2006,M13,127.8,
1496,PCU3361103361101              ,2007,M13,126.0,
1509,PCU3361103361101              ,2008,M13,128.8,
1522,PCU3361103361101              ,2009,M13,130.6,
1535,PCU3361103361101              ,2010,M13,128.5,
1548,PCU3361103361101              ,2011,M13,129.4,
1561,PCU3361103361101              ,2012,M13,130.7,
1574,PCU3361103361101              ,2013,M13,129.8,
1587,PCU3361103361101              ,2014,M13,130.6,
1600,PCU3361103361101              ,2015,M13,132.8,
1613,PCU3361103361101              ,2016,M13,132.9,
1626,PCU3361103361101              ,2017,M13,133.5,
1639,PCU3361103361101              ,2018,M13,133.5,
1652,PCU3361103361101              ,2019,M13,134.4,
1665,PCU3361103361101              ,2020,M13,134.0,
1678,PCU3361103361101              ,2021,M13,137.284,P
1692,PCU3361103361102              ,1964,M13,37.2,
1705,PCU3361103361102              ,1965,M13,37.0,
1718,PCU3361103361102              ,1966,M13,36.9,
1731,PCU3361103361102              ,1967,M13,37.2,
1744,PCU3361103361102              ,1968,M13,38.5,
1757,PCU3361103361102              ,1969,M13,39.5,
1770,PCU3361103361102              ,1970,M13,41.4,
1783,PCU3361103361102              ,1971,M13,44.6,
1796,PCU3361103361102              ,1972,M13,45.5,
1809,PCU3361103361102              ,1973,M13,46.3,
1822,PCU3361103361102              ,1974,M13,51.5,
