,series_id,year,period,value,footnote_codes
0,PCU444---444---               ,2003,M12,100.0,
1,PCU444---444---               ,2004,M01,102.3,
2,PCU444---444---               ,2004,M02,103.6,
3,PCU444---444---               ,2004,M03,104.7,
4,PCU444---444---               ,2004,M04,107.7,
5,PCU444---444---               ,2004,M05,107.1,
6,PCU444---444---               ,2004,M06,108.3,
7,PCU444---444---               ,2004,M07,112.0,
8,PCU444---444---               ,2004,M08,111.5,
9,PCU444---444---               ,2004,M09,114.0,
10,PCU444---444---               ,2004,M10,110.4,
11,PCU444---444---               ,2004,M11,108.6,
12,PCU444---444---               ,2004,M12,108.8,
14,PCU444---444---               ,2005,M01,108.7,
15,PCU444---444---               ,2005,M02,110.9,
16,PCU444---444---               ,2005,M03,110.3,
17,PCU444---444---               ,2005,M04,110.9,
18,PCU444---444---               ,2005,M05,108.0,
19,PCU444---444---               ,2005,M06,107.5,
20,PCU444---444---               ,2005,M07,107.5,
21,PCU444---444---               ,2005,M08,108.7,
22,PCU444---444---               ,2005,M09,110.8,
23,PCU444---444---               ,2005,M10,110.6,
24,PCU444---444---               ,2005,M11,111.5,
25,PCU444---444---               ,2005,M12,113.9,
27,PCU444---444---               ,2006,M01,114.2,
28,PCU444---444---               ,2006,M02,116.1,
29,PCU444---444---               ,2006,M03,114.6,
30,PCU444---444---               ,2006,M04,117.2,
31,PCU444---444---               ,2006,M05,115.7,
32,PCU444---444---               ,2006,M06,121.2,
33,PCU444---444---               ,2006,M07,121.0,
34,PCU444---444---               ,2006,M08,121.6,
35,PCU444---444---               ,2006,M09,125.0,
36,PCU444---444---               ,2006,M10,120.1,
37,PCU444---444---               ,2006,M11,116.2,
38,PCU444---444---               ,2006,M12,118.1,
40,PCU444---444---               ,2007,M01,118.0,
41,PCU444---444---               ,2007,M02,119.2,
42,PCU444---444---               ,2007,M03,119.2,
43,PCU444---444---               ,2007,M04,119.0,
44,PCU444---444---               ,2007,M05,121.8,
45,PCU444---444---               ,2007,M06,122.7,
46,PCU444---444---               ,2007,M07,122.4,
47,PCU444---444---               ,2007,M08,120.8,
48,PCU444---444---               ,2007,M09,120.1,
49,PCU444---444---               ,2007,M10,119.6,
50,PCU444---444---               ,2007,M11,118.1,
51,PCU444---444---               ,2007,M12,119.6,
53,PCU444---444---               ,2008,M01,118.6,
54,PCU444---444---               ,2008,M02,118.8,
55,PCU444---444---               ,2008,M03,118.5,
56,PCU444---444---               ,2008,M04,117.4,
57,PCU444---444---               ,2008,M05,117.8,
58,PCU444---444---               ,2008,M06,121.2,
59,PCU444---444---               ,2008,M07,121.1,
60,PCU444---444---               ,2008,M08,120.6,
61,PCU444---444---               ,2008,M09,120.7,
62,PCU444---444---               ,2008,M10,119.0,
63,PCU444---444---               ,2008,M11,118.6,
64,PCU444---444---               ,2008,M12,118.1,
66,PCU444---444---               ,2009,M01,121.2,
67,PCU444---444---               ,2009,M02,120.2,
68,PCU444---444---               ,2009,M03,121.2,
69,PCU444---444---               ,2009,M04,120.9,
70,PCU444---444---               ,2009,M05,119.7,
71,PCU444---444---               ,2009,M06,121.7,
72,PCU444---444---               ,2009,M07,120.1,
73,PCU444---444---               ,2009,M08,121.6,
74,PCU444---444---               ,2009,M09,120.0,
75,PCU444---444---               ,2009,M10,116.2,
76,PCU444---444---               ,2009,M11,113.2,
77,PCU444---444---               ,2009,M12,118.1,
79,PCU444---444---               ,2010,M01,118.3,
80,PCU444---444---               ,2010,M02,118.0,
81,PCU444---444---               ,2010,M03,118.7,
82,PCU444---444---               ,2010,M04,123.7,
83,PCU444---444---               ,2010,M05,122.9,
84,PCU444---444---               ,2010,M06,118.0,
85,PCU444---444---               ,2010,M07,119.7,
86,PCU444---444---               ,2010,M08,119.3,
87,PCU444---444---               ,2010,M09,119.2,
88,PCU444---444---               ,2010,M10,118.6,
89,PCU444---444---               ,2010,M11,118.1,
90,PCU444---444---               ,2010,M12,119.5,
92,PCU444---444---               ,2011,M01,120.0,
93,PCU444---444---               ,2011,M02,121.5,
94,PCU444---444---               ,2011,M03,123.0,
95,PCU444---444---               ,2011,M04,123.0,
96,PCU444---444---               ,2011,M05,121.9,
97,PCU444---444---               ,2011,M06,121.1,
98,PCU444---444---               ,2011,M07,120.9,
99,PCU444---444---               ,2011,M08,122.1,
100,PCU444---444---               ,2011,M09,122.1,
101,PCU444---444---               ,2011,M10,124.5,
102,PCU444---444---               ,2011,M11,124.5,
103,PCU444---444---               ,2011,M12,123.8,
105,PCU444---444---               ,2012,M01,124.9,
106,PCU444---444---               ,2012,M02,125.9,P
107,PCU444---444---               ,2012,M03,126.2,
108,PCU444---444---               ,2012,M04,127.7,
109,PCU444---444---               ,2012,M05,127.0,
110,PCU444---444---               ,2012,M06,127.7,
111,PCU444---444---               ,2012,M07,127.3,
112,PCU444---444---               ,2012,M08,128.9,
113,PCU444---444---               ,2012,M09,130.6,
114,PCU444---444---               ,2012,M10,130.5,
115,PCU444---444---               ,2012,M11,130.0,
116,PCU444---444---               ,2012,M12,131.8,
118,PCU444---444---               ,2013,M01,133.9,
119,PCU444---444---               ,2013,M02,136.7,
120,PCU444---444---               ,2013,M03,136.9,
121,PCU444---444---               ,2013,M04,139.6,
122,PCU444---444---               ,2013,M05,138.3,
123,PCU444---444---               ,2013,M06,138.1,
124,PCU444---444---               ,2013,M07,138.4,
125,PCU444---444---               ,2013,M08,135.8,
126,PCU444---444---               ,2013,M09,136.7,
127,PCU444---444---               ,2013,M10,135.3,
128,PCU444---444---               ,2013,M11,133.8,
129,PCU444---444---               ,2013,M12,133.9,
131,PCU444---444---               ,2014,M01,133.7,
132,PCU444---444---               ,2014,M02,133.3,
133,PCU444---444---               ,2014,M03,132.0,
134,PCU444---444---               ,2014,M04,132.0,
135,PCU444---444---               ,2014,M05,132.3,
136,PCU444---444---               ,2014,M06,132.7,
137,PCU444---444---               ,2014,M07,133.9,
138,PCU444---444---               ,2014,M08,133.7,
139,PCU444---444---               ,2014,M09,134.9,
140,PCU444---444---               ,2014,M10,134.4,
141,PCU444---444---               ,2014,M11,134.8,
142,PCU444---444---               ,2014,M12,133.7,
144,PCU444---444---               ,2015,M01,133.9,
145,PCU444---444---               ,2015,M02,136.2,
146,PCU444---444---               ,2015,M03,136.3,
147,PCU444---444---               ,2015,M04,135.5,
148,PCU444---444---               ,2015,M05,136.5,
149,PCU444---444---               ,2015,M06,136.5,
150,PCU444---444---               ,2015,M07,137.8,
151,PCU444---444---               ,2015,M08,136.3,
152,PCU444---444---               ,2015,M09,135.1,
153,PCU444---444---               ,2015,M10,134.7,
154,PCU444---444---               ,2015,M11,135.5,
155,PCU444---444---               ,2015,M12,135.2,
157,PCU444---444---               ,2016,M01,134.4,
158,PCU444---444---               ,2016,M02,135.9,
159,PCU444---444---               ,2016,M03,135.1,
160,PCU444---444---               ,2016,M04,136.1,
161,PCU444---444---               ,2016,M05,136.6,
162,PCU444---444---               ,2016,M06,138.8,
163,PCU444---444---               ,2016,M07,137.7,
164,PCU444---444---               ,2016,M08,138.5,
165,PCU444---444---               ,2016,M09,137.5,
166,PCU444---444---               ,2016,M10,136.2,
167,PCU444---444---               ,2016,M11,136.9,
168,PCU444---444---               ,2016,M12,137.7,
170,PCU444---444---               ,2017,M01,138.0,
171,PCU444---444---               ,2017,M02,138.2,
172,PCU444---444---               ,2017,M03,140.5,
173,PCU444---444---               ,2017,M04,139.0,
174,PCU444---444---               ,2017,M05,139.9,
175,PCU444---444---               ,2017,M06,140.5,
176,PCU444---444---               ,2017,M07,140.7,
177,PCU444---444---               ,2017,M08,142.2,
178,PCU444---444---               ,2017,M09,139.9,
179,PCU444---444---               ,2017,M10,140.7,
180,PCU444---444---               ,2017,M11,141.1,
181,PCU444---444---               ,2017,M12,143.0,
183,PCU444---444---               ,2018,M01,141.5,
184,PCU444---444---               ,2018,M02,143.4,
185,PCU444---444---               ,2018,M03,143.7,
186,PCU444---444---               ,2018,M04,145.7,
187,PCU444---444---               ,2018,M05,147.3,
188,PCU444---444---               ,2018,M06,149.4,
189,PCU444---444---               ,2018,M07,150.4,
190,PCU444---444---               ,2018,M08,148.9,
191,PCU444---444---               ,2018,M09,147.9,
192,PCU444---444---               ,2018,M10,149.1,
193,PCU444---444---               ,2018,M11,147.4,
194,PCU444---444---               ,2018,M12,148.7,
196,PCU444---444---               ,2019,M01,145.9,
197,PCU444---444---               ,2019,M02,145.9,
198,PCU444---444---               ,2019,M03,148.7,
199,PCU444---444---               ,2019,M04,152.1,
200,PCU444---444---               ,2019,M05,147.1,
201,PCU444---444---               ,2019,M06,146.0,
202,PCU444---444---               ,2019,M07,149.2,
203,PCU444---444---               ,2019,M08,150.4,
204,PCU444---444---               ,2019,M09,153.6,
205,PCU444---444---               ,2019,M10,151.2,
206,PCU444---444---               ,2019,M11,150.7,
207,PCU444---444---               ,2019,M12,151.0,
209,PCU444---444---               ,2020,M01,151.1,
210,PCU444---444---               ,2020,M02,149.9,
211,PCU444---444---               ,2020,M03,150.7,
212,PCU444---444---               ,2020,M04,153.2,
213,PCU444---444---               ,2020,M05,151.5,
214,PCU444---444---               ,2020,M06,157.7,
215,PCU444---444---               ,2020,M07,160.4,
216,PCU444---444---               ,2020,M08,174.4,
217,PCU444---444---               ,2020,M09,190.2,
218,PCU444---444---               ,2020,M10,189.3,
219,PCU444---444---               ,2020,M11,172.9,
220,PCU444---444---               ,2020,M12,172.9,
222,PCU444---444---               ,2021,M01,183.5,
223,PCU444---444---               ,2021,M02,188.6,
224,PCU444---444---               ,2021,M03,192.0,
225,PCU444---444---               ,2021,M04,205.5,
226,PCU444---444---               ,2021,M05,224.6,
227,PCU444---444---               ,2021,M06,239.2,
228,PCU444---444---               ,2021,M07,220.276,
229,PCU444---444---               ,2021,M08,204.959,
230,PCU444---444---               ,2021,M09,198.668,
231,PCU444---444---               ,2021,M10,198.34,P
232,PCU444---444---               ,2021,M11,189.156,P
233,PCU444---444---               ,2021,M12,194.288,P
235,PCU444---444---               ,2022,M01,200.635,P
