,series_id,year,period,value,footnote_codes
13,PCU445---445---               ,2000,M13,103.8,
26,PCU445---445---               ,2001,M13,109.6,
39,PCU445---445---               ,2002,M13,113.4,
52,PCU445---445---               ,2003,M13,117.6,
65,PCU445---445---               ,2004,M13,123.2,
78,PCU445---445---               ,2005,M13,131.0,
91,PCU445---445---               ,2006,M13,134.7,
104,PCU445---445---               ,2007,M13,139.6,
117,PCU445---445---               ,2008,M13,149.3,
130,PCU445---445---               ,2009,M13,151.2,
143,PCU445---445---               ,2010,M13,148.2,
156,PCU445---445---               ,2011,M13,156.2,
169,PCU445---445---               ,2012,M13,163.6,
182,PCU445---445---               ,2013,M13,167.9,
195,PCU445---445---               ,2014,M13,173.6,
208,PCU445---445---               ,2015,M13,183.0,
221,PCU445---445---               ,2016,M13,189.3,
234,PCU445---445---               ,2017,M13,190.6,
247,PCU445---445---               ,2018,M13,196.6,
260,PCU445---445---               ,2019,M13,199.8,
273,PCU445---445---               ,2020,M13,208.0,
298,PCU4451--4451--               ,2004,M13,103.5,
311,PCU4451--4451--               ,2005,M13,110.7,
324,PCU4451--4451--               ,2006,M13,114.0,
337,PCU4451--4451--               ,2007,M13,117.9,
350,PCU4451--4451--               ,2008,M13,126.1,
363,PCU4451--4451--               ,2009,M13,127.4,
376,PCU4451--4451--               ,2010,M13,124.3,
389,PCU4451--4451--               ,2011,M13,131.2,
402,PCU4451--4451--               ,2012,M13,137.2,
415,PCU4451--4451--               ,2013,M13,141.4,
428,PCU4451--4451--               ,2014,M13,147.5,
441,PCU4451--4451--               ,2015,M13,155.8,
454,PCU4451--4451--               ,2016,M13,161.5,
467,PCU4451--4451--               ,2017,M13,162.6,
480,PCU4451--4451--               ,2018,M13,167.8,
493,PCU4451--4451--               ,2019,M13,171.2,
506,PCU4451--4451--               ,2020,M13,178.6,
531,PCU44511-44511-               ,2004,M13,103.5,
544,PCU44511-44511-               ,2005,M13,110.7,
557,PCU44511-44511-               ,2006,M13,114.0,
570,PCU44511-44511-               ,2007,M13,117.9,
583,PCU44511-44511-               ,2008,M13,126.1,
596,PCU44511-44511-               ,2009,M13,127.4,
609,PCU44511-44511-               ,2010,M13,124.3,
622,PCU44511-44511-               ,2011,M13,131.2,
635,PCU44511-44511-               ,2012,M13,137.2,
648,PCU44511-44511-               ,2013,M13,141.4,
661,PCU44511-44511-               ,2014,M13,147.5,
674,PCU44511-44511-               ,2015,M13,155.8,
687,PCU44511-44511-               ,2016,M13,161.5,
700,PCU44511-44511-               ,2017,M13,162.6,
713,PCU44511-44511-               ,2018,M13,167.8,
726,PCU44511-44511-               ,2019,M13,171.2,
739,PCU44511-44511-               ,2020,M13,178.6,
764,PCU445110445110               ,2000,M13,104.2,
777,PCU445110445110               ,2001,M13,109.9,
790,PCU445110445110               ,2002,M13,113.6,
