,series_id,year,period,value,footnote_codes
13,PCU213---213---               ,2004,M13,68.0,
26,PCU213---213---               ,2005,M13,86.8,
39,PCU213---213---               ,2006,M13,111.5,
52,PCU213---213---               ,2007,M13,110.8,
65,PCU213---213---               ,2008,M13,112.8,
78,PCU213---213---               ,2009,M13,103.2,
91,PCU213---213---               ,2010,M13,102.0,
104,PCU213---213---               ,2011,M13,110.8,
117,PCU213---213---               ,2012,M13,116.2,
130,PCU213---213---               ,2013,M13,121.2,
143,PCU213---213---               ,2014,M13,122.9,
156,PCU213---213---               ,2015,M13,114.4,
169,PCU213---213---               ,2016,M13,106.9,
182,PCU213---213---               ,2017,M13,108.2,
195,PCU213---213---               ,2018,M13,110.2,
208,PCU213---213---               ,2019,M13,111.0,
221,PCU213---213---               ,2020,M13,104.7,
246,PCU2131--2131--               ,2004,M13,68.0,
259,PCU2131--2131--               ,2005,M13,86.8,
272,PCU2131--2131--               ,2006,M13,111.5,
285,PCU2131--2131--               ,2007,M13,110.8,
298,PCU2131--2131--               ,2008,M13,112.8,
311,PCU2131--2131--               ,2009,M13,103.2,
324,PCU2131--2131--               ,2010,M13,102.0,
337,PCU2131--2131--               ,2011,M13,110.8,
350,PCU2131--2131--               ,2012,M13,116.2,
363,PCU2131--2131--               ,2013,M13,121.2,
376,PCU2131--2131--               ,2014,M13,122.9,
389,PCU2131--2131--               ,2015,M13,114.4,
402,PCU2131--2131--               ,2016,M13,106.9,
415,PCU2131--2131--               ,2017,M13,108.2,
428,PCU2131--2131--               ,2018,M13,110.2,
441,PCU2131--2131--               ,2019,M13,111.0,
454,PCU2131--2131--               ,2020,M13,104.7,
479,PCU21311-21311-               ,2005,M13,86.8,
492,PCU21311-21311-               ,2006,M13,111.5,
505,PCU21311-21311-               ,2007,M13,110.8,
518,PCU21311-21311-               ,2008,M13,112.8,
531,PCU21311-21311-               ,2009,M13,103.2,
544,PCU21311-21311-               ,2010,M13,102.0,
557,PCU21311-21311-               ,2011,M13,110.8,
570,PCU21311-21311-               ,2012,M13,116.2,
583,PCU21311-21311-               ,2013,M13,121.2,
596,PCU21311-21311-               ,2014,M13,122.9,
609,PCU21311-21311-               ,2015,M13,114.4,
622,PCU21311-21311-               ,2016,M13,106.9,
635,PCU21311-21311-               ,2017,M13,108.2,
648,PCU21311-21311-               ,2018,M13,110.2,
661,PCU21311-21311-               ,2019,M13,111.0,
674,PCU21311-21311-               ,2020,M13,104.7,
699,PCU213111213111               ,1986,M13,91.3,
712,PCU213111213111               ,1987,M13,85.5,
725,PCU213111213111               ,1988,M13,88.7,
738,PCU213111213111               ,1989,M13,87.5,
751,PCU213111213111               ,1990,M13,91.3,
764,PCU213111213111               ,1991,M13,94.2,
777,PCU213111213111               ,1992,M13,89.6,
790,PCU213111213111               ,1993,M13,100.6,
803,PCU213111213111               ,1994,M13,103.2,
816,PCU213111213111               ,1995,M13,104.2,
829,PCU213111213111               ,1996,M13,115.1,
842,PCU213111213111               ,1997,M13,143.7,
855,PCU213111213111               ,1998,M13,154.6,
868,PCU213111213111               ,1999,M13,133.1,
881,PCU213111213111               ,2000,M13,138.2,
894,PCU213111213111               ,2001,M13,173.9,
907,PCU213111213111               ,2002,M13,153.5,
920,PCU213111213111               ,2003,M13,153.5,
933,PCU213111213111               ,2004,M13,168.0,
946,PCU213111213111               ,2005,M13,258.8,
959,PCU213111213111               ,2006,M13,377.7,
972,PCU213111213111               ,2007,M13,360.6,
985,PCU213111213111               ,2008,M13,366.9,
998,PCU213111213111               ,2009,M13,328.2,
1011,PCU213111213111               ,2010,M13,325.9,
1024,PCU213111213111               ,2011,M13,362.7,
1037,PCU213111213111               ,2012,M13,391.6,
1050,PCU213111213111               ,2013,M13,433.7,
1063,PCU213111213111               ,2014,M13,452.0,
1076,PCU213111213111               ,2015,M13,374.2,
1089,PCU213111213111               ,2016,M13,314.4,
1102,PCU213111213111               ,2017,M13,323.6,
1115,PCU213111213111               ,2018,M13,332.3,
1128,PCU213111213111               ,2019,M13,337.0,
1141,PCU213111213111               ,2020,M13,314.0,
1166,PCU21311121311103             ,2004,M13,107.4,
1179,PCU21311121311103             ,2005,M13,139.8,
1192,PCU21311121311103             ,2006,M13,214.8,
1205,PCU21311121311103             ,2007,M13,211.4,
1218,PCU21311121311103             ,2008,M13,192.5,
1231,PCU21311121311103             ,2009,M13,151.6,
1244,PCU21311121311103             ,2010,M13,115.4,
1257,PCU21311121311103             ,2011,M13,128.9,
1270,PCU21311121311103             ,2012,M13,148.4,
1283,PCU21311121311103             ,2013,M13,144.5,
1296,PCU21311121311103             ,2014,M13,142.9,
1309,PCU21311121311103             ,2015,M13,142.2,
1322,PCU21311121311103             ,2016,M13,142.3,
1335,PCU21311121311103             ,2017,M13,142.3,
1348,PCU21311121311103             ,2018,M13,142.3,
1361,PCU21311121311103             ,2019,M13,137.6,
1374,PCU21311121311103             ,2020,M13,117.7,
1399,PCU21311121311104             ,1986,M13,93.0,
1412,PCU21311121311104             ,1987,M13,87.6,
1425,PCU21311121311104             ,1988,M13,89.7,
1438,PCU21311121311104             ,1989,M13,88.5,
1451,PCU21311121311104             ,1990,M13,90.5,
