,series_id,year,period,value,footnote_codes
13,PCU451---451---               ,2004,M13,96.6,
26,PCU451---451---               ,2005,M13,96.6,
39,PCU451---451---               ,2006,M13,98.4,
52,PCU451---451---               ,2007,M13,103.4,
65,PCU451---451---               ,2008,M13,111.6,
78,PCU451---451---               ,2009,M13,113.9,
91,PCU451---451---               ,2010,M13,112.6,
104,PCU451---451---               ,2011,M13,112.7,
117,PCU451---451---               ,2012,M13,114.6,
130,PCU451---451---               ,2013,M13,113.7,
143,PCU451---451---               ,2014,M13,114.5,
156,PCU451---451---               ,2015,M13,115.4,
169,PCU451---451---               ,2016,M13,116.7,
182,PCU451---451---               ,2017,M13,117.5,
195,PCU451---451---               ,2018,M13,117.5,
208,PCU451---451---               ,2019,M13,118.5,
221,PCU451---451---               ,2020,M13,117.9,
234,PCU451---451---               ,2021,M13,124.651,P
249,PCU4511--4511--               ,2004,M13,97.8,
262,PCU4511--4511--               ,2005,M13,99.0,
275,PCU4511--4511--               ,2006,M13,102.5,
288,PCU4511--4511--               ,2007,M13,107.7,
301,PCU4511--4511--               ,2008,M13,119.5,
314,PCU4511--4511--               ,2009,M13,123.2,
327,PCU4511--4511--               ,2010,M13,121.4,
340,PCU4511--4511--               ,2011,M13,120.7,
353,PCU4511--4511--               ,2012,M13,121.9,
366,PCU4511--4511--               ,2013,M13,119.1,
379,PCU4511--4511--               ,2014,M13,119.0,
392,PCU4511--4511--               ,2015,M13,118.5,
405,PCU4511--4511--               ,2016,M13,119.7,
418,PCU4511--4511--               ,2017,M13,119.7,
431,PCU4511--4511--               ,2018,M13,118.9,
444,PCU4511--4511--               ,2019,M13,119.7,
457,PCU4511--4511--               ,2020,M13,118.0,
470,PCU4511--4511--               ,2021,M13,125.526,P
485,PCU45111-45111-               ,2004,M13,95.0,
498,PCU45111-45111-               ,2005,M13,96.1,
511,PCU45111-45111-               ,2006,M13,99.2,
524,PCU45111-45111-               ,2007,M13,112.7,
537,PCU45111-45111-               ,2008,M13,130.7,
550,PCU45111-45111-               ,2009,M13,134.5,
563,PCU45111-45111-               ,2010,M13,132.9,
576,PCU45111-45111-               ,2011,M13,133.2,
589,PCU45111-45111-               ,2012,M13,137.2,
602,PCU45111-45111-               ,2013,M13,132.7,
615,PCU45111-45111-               ,2014,M13,132.7,
628,PCU45111-45111-               ,2015,M13,133.9,
641,PCU45111-45111-               ,2016,M13,138.0,
654,PCU45111-45111-               ,2017,M13,138.9,
667,PCU45111-45111-               ,2018,M13,141.9,
680,PCU45111-45111-               ,2019,M13,145.2,
693,PCU45111-45111-               ,2020,M13,145.7,
706,PCU45111-45111-               ,2021,M13,158.394,P
727,PCU451110451110               ,2001,M13,103.6,
740,PCU451110451110               ,2002,M13,107.2,
753,PCU451110451110               ,2003,M13,104.4,
766,PCU451110451110               ,2004,M13,99.1,
779,PCU451110451110               ,2005,M13,100.3,
792,PCU451110451110               ,2006,M13,103.5,
805,PCU451110451110               ,2007,M13,117.6,
818,PCU451110451110               ,2008,M13,136.3,
831,PCU451110451110               ,2009,M13,140.3,
844,PCU451110451110               ,2010,M13,138.7,
857,PCU451110451110               ,2011,M13,139.0,
870,PCU451110451110               ,2012,M13,143.2,
883,PCU451110451110               ,2013,M13,138.4,
896,PCU451110451110               ,2014,M13,138.4,
909,PCU451110451110               ,2015,M13,139.7,
922,PCU451110451110               ,2016,M13,143.9,
935,PCU451110451110               ,2017,M13,144.9,
948,PCU451110451110               ,2018,M13,148.0,
961,PCU451110451110               ,2019,M13,151.5,
974,PCU451110451110               ,2020,M13,152.0,
987,PCU451110451110               ,2021,M13,165.254,P
1009,PCU4511104511101              ,2001,M13,103.7,
1022,PCU4511104511101              ,2002,M13,107.4,
1035,PCU4511104511101              ,2003,M13,104.5,
1048,PCU4511104511101              ,2004,M13,99.3,
1061,PCU4511104511101              ,2005,M13,100.5,
1074,PCU4511104511101              ,2006,M13,103.6,
1087,PCU4511104511101              ,2007,M13,117.8,
1100,PCU4511104511101              ,2008,M13,136.6,
1113,PCU4511104511101              ,2009,M13,140.6,
1126,PCU4511104511101              ,2010,M13,138.9,
1139,PCU4511104511101              ,2011,M13,139.2,
1152,PCU4511104511101              ,2012,M13,143.4,
1165,PCU4511104511101              ,2013,M13,138.7,
1178,PCU4511104511101              ,2014,M13,139.4,
1191,PCU4511104511101              ,2015,M13,140.7,
1204,PCU4511104511101              ,2016,M13,145.0,
1217,PCU4511104511101              ,2017,M13,145.9,
1230,PCU4511104511101              ,2018,M13,149.1,
1243,PCU4511104511101              ,2019,M13,152.6,
1256,PCU4511104511101              ,2020,M13,153.1,
1269,PCU4511104511101              ,2021,M13,166.454,P
1284,PCU45111045111011             ,2014,M13,103.5,
1297,PCU45111045111011             ,2015,M13,105.9,
1310,PCU45111045111011             ,2016,M13,109.7,
1323,PCU45111045111011             ,2017,M13,109.5,
1336,PCU45111045111011             ,2018,M13,110.9,
1349,PCU45111045111011             ,2019,M13,115.8,
1362,PCU45111045111011             ,2020,M13,118.4,
1375,PCU45111045111011             ,2021,M13,121.811,P
1390,PCU45111045111012             ,2014,M13,92.8,
1403,PCU45111045111012             ,2015,M13,91.1,
1416,PCU45111045111012             ,2016,M13,92.8,
1429,PCU45111045111012             ,2017,M13,95.0,
1442,PCU45111045111012             ,2018,M13,99.0,
1455,PCU45111045111012             ,2019,M13,97.7,
1468,PCU45111045111012             ,2020,M13,94.8,
1497,PCU451110451110P              ,2001,M13,103.7,
1510,PCU451110451110P              ,2002,M13,107.4,
1523,PCU451110451110P              ,2003,M13,104.5,
1536,PCU451110451110P              ,2004,M13,99.3,
1549,PCU451110451110P              ,2005,M13,100.5,
1562,PCU451110451110P              ,2006,M13,103.6,
1575,PCU451110451110P              ,2007,M13,117.8,
1588,PCU451110451110P              ,2008,M13,136.6,
1601,PCU451110451110P              ,2009,M13,140.6,
1614,PCU451110451110P              ,2010,M13,138.9,
1627,PCU451110451110P              ,2011,M13,139.2,
1640,PCU451110451110P              ,2012,M13,143.4,
1653,PCU451110451110P              ,2013,M13,138.7,
1666,PCU451110451110P              ,2014,M13,139.4,
1679,PCU451110451110P              ,2015,M13,140.7,
1692,PCU451110451110P              ,2016,M13,145.0,
1705,PCU451110451110P              ,2017,M13,145.9,
1718,PCU451110451110P              ,2018,M13,149.1,
1731,PCU451110451110P              ,2019,M13,152.6,
1744,PCU451110451110P              ,2020,M13,153.1,
1757,PCU451110451110P              ,2021,M13,166.454,P
1772,PCU45112-45112-               ,2004,M13,100.5,
1785,PCU45112-45112-               ,2005,M13,101.7,
1798,PCU45112-45112-               ,2006,M13,105.7,
1811,PCU45112-45112-               ,2007,M13,101.9,
1824,PCU45112-45112-               ,2008,M13,108.5,
1837,PCU45112-45112-               ,2009,M13,112.2,
