,series_id,year,period,value,footnote_codes
13,PCU484---484---               ,2004,M13,103.1,
26,PCU484---484---               ,2005,M13,109.0,
39,PCU484---484---               ,2006,M13,113.2,
52,PCU484---484---               ,2007,M13,115.4,
65,PCU484---484---               ,2008,M13,123.0,
78,PCU484---484---               ,2009,M13,117.3,
91,PCU484---484---               ,2010,M13,119.4,
104,PCU484---484---               ,2011,M13,126.4,
117,PCU484---484---               ,2012,M13,130.8,
130,PCU484---484---               ,2013,M13,132.7,
143,PCU484---484---               ,2014,M13,134.9,
156,PCU484---484---               ,2015,M13,132.3,
169,PCU484---484---               ,2016,M13,131.4,
182,PCU484---484---               ,2017,M13,134.4,
195,PCU484---484---               ,2018,M13,143.2,
208,PCU484---484---               ,2019,M13,146.6,
221,PCU484---484---               ,2020,M13,146.0,
234,PCU484---484---               ,2021,M13,164.702,P
249,PCU4841--4841--               ,2004,M13,103.5,
262,PCU4841--4841--               ,2005,M13,110.0,
275,PCU4841--4841--               ,2006,M13,114.1,
288,PCU4841--4841--               ,2007,M13,116.5,
301,PCU4841--4841--               ,2008,M13,123.6,
314,PCU4841--4841--               ,2009,M13,117.5,
327,PCU4841--4841--               ,2010,M13,119.3,
340,PCU4841--4841--               ,2011,M13,126.8,
353,PCU4841--4841--               ,2012,M13,132.4,
366,PCU4841--4841--               ,2013,M13,134.7,
379,PCU4841--4841--               ,2014,M13,137.5,
392,PCU4841--4841--               ,2015,M13,134.9,
405,PCU4841--4841--               ,2016,M13,133.9,
418,PCU4841--4841--               ,2017,M13,137.3,
431,PCU4841--4841--               ,2018,M13,147.9,
444,PCU4841--4841--               ,2019,M13,151.8,
457,PCU4841--4841--               ,2020,M13,151.5,
470,PCU4841--4841--               ,2021,M13,174.806,P
485,PCU48411-48411-               ,2004,M13,105.2,
498,PCU48411-48411-               ,2005,M13,111.5,
511,PCU48411-48411-               ,2006,M13,115.3,
524,PCU48411-48411-               ,2007,M13,119.6,
537,PCU48411-48411-               ,2008,M13,130.2,
550,PCU48411-48411-               ,2009,M13,126.0,
563,PCU48411-48411-               ,2010,M13,127.2,
576,PCU48411-48411-               ,2011,M13,130.5,
589,PCU48411-48411-               ,2012,M13,132.8,
602,PCU48411-48411-               ,2013,M13,135.0,
615,PCU48411-48411-               ,2014,M13,135.2,
628,PCU48411-48411-               ,2015,M13,135.1,
641,PCU48411-48411-               ,2016,M13,130.3,
654,PCU48411-48411-               ,2017,M13,130.0,
667,PCU48411-48411-               ,2018,M13,139.9,
680,PCU48411-48411-               ,2019,M13,146.2,
693,PCU48411-48411-               ,2020,M13,147.3,
706,PCU48411-48411-               ,2021,M13,162.186,P
721,PCU484110484110               ,2004,M13,105.2,
734,PCU484110484110               ,2005,M13,111.5,
747,PCU484110484110               ,2006,M13,115.3,
760,PCU484110484110               ,2007,M13,119.6,
773,PCU484110484110               ,2008,M13,130.2,
786,PCU484110484110               ,2009,M13,126.0,
799,PCU484110484110               ,2010,M13,127.2,
812,PCU484110484110               ,2011,M13,130.5,
825,PCU484110484110               ,2012,M13,132.8,
838,PCU484110484110               ,2013,M13,135.0,
851,PCU484110484110               ,2014,M13,135.2,
864,PCU484110484110               ,2015,M13,135.1,
