,series_id,year,period,value,footnote_codes
13,PCU488---488---               ,2004,M13,101.1,
26,PCU488---488---               ,2005,M13,104.1,
39,PCU488---488---               ,2006,M13,106.5,
52,PCU488---488---               ,2007,M13,108.5,
65,PCU488---488---               ,2008,M13,111.7,
78,PCU488---488---               ,2009,M13,108.6,
91,PCU488---488---               ,2010,M13,110.7,
104,PCU488---488---               ,2011,M13,114.0,
117,PCU488---488---               ,2012,M13,115.7,
130,PCU488---488---               ,2013,M13,117.5,
143,PCU488---488---               ,2014,M13,118.7,
156,PCU488---488---               ,2015,M13,118.7,
169,PCU488---488---               ,2016,M13,119.2,
182,PCU488---488---               ,2017,M13,121.3,
195,PCU488---488---               ,2018,M13,123.9,
208,PCU488---488---               ,2019,M13,126.3,
221,PCU488---488---               ,2020,M13,123.9,
234,PCU488---488---               ,2021,M13,142.763,P
250,PCU4881--4881--               ,1997,M13,102.5,
263,PCU4881--4881--               ,1998,M13,105.2,
276,PCU4881--4881--               ,1999,M13,108.6,
289,PCU4881--4881--               ,2000,M13,114.2,
302,PCU4881--4881--               ,2001,M13,117.5,
315,PCU4881--4881--               ,2002,M13,121.4,
328,PCU4881--4881--               ,2003,M13,125.1,
341,PCU4881--4881--               ,2004,M13,128.1,
354,PCU4881--4881--               ,2005,M13,134.2,
367,PCU4881--4881--               ,2006,M13,138.6,
380,PCU4881--4881--               ,2007,M13,141.0,
393,PCU4881--4881--               ,2008,M13,145.4,
406,PCU4881--4881--               ,2009,M13,149.2,
419,PCU4881--4881--               ,2010,M13,154.5,
432,PCU4881--4881--               ,2011,M13,157.5,
445,PCU4881--4881--               ,2012,M13,159.0,
458,PCU4881--4881--               ,2013,M13,160.7,
471,PCU4881--4881--               ,2014,M13,162.2,
484,PCU4881--4881--               ,2015,M13,165.9,
497,PCU4881--4881--               ,2016,M13,168.9,
510,PCU4881--4881--               ,2017,M13,173.1,
523,PCU4881--4881--               ,2018,M13,177.1,
536,PCU4881--4881--               ,2019,M13,181.5,
549,PCU4881--4881--               ,2020,M13,178.1,
562,PCU4881--4881--               ,2021,M13,191.617,P
578,PCU48811-48811-               ,2004,M13,101.1,
591,PCU48811-48811-               ,2005,M13,104.8,
604,PCU48811-48811-               ,2006,M13,108.6,
617,PCU48811-48811-               ,2007,M13,109.6,
630,PCU48811-48811-               ,2008,M13,112.3,
643,PCU48811-48811-               ,2009,M13,117.9,
656,PCU48811-48811-               ,2010,M13,122.1,
669,PCU48811-48811-               ,2011,M13,123.4,
682,PCU48811-48811-               ,2012,M13,125.3,
695,PCU48811-48811-               ,2013,M13,126.2,
708,PCU48811-48811-               ,2014,M13,127.5,
721,PCU48811-48811-               ,2015,M13,129.8,
734,PCU48811-48811-               ,2016,M13,131.5,
747,PCU48811-48811-               ,2017,M13,133.7,
760,PCU48811-48811-               ,2018,M13,136.3,
773,PCU48811-48811-               ,2019,M13,139.9,
786,PCU48811-48811-               ,2020,M13,135.8,
799,PCU48811-48811-               ,2021,M13,149.926,P
815,PCU488119488119               ,2004,M13,101.1,
828,PCU488119488119               ,2005,M13,104.8,
841,PCU488119488119               ,2006,M13,108.6,
854,PCU488119488119               ,2007,M13,109.7,
867,PCU488119488119               ,2008,M13,112.4,
880,PCU488119488119               ,2009,M13,117.9,
893,PCU488119488119               ,2010,M13,122.1,
906,PCU488119488119               ,2011,M13,123.4,
919,PCU488119488119               ,2012,M13,125.3,
932,PCU488119488119               ,2013,M13,126.2,
945,PCU488119488119               ,2014,M13,127.5,
958,PCU488119488119               ,2015,M13,129.8,
971,PCU488119488119               ,2016,M13,131.5,
984,PCU488119488119               ,2017,M13,133.7,
997,PCU488119488119               ,2018,M13,136.4,
1010,PCU488119488119               ,2019,M13,139.9,
1023,PCU488119488119               ,2020,M13,135.9,
1036,PCU488119488119               ,2021,M13,149.95,P
1058,PCU4881194881195              ,2015,M13,102.5,
1071,PCU4881194881195              ,2016,M13,104.0,
1084,PCU4881194881195              ,2017,M13,105.7,
1097,PCU4881194881195              ,2018,M13,107.2,
1110,PCU4881194881195              ,2019,M13,109.2,
1123,PCU4881194881195              ,2020,M13,112.9,
1136,PCU4881194881195              ,2021,M13,123.664,P
1158,PCU488119488119501            ,2015,M13,101.8,
1171,PCU488119488119501            ,2016,M13,103.6,
1184,PCU488119488119501            ,2017,M13,104.9,
1197,PCU488119488119501            ,2018,M13,102.5,
1210,PCU488119488119501            ,2019,M13,101.0,
1223,PCU488119488119501            ,2020,M13,105.4,
