,series_id,year,period,value,footnote_codes
0,PCU511---511---               ,2003,M12,100.0,
1,PCU511---511---               ,2004,M01,100.9,
2,PCU511---511---               ,2004,M02,101.3,
3,PCU511---511---               ,2004,M03,101.3,
4,PCU511---511---               ,2004,M04,101.4,
5,PCU511---511---               ,2004,M05,101.3,
6,PCU511---511---               ,2004,M06,101.4,
7,PCU511---511---               ,2004,M07,101.5,
8,PCU511---511---               ,2004,M08,101.5,
9,PCU511---511---               ,2004,M09,101.4,
10,PCU511---511---               ,2004,M10,101.8,
11,PCU511---511---               ,2004,M11,102.1,
12,PCU511---511---               ,2004,M12,101.9,
13,PCU511---511---               ,2004,M13,101.5,
14,PCU511---511---               ,2005,M01,103.0,
15,PCU511---511---               ,2005,M02,103.4,
16,PCU511---511---               ,2005,M03,103.3,
17,PCU511---511---               ,2005,M04,103.5,
18,PCU511---511---               ,2005,M05,103.7,
19,PCU511---511---               ,2005,M06,103.9,
20,PCU511---511---               ,2005,M07,104.1,
21,PCU511---511---               ,2005,M08,104.3,
22,PCU511---511---               ,2005,M09,104.7,
23,PCU511---511---               ,2005,M10,104.9,
24,PCU511---511---               ,2005,M11,105.0,
25,PCU511---511---               ,2005,M12,105.0,
26,PCU511---511---               ,2005,M13,104.1,
27,PCU511---511---               ,2006,M01,105.4,
28,PCU511---511---               ,2006,M02,105.5,
29,PCU511---511---               ,2006,M03,105.2,
30,PCU511---511---               ,2006,M04,105.3,
31,PCU511---511---               ,2006,M05,106.1,
32,PCU511---511---               ,2006,M06,106.0,
33,PCU511---511---               ,2006,M07,106.4,
34,PCU511---511---               ,2006,M08,106.5,
35,PCU511---511---               ,2006,M09,106.7,
36,PCU511---511---               ,2006,M10,106.9,
37,PCU511---511---               ,2006,M11,107.2,
38,PCU511---511---               ,2006,M12,107.0,
39,PCU511---511---               ,2006,M13,106.2,
40,PCU511---511---               ,2007,M01,107.5,
41,PCU511---511---               ,2007,M02,107.7,
42,PCU511---511---               ,2007,M03,107.8,
43,PCU511---511---               ,2007,M04,108.0,
44,PCU511---511---               ,2007,M05,108.2,
45,PCU511---511---               ,2007,M06,108.1,
46,PCU511---511---               ,2007,M07,108.2,
47,PCU511---511---               ,2007,M08,108.4,
48,PCU511---511---               ,2007,M09,108.4,
49,PCU511---511---               ,2007,M10,108.5,
50,PCU511---511---               ,2007,M11,108.5,
51,PCU511---511---               ,2007,M12,108.5,
52,PCU511---511---               ,2007,M13,108.1,
53,PCU511---511---               ,2008,M01,109.7,
54,PCU511---511---               ,2008,M02,109.8,
55,PCU511---511---               ,2008,M03,110.4,
56,PCU511---511---               ,2008,M04,110.9,
57,PCU511---511---               ,2008,M05,110.7,
58,PCU511---511---               ,2008,M06,110.4,
59,PCU511---511---               ,2008,M07,111.0,
60,PCU511---511---               ,2008,M08,111.1,
61,PCU511---511---               ,2008,M09,110.2,
62,PCU511---511---               ,2008,M10,110.9,
63,PCU511---511---               ,2008,M11,111.1,
64,PCU511---511---               ,2008,M12,110.7,
65,PCU511---511---               ,2008,M13,110.6,
66,PCU511---511---               ,2009,M01,111.9,
67,PCU511---511---               ,2009,M02,111.9,
68,PCU511---511---               ,2009,M03,111.6,
69,PCU511---511---               ,2009,M04,111.7,
70,PCU511---511---               ,2009,M05,111.7,
71,PCU511---511---               ,2009,M06,111.8,
72,PCU511---511---               ,2009,M07,111.4,
73,PCU511---511---               ,2009,M08,111.7,
74,PCU511---511---               ,2009,M09,111.1,
75,PCU511---511---               ,2009,M10,111.4,
76,PCU511---511---               ,2009,M11,109.8,
77,PCU511---511---               ,2009,M12,109.7,
78,PCU511---511---               ,2009,M13,111.3,
79,PCU511---511---               ,2010,M01,110.3,
80,PCU511---511---               ,2010,M02,110.2,
81,PCU511---511---               ,2010,M03,110.4,
82,PCU511---511---               ,2010,M04,110.3,
83,PCU511---511---               ,2010,M05,110.4,
84,PCU511---511---               ,2010,M06,110.2,
85,PCU511---511---               ,2010,M07,110.3,
86,PCU511---511---               ,2010,M08,110.4,
87,PCU511---511---               ,2010,M09,110.3,
88,PCU511---511---               ,2010,M10,110.3,
89,PCU511---511---               ,2010,M11,110.4,
90,PCU511---511---               ,2010,M12,110.5,
91,PCU511---511---               ,2010,M13,110.3,
92,PCU511---511---               ,2011,M01,110.9,
93,PCU511---511---               ,2011,M02,111.0,
94,PCU511---511---               ,2011,M03,110.8,
95,PCU511---511---               ,2011,M04,111.0,
96,PCU511---511---               ,2011,M05,111.1,
97,PCU511---511---               ,2011,M06,111.0,
98,PCU511---511---               ,2011,M07,111.3,
99,PCU511---511---               ,2011,M08,111.1,
100,PCU511---511---               ,2011,M09,111.4,
101,PCU511---511---               ,2011,M10,111.2,
102,PCU511---511---               ,2011,M11,111.5,
103,PCU511---511---               ,2011,M12,111.5,
104,PCU511---511---               ,2011,M13,111.1,
105,PCU511---511---               ,2012,M01,112.3,
106,PCU511---511---               ,2012,M02,111.9,P
107,PCU511---511---               ,2012,M03,111.4,
108,PCU511---511---               ,2012,M04,111.1,
109,PCU511---511---               ,2012,M05,111.1,
110,PCU511---511---               ,2012,M06,111.2,
111,PCU511---511---               ,2012,M07,111.3,
112,PCU511---511---               ,2012,M08,111.0,
113,PCU511---511---               ,2012,M09,111.8,
114,PCU511---511---               ,2012,M10,111.6,
115,PCU511---511---               ,2012,M11,111.1,
116,PCU511---511---               ,2012,M12,111.2,
117,PCU511---511---               ,2012,M13,111.4,
118,PCU511---511---               ,2013,M01,112.1,
