,series_id,year,period,value,footnote_codes
13,PCU515---515---               ,2004,M13,101.2,
26,PCU515---515---               ,2005,M13,102.1,
39,PCU515---515---               ,2006,M13,102.8,
52,PCU515---515---               ,2007,M13,101.4,
65,PCU515---515---               ,2008,M13,106.7,
78,PCU515---515---               ,2009,M13,105.3,
91,PCU515---515---               ,2010,M13,109.7,
104,PCU515---515---               ,2011,M13,112.4,
117,PCU515---515---               ,2012,M13,116.8,
130,PCU515---515---               ,2013,M13,117.7,
143,PCU515---515---               ,2014,M13,119.8,
156,PCU515---515---               ,2015,M13,121.2,
169,PCU515---515---               ,2016,M13,124.0,
182,PCU515---515---               ,2017,M13,125.7,
195,PCU515---515---               ,2018,M13,127.7,
208,PCU515---515---               ,2019,M13,128.4,
221,PCU515---515---               ,2020,M13,130.1,
234,PCU515---515---               ,2021,M13,131.821,P
243,PCU5151--5151--               ,2001,M13,98.2,
256,PCU5151--5151--               ,2002,M13,97.1,
269,PCU5151--5151--               ,2003,M13,99.8,
282,PCU5151--5151--               ,2004,M13,102.8,
295,PCU5151--5151--               ,2005,M13,101.9,
308,PCU5151--5151--               ,2006,M13,101.1,
321,PCU5151--5151--               ,2007,M13,101.3,
334,PCU5151--5151--               ,2008,M13,101.7,
347,PCU5151--5151--               ,2009,M13,92.5,
360,PCU5151--5151--               ,2010,M13,95.6,
373,PCU5151--5151--               ,2011,M13,95.1,
386,PCU5151--5151--               ,2012,M13,98.7,
399,PCU5151--5151--               ,2013,M13,97.7,
412,PCU5151--5151--               ,2014,M13,99.5,
425,PCU5151--5151--               ,2015,M13,96.5,
438,PCU5151--5151--               ,2016,M13,101.8,
451,PCU5151--5151--               ,2017,M13,100.0,
464,PCU5151--5151--               ,2018,M13,102.9,
477,PCU5151--5151--               ,2019,M13,101.9,
490,PCU5151--5151--               ,2020,M13,98.5,
503,PCU5151--5151--               ,2021,M13,98.917,P
518,PCU51511-51511-               ,2004,M13,102.7,
531,PCU51511-51511-               ,2005,M13,106.3,
544,PCU51511-51511-               ,2006,M13,105.8,
557,PCU51511-51511-               ,2007,M13,104.3,
570,PCU51511-51511-               ,2008,M13,103.7,
583,PCU51511-51511-               ,2009,M13,99.5,
596,PCU51511-51511-               ,2010,M13,100.3,
609,PCU51511-51511-               ,2011,M13,99.2,
622,PCU51511-51511-               ,2012,M13,96.8,
635,PCU51511-51511-               ,2013,M13,97.6,
648,PCU51511-51511-               ,2014,M13,95.9,
661,PCU51511-51511-               ,2015,M13,91.0,
674,PCU51511-51511-               ,2016,M13,95.7,
687,PCU51511-51511-               ,2017,M13,95.7,
700,PCU51511-51511-               ,2018,M13,99.2,
713,PCU51511-51511-               ,2019,M13,102.7,
726,PCU51511-51511-               ,2020,M13,96.6,
739,PCU51511-51511-               ,2021,M13,99.166,P
760,PCU515110515110               ,1989,M13,103.7,
773,PCU515110515110               ,1990,M13,109.2,
786,PCU515110515110               ,1991,M13,110.8,
799,PCU515110515110               ,1992,M13,112.0,
812,PCU515110515110               ,1993,M13,115.8,
825,PCU515110515110               ,1994,M13,121.6,
838,PCU515110515110               ,1995,M13,128.8,
851,PCU515110515110               ,1996,M13,140.6,
864,PCU515110515110               ,1997,M13,148.5,
877,PCU515110515110               ,1998,M13,151.1,
890,PCU515110515110               ,1999,M13,162.3,
903,PCU515110515110               ,2000,M13,170.6,
916,PCU515110515110               ,2001,M13,172.3,
929,PCU515110515110               ,2002,M13,171.9,
942,PCU515110515110               ,2003,M13,179.0,
955,PCU515110515110               ,2004,M13,187.7,
968,PCU515110515110               ,2005,M13,194.7,
981,PCU515110515110               ,2006,M13,193.7,
994,PCU515110515110               ,2007,M13,190.4,
1007,PCU515110515110               ,2008,M13,188.9,
1020,PCU515110515110               ,2009,M13,180.1,
1033,PCU515110515110               ,2010,M13,181.8,
1046,PCU515110515110               ,2011,M13,179.5,
1059,PCU515110515110               ,2012,M13,174.8,
1072,PCU515110515110               ,2013,M13,176.3,
1085,PCU515110515110               ,2014,M13,173.1,
1098,PCU515110515110               ,2015,M13,164.4,
1111,PCU515110515110               ,2016,M13,172.7,
1124,PCU515110515110               ,2017,M13,172.9,
1137,PCU515110515110               ,2018,M13,179.2,
1150,PCU515110515110               ,2019,M13,185.4,
1163,PCU515110515110               ,2020,M13,174.5,
1176,PCU515110515110               ,2021,M13,179.133,P
1197,PCU5151105151101              ,1989,M13,104.8,
1210,PCU5151105151101              ,1990,M13,110.5,
1223,PCU5151105151101              ,1991,M13,112.4,
1236,PCU5151105151101              ,1992,M13,114.2,
1249,PCU5151105151101              ,1993,M13,118.5,
1262,PCU5151105151101              ,1994,M13,124.3,
1275,PCU5151105151101              ,1995,M13,131.7,
1288,PCU5151105151101              ,1996,M13,144.3,
1301,PCU5151105151101              ,1997,M13,152.5,
1314,PCU5151105151101              ,1998,M13,154.9,
1327,PCU5151105151101              ,1999,M13,167.0,
1340,PCU5151105151101              ,2000,M13,173.9,
1353,PCU5151105151101              ,2001,M13,175.4,
1366,PCU5151105151101              ,2002,M13,175.2,
1379,PCU5151105151101              ,2003,M13,183.8,
1392,PCU5151105151101              ,2004,M13,193.7,
1405,PCU5151105151101              ,2005,M13,201.2,
1418,PCU5151105151101              ,2006,M13,199.9,
1431,PCU5151105151101              ,2007,M13,196.0,
1444,PCU5151105151101              ,2008,M13,194.3,
1457,PCU5151105151101              ,2009,M13,184.5,
1470,PCU5151105151101              ,2010,M13,186.4,
1483,PCU5151105151101              ,2011,M13,183.8,
1496,PCU5151105151101              ,2012,M13,181.5,
1509,PCU5151105151101              ,2013,M13,188.5,
1522,PCU5151105151101              ,2014,M13,187.0,
1535,PCU5151105151101              ,2015,M13,175.7,
1548,PCU5151105151101              ,2016,M13,185.8,
1561,PCU5151105151101              ,2017,M13,186.5,
1574,PCU5151105151101              ,2018,M13,193.8,
1587,PCU5151105151101              ,2019,M13,203.8,
1600,PCU5151105151101              ,2020,M13,183.0,
1613,PCU5151105151101              ,2021,M13,190.044,P
1634,PCU515110515110101            ,1989,M13,104.8,
1647,PCU515110515110101            ,1990,M13,110.5,
1660,PCU515110515110101            ,1991,M13,112.4,
1673,PCU515110515110101            ,1992,M13,114.2,
1686,PCU515110515110101            ,1993,M13,118.5,
1699,PCU515110515110101            ,1994,M13,124.3,
1712,PCU515110515110101            ,1995,M13,131.7,
1725,PCU515110515110101            ,1996,M13,144.3,
1738,PCU515110515110101            ,1997,M13,152.5,
1751,PCU515110515110101            ,1998,M13,154.9,
1764,PCU515110515110101            ,1999,M13,167.0,
1777,PCU515110515110101            ,2000,M13,173.9,
1790,PCU515110515110101            ,2001,M13,175.4,
1803,PCU515110515110101            ,2002,M13,175.2,
1816,PCU515110515110101            ,2003,M13,183.8,
1829,PCU515110515110101            ,2004,M13,193.8,
1842,PCU515110515110101            ,2005,M13,201.4,
1855,PCU515110515110101            ,2006,M13,200.2,
1868,PCU515110515110101            ,2007,M13,196.2,
1881,PCU515110515110101            ,2008,M13,194.3,
1894,PCU515110515110101            ,2009,M13,184.3,
1907,PCU515110515110101            ,2010,M13,186.2,
1920,PCU515110515110101            ,2011,M13,183.6,
1933,PCU515110515110101            ,2012,M13,181.3,
1946,PCU515110515110101            ,2013,M13,189.0,
1959,PCU515110515110101            ,2014,M13,187.3,
1972,PCU515110515110101            ,2015,M13,175.0,
1985,PCU515110515110101            ,2016,M13,186.6,
1998,PCU515110515110101            ,2017,M13,179.8,
2011,PCU515110515110101            ,2018,M13,182.6,
2024,PCU515110515110101            ,2019,M13,194.0,
2037,PCU515110515110101            ,2020,M13,173.6,
2050,PCU515110515110101            ,2021,M13,182.638,P
2065,PCU51511051511010101          ,1996,M13,106.1,
2078,PCU51511051511010101          ,1997,M13,112.7,
2091,PCU51511051511010101          ,1998,M13,115.4,
2104,PCU51511051511010101          ,1999,M13,124.2,
2117,PCU51511051511010101          ,2000,M13,130.2,
2130,PCU51511051511010101          ,2001,M13,131.2,
2143,PCU51511051511010101          ,2002,M13,131.3,
2156,PCU51511051511010101          ,2003,M13,137.9,
2169,PCU51511051511010101          ,2004,M13,146.2,
2182,PCU51511051511010101          ,2005,M13,151.7,
2195,PCU51511051511010101          ,2006,M13,151.8,
2208,PCU51511051511010101          ,2007,M13,149.4,
2221,PCU51511051511010101          ,2008,M13,148.5,
2234,PCU51511051511010101          ,2009,M13,139.9,
2247,PCU51511051511010101          ,2010,M13,141.6,
2260,PCU51511051511010101          ,2011,M13,139.7,
2273,PCU51511051511010101          ,2012,M13,138.4,
2286,PCU51511051511010101          ,2013,M13,145.1,
2299,PCU51511051511010101          ,2014,M13,144.3,
2312,PCU51511051511010101          ,2015,M13,135.2,
2325,PCU51511051511010101          ,2016,M13,145.0,
2338,PCU51511051511010101          ,2017,M13,140.6,
2351,PCU51511051511010101          ,2018,M13,139.9,
2364,PCU51511051511010101          ,2019,M13,148.1,
2377,PCU51511051511010101          ,2020,M13,131.1,
2390,PCU51511051511010101          ,2021,M13,136.825,P
2405,PCU51511051511010102          ,1996,M13,106.0,
2418,PCU51511051511010102          ,1997,M13,110.2,
2431,PCU51511051511010102          ,1998,M13,108.8,
2444,PCU51511051511010102          ,1999,M13,118.1,
2457,PCU51511051511010102          ,2000,M13,119.6,
2470,PCU51511051511010102          ,2001,M13,121.4,
2483,PCU51511051511010102          ,2002,M13,120.5,
2496,PCU51511051511010102          ,2003,M13,125.8,
2509,PCU51511051511010102          ,2004,M13,130.1,
2522,PCU51511051511010102          ,2005,M13,135.9,
2535,PCU51511051511010102          ,2006,M13,132.2,
2548,PCU51511051511010102          ,2007,M13,127.5,
2561,PCU51511051511010102          ,2008,M13,124.4,
2574,PCU51511051511010102          ,2009,M13,121.2,
2587,PCU51511051511010102          ,2010,M13,121.6,
2600,PCU51511051511010102          ,2011,M13,119.7,
2613,PCU51511051511010102          ,2012,M13,116.6,
2626,PCU51511051511010102          ,2013,M13,118.8,
2639,PCU51511051511010102          ,2014,M13,116.3,
2652,PCU51511051511010102          ,2015,M13,107.2,
2665,PCU51511051511010102          ,2016,M13,111.5,
2678,PCU51511051511010102          ,2017,M13,104.5,
2691,PCU51511051511010102          ,2018,M13,113.2,
2704,PCU51511051511010102          ,2019,M13,121.9,
2717,PCU51511051511010102          ,2020,M13,113.1,
2730,PCU51511051511010102          ,2021,M13,122.028,P
2745,PCU515110515110102            ,2012,M13,97.9,
2758,PCU515110515110102            ,2013,M13,97.7,
2771,PCU515110515110102            ,2014,M13,98.1,
2784,PCU515110515110102            ,2015,M13,97.0,
2797,PCU515110515110102            ,2016,M13,95.0,
2810,PCU515110515110102            ,2017,M13,133.6,
2823,PCU515110515110102            ,2018,M13,160.6,
2836,PCU515110515110102            ,2019,M13,160.7,
2849,PCU515110515110102            ,2020,M13,146.7,
2862,PCU515110515110102            ,2021,M13,141.978,P
2875,PCU5151105151102              ,1996,M13,101.4,
2888,PCU5151105151102              ,1997,M13,110.3,
2901,PCU5151105151102              ,1998,M13,118.7,
2914,PCU5151105151102              ,1999,M13,122.4,
2927,PCU5151105151102              ,2000,M13,159.0,
2940,PCU5151105151102              ,2001,M13,162.4,
2953,PCU5151105151102              ,2002,M13,151.5,
2966,PCU5151105151102              ,2003,M13,145.8,
2979,PCU5151105151102              ,2004,M13,145.0,
2992,PCU5151105151102              ,2005,M13,145.5,
3005,PCU5151105151102              ,2006,M13,146.3,
3018,PCU5151105151102              ,2007,M13,147.5,
3031,PCU5151105151102              ,2008,M13,148.3,
3044,PCU5151105151102              ,2009,M13,148.6,
3057,PCU5151105151102              ,2010,M13,148.2,
3070,PCU5151105151102              ,2011,M13,148.3,
3083,PCU5151105151102              ,2012,M13,137.6,
3096,PCU5151105151102              ,2013,M13,124.6,
3109,PCU5151105151102              ,2014,M13,116.6,
3122,PCU5151105151102              ,2015,M13,113.9,
3135,PCU5151105151102              ,2016,M13,116.3,
3148,PCU5151105151102              ,2017,M13,116.0,
3161,PCU5151105151102              ,2018,M13,116.0,
3174,PCU5151105151102              ,2019,M13,116.1,
3187,PCU5151105151102              ,2020,M13,117.4,
3200,PCU5151105151102              ,2021,M13,116.836,P
3221,PCU515110515110P              ,1989,M13,104.8,
3234,PCU515110515110P              ,1990,M13,110.5,
3247,PCU515110515110P              ,1991,M13,112.4,
3260,PCU515110515110P              ,1992,M13,114.2,
3273,PCU515110515110P              ,1993,M13,118.5,
3286,PCU515110515110P              ,1994,M13,124.3,
3299,PCU515110515110P              ,1995,M13,131.7,
3312,PCU515110515110P              ,1996,M13,144.3,
3325,PCU515110515110P              ,1997,M13,152.5,
3338,PCU515110515110P              ,1998,M13,154.9,
3351,PCU515110515110P              ,1999,M13,167.0,
3364,PCU515110515110P              ,2000,M13,173.9,
3377,PCU515110515110P              ,2001,M13,175.4,
3390,PCU515110515110P              ,2002,M13,175.2,
3403,PCU515110515110P              ,2003,M13,183.8,
3416,PCU515110515110P              ,2004,M13,193.7,
3429,PCU515110515110P              ,2005,M13,201.2,
3442,PCU515110515110P              ,2006,M13,199.9,
3455,PCU515110515110P              ,2007,M13,196.0,
3468,PCU515110515110P              ,2008,M13,194.3,
3481,PCU515110515110P              ,2009,M13,184.5,
3494,PCU515110515110P              ,2010,M13,186.4,
3507,PCU515110515110P              ,2011,M13,183.8,
3520,PCU515110515110P              ,2012,M13,178.5,
3533,PCU515110515110P              ,2013,M13,180.3,
3546,PCU515110515110P              ,2014,M13,177.0,
3559,PCU515110515110P              ,2015,M13,167.4,
3572,PCU515110515110P              ,2016,M13,176.0,
3585,PCU515110515110P              ,2017,M13,176.4,
3598,PCU515110515110P              ,2018,M13,182.0,
3611,PCU515110515110P              ,2019,M13,189.1,
3624,PCU515110515110P              ,2020,M13,175.0,
3637,PCU515110515110P              ,2021,M13,179.686,P
3652,PCU515110515110SM             ,2004,M13,99.1,
3665,PCU515110515110SM             ,2005,M13,101.7,
3678,PCU515110515110SM             ,2006,M13,102.2,
3691,PCU515110515110SM             ,2007,M13,105.3,
3704,PCU515110515110SM             ,2008,M13,105.5,
3717,PCU515110515110SM             ,2009,M13,105.5,
3730,PCU515110515110SM             ,2010,M13,105.5,
3754,PCU515110515110SM             ,2012,M13,106.2,
3767,PCU515110515110SM             ,2013,M13,104.0,
3780,PCU515110515110SM             ,2014,M13,103.5,
3793,PCU515110515110SM             ,2015,M13,105.5,
3806,PCU515110515110SM             ,2016,M13,110.4,
3819,PCU515110515110SM             ,2017,M13,107.5,
3832,PCU515110515110SM             ,2018,M13,116.8,
3845,PCU515110515110SM             ,2019,M13,114.9,
3858,PCU515110515110SM             ,2020,M13,130.7,
3871,PCU515110515110SM             ,2021,M13,133.828,P
3886,PCU51512-51512-               ,2004,M13,100.5,
3899,PCU51512-51512-               ,2005,M13,97.3,
3912,PCU51512-51512-               ,2006,M13,96.3,
3925,PCU51512-51512-               ,2007,M13,97.3,
3938,PCU51512-51512-               ,2008,M13,98.0,
3951,PCU51512-51512-               ,2009,M13,85.8,
3964,PCU51512-51512-               ,2010,M13,90.6,
3977,PCU51512-51512-               ,2011,M13,90.3,
3990,PCU51512-51512-               ,2012,M13,97.4,
4003,PCU51512-51512-               ,2013,M13,95.0,
4016,PCU51512-51512-               ,2014,M13,96.5,
4029,PCU51512-51512-               ,2015,M13,94.2,
4042,PCU51512-51512-               ,2016,M13,99.6,
4055,PCU51512-51512-               ,2017,M13,96.9,
4068,PCU51512-51512-               ,2018,M13,99.4,
4081,PCU51512-51512-               ,2019,M13,96.7,
4094,PCU51512-51512-               ,2020,M13,94.1,
4107,PCU51512-51512-               ,2021,M13,93.342,P
4128,PCU515120515120               ,2002,M13,96.7,
4141,PCU515120515120               ,2003,M13,98.9,
4154,PCU515120515120               ,2004,M13,101.4,
4167,PCU515120515120               ,2005,M13,98.2,
4180,PCU515120515120               ,2006,M13,97.2,
4193,PCU515120515120               ,2007,M13,98.1,
4206,PCU515120515120               ,2008,M13,99.0,
4219,PCU515120515120               ,2009,M13,87.8,
4232,PCU515120515120               ,2010,M13,91.8,
4245,PCU515120515120               ,2011,M13,91.6,
4258,PCU515120515120               ,2012,M13,98.2,
4271,PCU515120515120               ,2013,M13,95.9,
4284,PCU515120515120               ,2014,M13,97.8,
4297,PCU515120515120               ,2015,M13,95.6,
4310,PCU515120515120               ,2016,M13,101.2,
4323,PCU515120515120               ,2017,M13,97.8,
4336,PCU515120515120               ,2018,M13,100.3,
4349,PCU515120515120               ,2019,M13,97.5,
4362,PCU515120515120               ,2020,M13,94.9,
4375,PCU515120515120               ,2021,M13,94.13,P
4396,PCU5151205151203              ,2009,M13,87.8,
4409,PCU5151205151203              ,2010,M13,92.9,
4422,PCU5151205151203              ,2011,M13,92.6,
4435,PCU5151205151203              ,2012,M13,100.5,
4448,PCU5151205151203              ,2013,M13,97.0,
4461,PCU5151205151203              ,2014,M13,96.0,
4474,PCU5151205151203              ,2015,M13,93.1,
4487,PCU5151205151203              ,2016,M13,99.5,
4500,PCU5151205151203              ,2017,M13,95.6,
