index,Index,Label,unit,start,last,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PCU5321--5321--               ,PCU5321--5321--               ,"PPI industry group data for Automotive equipment rental and leasing, not seasonally adjusted",Index base: 2001.06 = 100,2001-M06,2021-M11,,,,,,,,,,,103.9,106.6,107.8,109.0,115.2,118.0,126.4,135.2,133.5,133.0,132.7,134.2,137.9,131.0,123.7,124.3,126.8,127.8,123.7
PCU53211-53211-               ,PCU53211-53211-               ,"PPI industry data for Passenger car rental and leasing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,98.2,99.9,108.0,108.2,116.5,131.0,126.8,123.1,119.9,121.8,129.0,118.7,109.9,110.3,112.7,112.2,105.4
PCU532111532111               ,PCU532111532111               ,"PPI industry data for Passenger car rental, not seasonally adjusted",Index base: 1991.12 = 100,1991-M12,2021-M11,107.4,113.3,114.3,123.8,119.3,130.5,132.6,129.4,134.9,133.8,141.8,144.4,144.3,146.7,158.6,159.0,171.0,192.4,186.3,180.7,176.1,178.8,189.3,174.3,161.3,161.9,165.5,164.7,154.7
PCU5321115321112              ,PCU5321115321112              ,"PPI industry data for Passenger car rental-Standard passenger car rental, not seasonally adjusted",Index base: 1991.12 = 100,1991-M12,2021-M11,108.6,114.9,115.4,125.1,118.6,130.8,132.7,129.4,135.8,132.8,141.2,144.6,144.5,145.4,157.8,160.0,174.1,203.5,195.1,186.1,172.8,174.3,186.5,169.9,153.8,154.9,158.5,156.3,143.3
PCU532111532111211            ,PCU532111532111211            ,"PPI industry data for Passenger car rental-Passenger car rental for business travel, not seasonally adjusted",Index base: 1998.12 = 100,1998-M12,2021-M11,,,,,,,,100.0,102.8,102.6,106.0,105.4,104.8,104.6,108.8,111.5,116.8,117.8,119.3,118.1,109.6,104.8,111.8,100.9,94.0,89.4,90.1,87.6,75.2
PCU532111532111221            ,PCU532111532111221            ,"PPI industry data for Passenger car rental-Passenger car rental for leisure travel, not seasonally adjusted",Index base: 1998.12 = 100,1998-M12,2021-M11,,,,,,,,106.8,114.5,109.7,119.8,125.9,126.4,128.0,143.7,143.7,161.6,210.5,194.5,180.6,156.6,162.4,174.1,159.2,142.2,147.2,150.7,149.7,141.5
PCU5321115321113              ,PCU5321115321113              ,"PPI industry data for Passenger car rental-Replacement passenger car rental, not seasonally adjusted",Index base: 1991.12 = 100,1991-M12,2021-M11,100.2,103.2,106.9,116.9,130.0,136.0,141.0,141.6,144.7,149.7,157.2,159.4,159.5,160.7,163.5,155.3,152.5,166.5,169.9,168.7,188.7,201.3,205.8,198.5,203.7,204.1,208.5,213.5,214.6
PCU532111532111P              ,PCU532111532111P              ,"PPI industry data for Passenger car rental-Primary services, not seasonally adjusted",Index base: 1991.12 = 100,1991-M12,2021-M11,107.7,113.7,114.6,124.2,119.6,131.3,133.4,130.1,135.7,134.4,142.5,145.5,145.5,146.4,156.5,156.4,166.7,192.4,186.6,179.4,173.7,177.0,187.8,172.8,160.2,161.1,164.6,163.9,153.9
PCU53212-53212-               ,PCU53212-53212-               ,"PPI industry data for Truck, utility trailer and RV rental and leasing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,99.9,99.9,101.2,107.7,114.7,111.8,114.6,119.6,123.3,123.7,120.3,121.1,118.3,119.0,121.0,125.1,128.1
PCU532120532120               ,PCU532120532120               ,"PPI industry data for Truck, utility trailer, and RV rental and leasing, not seasonally adjusted",Index base: 1991.06 = 100,1991-M06,2021-M11,101.1,100.2,102.2,103.7,106.5,104.5,104.7,104.2,108.2,108.0,107.2,111.0,114.7,114.8,116.2,123.7,131.7,128.4,131.6,137.3,141.6,142.0,138.1,139.0,135.9,136.6,138.9,143.7,147.1
PCU5321205321201              ,PCU5321205321201              ,"PPI industry data for Truck, utility trailer, and RV rental and leasing-Rental of trucks, truck trailers, RVs, not seasonally adjusted",Index base: 1991.06 = 100,1991-M06,2021-M11,99.7,93.4,98.3,97.8,102.7,98.9,99.1,95.9,96.9,97.6,97.3,106.3,115.3,113.6,114.6,126.2,142.1,139.5,149.6,157.8,160.0,162.4,153.3,154.4,143.8,136.1,137.1,139.0,143.9
PCU5321205321204              ,PCU5321205321204              ,"PPI industry data for Truck, utility trailer, and RV rental and leasing-Leasing of trucks, truck trailers, and RVs, not seasonally adjusted",Index base: 1991.06 = 100,1991-M06,2021-M11,104.5,107.1,108.6,112.3,113.4,113.2,113.5,114.3,117.6,117.7,114.8,115.4,116.1,117.3,117.9,117.6,119.5,120.2,120.8,121.4,122.9,124.1,124.1,124.5,124.7,125.8,128.6,131.3,133.9
PCU532120532120M              ,PCU532120532120M              ,"PPI industry data for Truck, utility trailer, and RV rental and leasing-Miscellaneous receipts, not seasonally adjusted",Index base: 1991.06 = 100,1991-M06,1998-M06,97.7,102.5,101.7,101.3,101.7,103.2,,,,,,,,,,,,,,,,,,,,,,,
PCU532120532120P              ,PCU532120532120P              ,"PPI industry data for Truck, utility trailer, and RV rental and leasing-Primary services, not seasonally adjusted",Index base: 1991.06 = 100,1991-M06,2021-M11,101.5,100.0,102.3,104.0,107.0,104.6,105.0,104.1,105.8,106.0,104.9,109.5,114.0,113.8,114.5,120.2,128.0,124.3,127.1,132.5,137.0,138.8,136.0,136.7,132.7,133.3,136.1,138.6,142.1
PCU532120532120SM             ,PCU532120532120SM             ,"PPI industry data for Truck, utility trailer, and RV rental and leasing-Other receipts, not seasonally adjusted",Index base: 1991.06 = 100,1991-M06,2021-M11,,,,,,,,103.5,116.8,114.6,115.3,116.0,116.5,117.4,122.0,139.8,149.4,148.5,154.7,162.1,163.6,156.3,145.3,147.4,149.6,151.3,151.1,171.1,173.4
PCU532412532412               ,PCU532412532412               ,"PPI industry data for Other heavy machinery rental and leasing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,102.3,107.0,112.9,118.2,118.1,116.6,114.6,117.2,119.5,123.9,119.4,119.6,118.4,119.1,121.9,121.3,119.0
PCU5324125324121              ,PCU5324125324121              ,"PPI industry data for Other heavy machinery rental and leasing-Construction equipment rental and leasing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,101.6,104.5,109.2,113.7,112.9,110.2,105.2,108.7,112.9,117.3,109.6,113.8,115.7,117.3,118.7,118.3,117.3
PCU5324125324122              ,PCU5324125324122              ,"PPI industry data for Other heavy machinery rental and leasing-Oilfield and well drilling equipment rental and leasing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,103.4,106.4,121.0,132.6,133.2,132.0,133.0,133.9,136.6,141.9,143.1,123.8,107.9,104.4,105.8,106.6,99.4
PCU532412532412P              ,PCU532412532412P              ,"PPI industry data for Other heavy machinery rental and leasing-Primary services, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,102.0,104.9,111.9,117.9,117.5,115.2,111.8,114.6,117.8,122.4,116.9,115.4,113.0,113.4,115.2,115.2,112.0
PCU532412532412SM             ,PCU532412532412SM             ,"PPI industry data for Other heavy machinery rental and leasing-Other receipts, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,103.5,116.6,117.4,119.3,121.2,125.5,133.7,135.0,130.8,133.9,,,156.1,159.5,161.8,159.5,158.7
