,series_id,year,period,value,footnote_codes
19,PCU5321--5321--               ,2002,M13,103.9,
32,PCU5321--5321--               ,2003,M13,106.6,
45,PCU5321--5321--               ,2004,M13,107.8,
58,PCU5321--5321--               ,2005,M13,109.0,
71,PCU5321--5321--               ,2006,M13,115.2,
84,PCU5321--5321--               ,2007,M13,118.0,
97,PCU5321--5321--               ,2008,M13,126.4,
110,PCU5321--5321--               ,2009,M13,135.2,
123,PCU5321--5321--               ,2010,M13,133.5,
136,PCU5321--5321--               ,2011,M13,133.0,
149,PCU5321--5321--               ,2012,M13,132.7,
162,PCU5321--5321--               ,2013,M13,134.2,
175,PCU5321--5321--               ,2014,M13,137.9,
188,PCU5321--5321--               ,2015,M13,131.0,
201,PCU5321--5321--               ,2016,M13,123.7,
214,PCU5321--5321--               ,2017,M13,124.3,
227,PCU5321--5321--               ,2018,M13,126.8,
240,PCU5321--5321--               ,2019,M13,127.8,
253,PCU5321--5321--               ,2020,M13,123.7,
266,PCU5321--5321--               ,2021,M13,149.074,P
282,PCU53211-53211-               ,2004,M13,98.2,
295,PCU53211-53211-               ,2005,M13,99.9,
308,PCU53211-53211-               ,2006,M13,108.0,
321,PCU53211-53211-               ,2007,M13,108.2,
334,PCU53211-53211-               ,2008,M13,116.5,
347,PCU53211-53211-               ,2009,M13,131.0,
360,PCU53211-53211-               ,2010,M13,126.8,
373,PCU53211-53211-               ,2011,M13,123.1,
386,PCU53211-53211-               ,2012,M13,119.9,
399,PCU53211-53211-               ,2013,M13,121.8,
412,PCU53211-53211-               ,2014,M13,129.0,
425,PCU53211-53211-               ,2015,M13,118.7,
438,PCU53211-53211-               ,2016,M13,109.9,
451,PCU53211-53211-               ,2017,M13,110.3,
464,PCU53211-53211-               ,2018,M13,112.7,
477,PCU53211-53211-               ,2019,M13,112.2,
490,PCU53211-53211-               ,2020,M13,105.4,
503,PCU53211-53211-               ,2021,M13,136.264,P
519,PCU532111532111               ,1992,M13,107.4,
532,PCU532111532111               ,1993,M13,113.3,
545,PCU532111532111               ,1994,M13,114.3,
558,PCU532111532111               ,1995,M13,123.8,
571,PCU532111532111               ,1996,M13,119.3,
584,PCU532111532111               ,1997,M13,130.5,
597,PCU532111532111               ,1998,M13,132.6,
610,PCU532111532111               ,1999,M13,129.4,
623,PCU532111532111               ,2000,M13,134.9,
636,PCU532111532111               ,2001,M13,133.8,
649,PCU532111532111               ,2002,M13,141.8,
662,PCU532111532111               ,2003,M13,144.4,
675,PCU532111532111               ,2004,M13,144.3,
688,PCU532111532111               ,2005,M13,146.7,
701,PCU532111532111               ,2006,M13,158.6,
714,PCU532111532111               ,2007,M13,159.0,
727,PCU532111532111               ,2008,M13,171.0,
740,PCU532111532111               ,2009,M13,192.4,
753,PCU532111532111               ,2010,M13,186.3,
766,PCU532111532111               ,2011,M13,180.7,
779,PCU532111532111               ,2012,M13,176.1,
792,PCU532111532111               ,2013,M13,178.8,
805,PCU532111532111               ,2014,M13,189.3,
818,PCU532111532111               ,2015,M13,174.3,
831,PCU532111532111               ,2016,M13,161.3,
844,PCU532111532111               ,2017,M13,161.9,
857,PCU532111532111               ,2018,M13,165.5,
870,PCU532111532111               ,2019,M13,164.7,
883,PCU532111532111               ,2020,M13,154.7,
896,PCU532111532111               ,2021,M13,200.004,P
912,PCU5321115321112              ,1992,M13,108.6,
925,PCU5321115321112              ,1993,M13,114.9,
938,PCU5321115321112              ,1994,M13,115.4,
951,PCU5321115321112              ,1995,M13,125.1,
964,PCU5321115321112              ,1996,M13,118.6,
977,PCU5321115321112              ,1997,M13,130.8,
990,PCU5321115321112              ,1998,M13,132.7,
1003,PCU5321115321112              ,1999,M13,129.4,
1016,PCU5321115321112              ,2000,M13,135.8,
1029,PCU5321115321112              ,2001,M13,132.8,
1042,PCU5321115321112              ,2002,M13,141.2,
1055,PCU5321115321112              ,2003,M13,144.6,
1068,PCU5321115321112              ,2004,M13,144.5,
1081,PCU5321115321112              ,2005,M13,145.4,
1094,PCU5321115321112              ,2006,M13,157.8,
1107,PCU5321115321112              ,2007,M13,160.0,
1120,PCU5321115321112              ,2008,M13,174.1,
1133,PCU5321115321112              ,2009,M13,203.5,
1146,PCU5321115321112              ,2010,M13,195.1,
1159,PCU5321115321112              ,2011,M13,186.1,
1172,PCU5321115321112              ,2012,M13,172.8,
1185,PCU5321115321112              ,2013,M13,174.3,
1198,PCU5321115321112              ,2014,M13,186.5,
1211,PCU5321115321112              ,2015,M13,169.9,
1224,PCU5321115321112              ,2016,M13,153.8,
1237,PCU5321115321112              ,2017,M13,154.9,
1250,PCU5321115321112              ,2018,M13,158.5,
1263,PCU5321115321112              ,2019,M13,156.3,
1276,PCU5321115321112              ,2020,M13,143.3,
1289,PCU5321115321112              ,2021,M13,194.581,P
1305,PCU532111532111211            ,1999,M13,100.0,
1318,PCU532111532111211            ,2000,M13,102.8,
1331,PCU532111532111211            ,2001,M13,102.6,
1344,PCU532111532111211            ,2002,M13,106.0,
1357,PCU532111532111211            ,2003,M13,105.4,
1370,PCU532111532111211            ,2004,M13,104.8,
1383,PCU532111532111211            ,2005,M13,104.6,
1396,PCU532111532111211            ,2006,M13,108.8,
1409,PCU532111532111211            ,2007,M13,111.5,
1422,PCU532111532111211            ,2008,M13,116.8,
1435,PCU532111532111211            ,2009,M13,117.8,
1448,PCU532111532111211            ,2010,M13,119.3,
1461,PCU532111532111211            ,2011,M13,118.1,
1474,PCU532111532111211            ,2012,M13,109.6,
1487,PCU532111532111211            ,2013,M13,104.8,
1500,PCU532111532111211            ,2014,M13,111.8,
1513,PCU532111532111211            ,2015,M13,100.9,
1526,PCU532111532111211            ,2016,M13,94.0,
1539,PCU532111532111211            ,2017,M13,89.4,
1552,PCU532111532111211            ,2018,M13,90.1,
1565,PCU532111532111211            ,2019,M13,87.6,
1578,PCU532111532111211            ,2020,M13,75.2,
1591,PCU532111532111211            ,2021,M13,89.107,P
1607,PCU532111532111221            ,1999,M13,106.8,
1620,PCU532111532111221            ,2000,M13,114.5,
1633,PCU532111532111221            ,2001,M13,109.7,
1646,PCU532111532111221            ,2002,M13,119.8,
1659,PCU532111532111221            ,2003,M13,125.9,
1672,PCU532111532111221            ,2004,M13,126.4,
1685,PCU532111532111221            ,2005,M13,128.0,
1698,PCU532111532111221            ,2006,M13,143.7,
1711,PCU532111532111221            ,2007,M13,143.7,
1724,PCU532111532111221            ,2008,M13,161.6,
1737,PCU532111532111221            ,2009,M13,210.5,
1750,PCU532111532111221            ,2010,M13,194.5,
1763,PCU532111532111221            ,2011,M13,180.6,
1776,PCU532111532111221            ,2012,M13,156.6,
1789,PCU532111532111221            ,2013,M13,162.4,
1802,PCU532111532111221            ,2014,M13,174.1,
1815,PCU532111532111221            ,2015,M13,159.2,
1828,PCU532111532111221            ,2016,M13,142.2,
1841,PCU532111532111221            ,2017,M13,147.2,
1854,PCU532111532111221            ,2018,M13,150.7,
1867,PCU532111532111221            ,2019,M13,149.7,
1880,PCU532111532111221            ,2020,M13,141.5,
1893,PCU532111532111221            ,2021,M13,203.018,P
1909,PCU5321115321113              ,1992,M13,100.2,
1922,PCU5321115321113              ,1993,M13,103.2,
1935,PCU5321115321113              ,1994,M13,106.9,
1948,PCU5321115321113              ,1995,M13,116.9,
1961,PCU5321115321113              ,1996,M13,130.0,
1974,PCU5321115321113              ,1997,M13,136.0,
1987,PCU5321115321113              ,1998,M13,141.0,
2000,PCU5321115321113              ,1999,M13,141.6,
2013,PCU5321115321113              ,2000,M13,144.7,
2026,PCU5321115321113              ,2001,M13,149.7,
2039,PCU5321115321113              ,2002,M13,157.2,
2052,PCU5321115321113              ,2003,M13,159.4,
2065,PCU5321115321113              ,2004,M13,159.5,
2078,PCU5321115321113              ,2005,M13,160.7,
2091,PCU5321115321113              ,2006,M13,163.5,
2104,PCU5321115321113              ,2007,M13,155.3,
2117,PCU5321115321113              ,2008,M13,152.5,
2130,PCU5321115321113              ,2009,M13,166.5,
2143,PCU5321115321113              ,2010,M13,169.9,
2156,PCU5321115321113              ,2011,M13,168.7,
