index,Index,Label,unit,start,last,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PCU7131--7131--               ,PCU7131--7131--               ,"PPI industry group data for Amusement and theme parks, not seasonally adjusted",Index base: 2006.06 = 100,2006-M06,2021-M11,,,105.2,109.8,112.5,118.2,123.1,132.3,140.5,147.6,154.6,163.2,171.6,175.9,185.3,188.3
PCU71311-71311-               ,PCU71311-71311-               ,"PPI industry data for Amusement and theme parks, not seasonally adjusted",Index base: 2006.06 = 100,2006-M06,2021-M11,,,105.2,109.8,112.5,118.0,122.9,132.1,140.3,147.4,154.3,163.0,171.3,175.7,185.0,188.0
PCU713110713110               ,PCU713110713110               ,"PPI industry data for Amusement and theme parks, not seasonally adjusted",Index base: 2006.06 = 100,2006-M06,2021-M11,,,105.2,109.8,112.5,118.0,122.9,132.0,140.3,147.4,154.3,163.0,171.3,175.7,185.0,188.0
PCU7131107131101              ,PCU7131107131101              ,"PPI industry data for Amusement and theme parks-Amusement and theme park admissions, not seasonally adjusted",Index base: 2006.06 = 100,2006-M06,2021-M11,,,107.5,113.7,116.4,123.7,130.9,141.8,151.0,158.9,167.7,180.3,190.1,192.6,200.2,202.7
PCU7131107131102              ,PCU7131107131102              ,"PPI industry data for Amusement and theme parks-Amusement and theme park food and beverage sales, not seasonally adjusted",Index base: 2006.06 = 100,2006-M06,2021-M11,,,103.8,108.0,112.7,116.1,117.1,122.6,128.3,131.5,135.6,141.9,149.0,158.6,171.6,175.3
PCU7131107131103              ,PCU7131107131103              ,"PPI industry data for Amusement and theme parks-Amusement and theme park merchandise sales, games, and other services, not seasonally adjusted",Index base: 2006.06 = 100,2006-M06,2021-M11,,,101.1,102.6,103.8,105.5,105.8,112.2,115.3,116.4,116.9,123.2,129.5,131.6,136.2,138.2
PCU713110713110P              ,PCU713110713110P              ,"PPI industry data for Amusement and theme parks-Primary services, not seasonally adjusted",Index base: 2006.06 = 100,2006-M06,2021-M11,,,105.7,110.7,113.6,119.1,124.0,133.1,140.5,146.0,152.3,162.4,171.1,174.9,182.9,185.6
PCU713110713110SM             ,PCU713110713110SM             ,"PPI industry data for Amusement and theme parks-Other receipts, not seasonally adjusted",Index base: 2006.06 = 100,2006-M06,2021-M11,,,,,101.6,106.1,111.0,122.2,139.2,160.3,173.9,,173.9,185.0,208.1,213.9
PCU71391-71391-               ,PCU71391-71391-               ,"PPI industry data for Golf courses and country clubs, not seasonally adjusted",Index base: 2005.12 = 100,2005-M12,2021-M11,,101.9,104.5,106.3,105.6,107.3,109.2,110.8,111.2,112.7,116.5,119.6,119.2,124.0,128.4,132.2
PCU713910713910               ,PCU713910713910               ,"PPI industry data for Golf courses and country clubs, not seasonally adjusted",Index base: 2005.12 = 100,2005-M12,2021-M11,,101.9,104.5,106.3,105.6,107.3,109.2,110.8,111.2,112.7,116.5,119.6,119.2,124.0,128.4,132.2
PCU7139107139101              ,PCU7139107139101              ,"PPI industry data for Golf courses and country clubs-Membership dues and fees, not seasonally adjusted",Index base: 2005.12 = 100,2005-M12,2021-M11,,103.2,106.0,107.8,105.5,107.5,110.0,112.5,111.6,113.8,119.7,126.0,126.7,132.6,138.3,141.4
PCU7139107139102              ,PCU7139107139102              ,"PPI industry data for Golf courses and country clubs-Greens and guest fees, not seasonally adjusted",Index base: 2005.12 = 100,2005-M12,2021-M11,,99.5,101.0,102.6,100.5,101.6,102.5,103.0,103.5,101.7,104.0,106.4,102.6,106.9,110.2,116.0
PCU7139107139103              ,PCU7139107139103              ,"PPI industry data for Golf courses and country clubs-Food and beverage sales, not seasonally adjusted",Index base: 2005.12 = 100,2005-M12,2021-M11,,103.8,108.5,109.4,109.4,109.5,112.5,113.6,115.1,115.4,117.1,117.6,124.1,126.8,130.8,133.7
PCU7139107139104              ,PCU7139107139104              ,"PPI industry data for Golf courses and country clubs-Equipment rentals and all other golf services, not seasonally adjusted",Index base: 2005.12 = 100,2005-M12,2021-M11,,100.7,100.4,105.7,107.8,110.6,110.0,111.2,112.6,112.8,113.0,114.3,113.0,115.8,119.7,128.6
PCU713910713910P              ,PCU713910713910P              ,"PPI industry data for Golf courses and country clubs-Primary services, not seasonally adjusted",Index base: 2005.12 = 100,2005-M12,2021-M11,,102.0,104.5,106.5,105.4,106.9,108.6,110.1,110.3,110.8,114.4,117.9,118.5,123.1,127.6,131.7
PCU713910713910SM             ,PCU713910713910SM             ,"PPI industry data for Golf courses and country clubs-Other receipts, not seasonally adjusted",Index base: 2005.12 = 100,2005-M12,2020-M04,,100.7,103.6,104.1,107.1,112.5,115.8,,,129.1,135.1,,,135.1,138.6,
PCU71394-71394-               ,PCU71394-71394-               ,"PPI industry data for Fitness and recreational sports centers, not seasonally adjusted",Index base: 2004.12 = 100,2004-M12,2021-M11,98.6,98.7,99.9,100.4,99.5,100.1,101.5,102.5,102.2,103.8,105.7,104.8,104.5,105.8,107.4,105.8
PCU713940713940               ,PCU713940713940               ,"PPI industry data for Fitness and recreational sports centers, not seasonally adjusted",Index base: 2004.12 = 100,2004-M12,2021-M11,98.6,98.7,99.9,100.4,99.5,100.1,101.5,102.5,102.2,103.8,105.7,104.8,104.5,105.8,107.4,105.8
PCU7139407139401              ,PCU7139407139401              ,"PPI industry data for Fitness and recreational sports centers-Fitness and recreational facility memberships, not seasonally adjusted",Index base: 2004.12 = 100,2004-M12,2021-M11,97.5,96.4,96.3,96.2,93.9,93.7,94.7,95.0,94.0,95.7,97.9,96.3,95.4,96.9,97.8,93.3
PCU7139407139402              ,PCU7139407139402              ,"PPI industry data for Fitness and recreational sports centers-Recreational facility admissions, classes, and other fitness center services, not seasonally adjusted",Index base: 2004.12 = 100,2004-M12,2021-M11,101.3,105.7,110.3,112.4,113.3,115.6,118.4,121.3,123.8,126.2,126.9,125.9,127.2,130.1,133.6,137.7
PCU713940713940P              ,PCU713940713940P              ,"PPI industry data for Fitness and recreational sports centers-Primary services, not seasonally adjusted",Index base: 2004.12 = 100,2004-M12,2021-M11,98.3,98.4,99.5,100.1,98.8,99.3,100.8,101.9,101.3,103.2,105.2,103.7,103.0,104.8,106.2,103.3
PCU713940713940SM             ,PCU713940713940SM             ,"PPI industry data for Fitness and recreational sports centers-Other receipts, not seasonally adjusted",Index base: 2004.12 = 100,2004-M12,2021-M11,100.6,100.5,102.2,102.5,103.4,104.6,105.4,106.0,106.6,107.5,108.9,110.1,111.1,110.7,113.1,116.7
