index,Index,Label,unit,start,last,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PCU316---316---               ,PCU316---316---               ,"PPI industry sub-sector data for Leather and allied product manufacturing, not seasonally adjusted",Index base: 1984.12 = 100,1984-M12,2021-M11,,,,,,,,,,101.3,103.0,106.6,113.4,118.0,122.6,124.8,127.0,129.0,130.6,134.1,134.7,137.1,137.1,136.5,137.9,141.3,141.1,142.8,143.6,144.5,146.6,149.7,153.5,153.8,156.2,164.0,167.7,174.7,181.1,180.6,178.5,178.3,176.3,175.2,173.4
PCU3161--3161--               ,PCU3161--3161--               ,"PPI industry group data for Leather and hide tanning and finishing, not seasonally adjusted",Index base: 1981.06 = 100,1977-M12,2021-M11,,,79.0,111.1,97.3,100.0,98.4,103.8,115.8,111.9,119.9,137.5,158.7,161.6,168.0,158.9,156.1,160.9,171.9,183.9,172.4,176.9,171.6,168.8,174.6,191.7,191.4,200.5,205.7,204.8,208.4,215.9,221.3,212.1,217.0,237.2,235.7,256.4,273.2,246.4,227.2,219.1,199.6,183.0,168.0
PCU31611-31611-               ,PCU31611-31611-               ,"PPI industry data for Leather and hide tanning and finishing, not seasonally adjusted",Index base: 1981.06 = 100,1977-M12,2021-M11,,,79.0,111.1,97.3,100.0,98.4,103.8,115.8,111.9,119.9,137.5,158.7,161.6,168.0,158.9,156.1,160.9,171.9,183.9,172.4,176.9,171.6,168.8,174.6,191.7,191.4,200.5,205.7,204.8,208.4,215.9,221.3,212.1,217.0,237.2,235.7,256.4,273.2,246.4,227.2,219.1,199.6,183.0,168.0
PCU316110316110               ,PCU316110316110               ,"PPI industry data for Leather and hide tanning and finishing, not seasonally adjusted",Index base: 1981.06 = 100,1977-M12,2021-M11,,,79.0,111.1,97.3,100.0,98.4,103.8,115.8,111.9,119.9,137.5,158.7,161.6,168.0,158.9,156.1,160.9,171.9,183.9,172.4,176.9,171.5,168.7,174.5,191.6,191.3,200.4,205.6,204.7,208.2,215.7,221.1,211.9,216.9,237.0,235.6,256.2,273.0,246.2,227.1,219.0,199.5,182.8,167.8
PCU3161103161101              ,PCU3161103161101              ,"PPI industry data for Leather and hide tanning and finishing-Finished and unfinished leather, not seasonally adjusted",Index base: 1997.12 = 100,1997-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,97.7,96.6,100.0,110.1,109.9,115.6,118.8,118.3,120.6,124.3,126.4,119.4,122.5,135.4,134.0,146.6,156.8,140.3,128.5,123.3,110.7,99.5,89.2
PCU3161103161102              ,PCU3161103161102              ,"PPI industry data for Leather and hide tanning and finishing-Tanning or finishing leather owned by others, and furs, dressed and dyed or bleached, not seasonally adjusted",Index base: 2011.06 = 100,2011-M06,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3,101.7,102.7,103.4,105.7,108.3,108.8,110.2,111.8
PCU31611031611021             ,PCU31611031611021             ,"PPI industry data for Leather and hide tanning and finishing-Contract and commission receipts for tanning or finishing leather owned by others, not seasonally adjusted",Index base: 1981.06 = 100,1981-M06,2021-M11,,,,,,,103.0,107.5,104.3,106.8,113.4,118.9,123.6,127.2,133.1,118.9,119.2,123.7,138.4,143.3,136.8,137.7,119.9,120.5,122.5,135.5,139.9,139.7,140.0,139.1,138.1,140.3,148.1,153.4,154.5,158.4,159.8,159.3,160.3,161.4,167.4,172.3,173.5,175.2,176.8
PCU316110316110P              ,PCU316110316110P              ,"PPI industry data for Leather and hide tanning and finishing-Primary products, not seasonally adjusted",Index base: 1981.06 = 100,1981-M06,2021-M11,,,,,,,97.8,103.8,116.2,111.4,120.1,137.1,159.1,161.4,168.3,158.7,155.9,160.6,171.5,183.2,171.5,175.6,169.9,168.2,173.8,191.5,191.7,201.0,206.3,205.3,209.2,215.6,219.7,208.6,213.8,235.2,233.2,254.1,271.1,243.9,224.5,216.2,196.4,179.5,164.2
PCU3162--3162--               ,PCU3162--3162--               ,"PPI industry group data for Footwear manufacturing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1,101.1,102.2,103.3,106.3,107.7,108.7,111.8,118.5,122.8,125.7,127.8,129.5,130.7,131.7,134.4,135.4
PCU31621-31621-               ,PCU31621-31621-               ,"PPI industry data for Footwear manufacturing, not seasonally adjusted",Index base: 2003.12 = 100,2003-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.1,101.1,102.2,103.3,106.3,107.7,108.7,111.8,118.5,122.8,125.7,127.8,129.5,130.7,131.7,134.4,135.4
PCU316210316210               ,PCU316210316210               ,"PPI industry data for Footwear manufacturing, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.7,108.5,111.1,113.0,114.5,115.5,116.4,118.8,119.7
PCU3162103162101              ,PCU3162103162101              ,"PPI industry data for Footwear manufacturing-Rubber and plastics footwear, including athletic footwear, not seasonally adjusted",Index base: 1980.12 = 100,1980-M12,2021-M11,,,,,,101.4,104.0,103.8,105.7,106.3,114.6,117.4,120.7,125.9,127.1,127.8,129.0,130.6,131.8,133.1,134.3,133.6,134.7,135.9,138.0,133.0,135.1,135.0,136.0,136.8,139.6,139.7,142.4,143.4,141.3,141.4,150.1,151.5,151.7,151.7,151.7,151.7,151.9,152.5,153.9
PCU3162103162102              ,PCU3162103162102              ,"PPI industry data for Footwear manufacturing-Men's footwear (size 6 and larger), excluding athletic, not seasonally adjusted",Index base: 1993.12 = 100,1993-M12,2021-M11,,,,,,,,,,,,,,,,,,,100.9,104.7,106.3,109.1,110.3,109.5,109.6,110.5,110.8,112.7,112.9,114.2,115.0,116.7,121.3,124.0,126.3,131.2,139.3,147.2,151.4,154.9,157.5,159.3,160.8,164.3,165.2
PCU3162103162105              ,PCU3162103162105              ,"PPI industry data for Footwear manufacturing-Women's footwear (size 4 and larger), excluding athletic, not seasonally adjusted",Index base: 1993.12 = 100,1993-M12,2021-M11,,,,,,,,,,,,,,,,,,,99.5,100.8,103.2,103.4,103.3,103.5,104.1,104.6,104.3,103.2,101.0,103.2,104.8,107.0,109.2,109.7,110.9,112.9,115.7,119.0,122.8,125.5,128.3,129.8,130.0,134.5,135.9
PCU3162103162109              ,PCU3162103162109              ,"PPI industry data for Footwear manufacturing-Other footwear, excluding rubber and plastic soled footwear, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2020-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4,102.5,104.2,107.3,108.8,110.8,113.2,116.9,
PCU316210316210M              ,PCU316210316210M              ,"PPI industry data for Footwear manufacturing-Miscellaneous receipts, not seasonally adjusted",Index base: 2011.12 = 100,2011-M12,2021-M11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.3,133.2
