index,Index,Label,unit,start,last,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
WDU09110101                   ,WDU09110101                   ,"PPI Commodity data for Pulp, paper, and allied products-Chemical,sulphate,unbleached, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1973-M13,79.2,90.8,72.0,71.4,97.4,88.7,78.6,82.6,92.6,97.2,97.9,97.9,97.9,97.9,97.9,96.8,96.1,100.8,101.0,100.0,100.0,100.0,100.0,118.6,121.1,121.1,144.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09110102                   ,WDU09110102                   ,"PPI Commodity data for Pulp, paper, and allied products-Chemical,sulphate,semi-bleached, not seasonally adjusted, discontinued",Index base: 1967 = 100,1962-M01,1973-M13,,,,,,,,,,,,,,,,89.7,89.3,96.8,100.0,100.0,100.0,100.0,99.8,106.6,109.9,111.4,126.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09110111                   ,WDU09110111                   ,"PPI Commodity data for Pulp, paper, and allied products-Chemical,sulphate,bleached, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1973-M13,71.2,106.7,90.9,84.1,104.2,96.7,96.7,96.7,98.4,101.5,102.9,104.7,104.7,104.2,98.2,95.1,94.2,98.3,100.0,100.0,100.0,100.0,100.0,109.5,111.6,110.5,128.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09110121                   ,WDU09110121                   ,"PPI Commodity data for Pulp, paper, and allied products-Chemical,sulphite,bleached, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1973-M13,82.5,88.6,84.0,83.4,95.2,95.2,95.2,95.2,97.8,102.0,102.8,105.3,105.3,104.5,95.1,94.3,92.2,97.0,100.0,100.0,100.0,100.0,100.0,109.9,113.2,113.2,129.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09110122                   ,WDU09110122                   ,"PPI Commodity data for Pulp, paper, and allied products-Chemical,sulphite,unbleached, not seasonally adjusted, discontinued",Index base: 1967 = 100,1962-M01,1973-M13,,,,,,,,,,,,,,,,96.1,93.9,96.8,100.0,100.0,100.0,100.0,100.0,110.3,115.0,115.0,132.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09110131                   ,WDU09110131                   ,"PPI Commodity data for Pulp, paper, and allied products-Groundwood, not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1973-M13,91.2,95.6,82.0,80.3,109.5,105.9,98.6,94.3,91.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,102.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09110141                   ,WDU09110141                   ,"PPI Commodity data for Pulp, paper, and allied products-Chemical,soda,bleached. . . . . . . . . . . . . . . . . . . ., not seasonally adjusted, discontinued",Index base: 1967 = 100,1947-M01,1969-M13,88.0,97.5,89.9,88.7,103.6,103.6,103.6,103.6,105.0,107.4,108.3,111.0,111.0,110.2,99.0,96.6,90.9,94.8,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU091102                     ,WDU091102                     ,"PPI Commodity data for Pulp, paper, and allied products-Paper-making woodpulp, not seasonally adjusted, discontinued",Index base: 1982 = 100,1973-M12,2006-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.2,76.1,75.7,73.5,68.6,84.6,103.6,107.2,100.0,89.8,106.3,88.2,95.6,120.6,151.6,175.0,162.6,120.1,121.0,102.8,118.5,194.5,130.3,125.8,117.6,113.3,146.0,121.2,108.4,113.9,124.7,129.4,,,,,,,,,,,,,,
WDU09110211                   ,WDU09110211                   ,"PPI Commodity data for Pulp, paper, and allied products-Softwood sulfate, bleached and semibleached, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1999-M13,19.0,28.5,24.2,22.4,27.8,25.8,25.8,25.8,26.2,27.1,27.4,27.9,27.9,27.8,26.2,25.4,25.1,26.2,26.7,26.7,26.7,26.7,26.7,29.2,29.8,29.5,34.2,58.7,75.0,75.4,73.9,68.6,82.3,101.0,105.5,100.0,88.7,111.0,89.8,98.1,124.3,155.1,182.5,173.5,132.9,130.5,111.2,121.9,203.0,138.1,129.5,121.1,110.4,,,,,,,,,,,,,,,,,,,,
WDU09110212                   ,WDU09110212                   ,"PPI Commodity data for Pulp, paper, and allied products-Hardwood sulfate, bleached and semibleached, not seasonally adjusted, discontinued",Index base: 1982 = 100,1973-M12,1999-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3,90.3,87.7,84.3,78.9,95.6,116.3,,100.0,,111.6,93.3,97.0,115.0,147.8,165.3,147.1,97.8,99.8,83.9,105.0,170.0,113.0,113.8,106.3,110.2,,,,,,,,,,,,,,,,,,,,
WDU09110213                   ,WDU09110213                   ,"PPI Commodity data for Pulp, paper, and allied products-Sulfate woodpulp, including soda, not seasonally adjusted, discontinued",Index base: 1999.12 = 100,1999-M12,2006-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.8,94.9,84.9,89.4,98.2,101.9,,,,,,,,,,,,,,
WDU09110215                   ,WDU09110215                   ,"PPI Commodity data for Pulp, paper, and allied products-Bleached softwood sulphate canadian ton, not seasonally adjusted, discontinued",Index base: 1982 = 100,1974-M12,1978-M06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.6,72.6,70.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09110221                   ,WDU09110221                   ,"PPI Commodity data for Pulp, paper, and allied products-Bleached sulphite, not seasonally adjusted, discontinued",Index base: 1982 = 100,1947-M01,1983-M13,20.9,22.5,21.3,21.2,24.1,24.1,24.1,24.1,24.8,25.9,26.1,26.7,26.7,26.5,24.1,23.9,23.4,24.6,25.4,25.4,25.4,25.4,25.4,27.9,28.7,28.7,32.8,57.6,75.8,73.8,70.5,68.1,85.3,106.7,109.4,100.0,84.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09110223                   ,WDU09110223                   ,"PPI Commodity data for Pulp, paper, and allied products-Sulfite and other woodpulp, not seasonally adjusted, discontinued",Index base: 1982.12 = 100,1982-M12,2006-M01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.6,110.0,116.3,124.5,129.5,115.2,94.7,97.4,87.1,,,,,,,,,66.4,66.5,67.1,68.2,,,,,,,,,,,,,,
WDU091103                     ,WDU091103                     ,"PPI Commodity data for Pulp, paper, and allied products-Special alpha and dissolving woodpulp, not seasonally adjusted, discontinued",Index base: 1982 = 100,1973-M12,1997-M04,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,70.9,74.7,76.2,75.3,77.8,90.4,97.5,100.0,96.1,97.5,96.7,96.2,98.6,111.4,132.4,136.7,124.8,118.7,115.0,111.3,155.0,153.0,,,,,,,,,,,,,,,,,,,,,,,
WDU09110301                   ,WDU09110301                   ,"PPI Commodity data for Pulp, paper, and allied products-Dissolving woodpulp 92-94 alpha, not seasonally adjusted, discontinued",Index base: 1982 = 100,1973-M12,1979-M02,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1,72.4,76.7,77.7,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDU09110302                   ,WDU09110302                   ,"PPI Commodity data for Pulp, paper, and allied products-96-98 alpha, not seasonally adjusted, discontinued",Index base: 1982 = 100,1973-M12,1974-M13,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
