,series_id,year,period,value,footnote_codes
336,WDUDUR0110                    ,1947,M13,21.5,
349,WDUDUR0110                    ,1948,M13,23.7,
362,WDUDUR0110                    ,1949,M13,24.2,
375,WDUDUR0110                    ,1950,M13,25.2,
388,WDUDUR0110                    ,1951,M13,27.6,
401,WDUDUR0110                    ,1952,M13,27.7,
414,WDUDUR0110                    ,1953,M13,28.3,
427,WDUDUR0110                    ,1954,M13,28.5,
440,WDUDUR0110                    ,1955,M13,29.7,
453,WDUDUR0110                    ,1956,M13,31.6,
466,WDUDUR0110                    ,1957,M13,32.7,
479,WDUDUR0110                    ,1958,M13,33.0,
492,WDUDUR0110                    ,1959,M13,33.7,
505,WDUDUR0110                    ,1960,M13,33.7,
518,WDUDUR0110                    ,1961,M13,33.6,
531,WDUDUR0110                    ,1962,M13,33.5,
544,WDUDUR0110                    ,1963,M13,33.5,
557,WDUDUR0110                    ,1964,M13,33.9,
570,WDUDUR0110                    ,1965,M13,34.4,
583,WDUDUR0110                    ,1966,M13,35.1,
596,WDUDUR0110                    ,1967,M13,35.8,
609,WDUDUR0110                    ,1968,M13,37.1,
622,WDUDUR0110                    ,1969,M13,38.6,
635,WDUDUR0110                    ,1970,M13,40.3,
648,WDUDUR0110                    ,1971,M13,41.9,
661,WDUDUR0110                    ,1972,M13,43.4,
674,WDUDUR0110                    ,1973,M13,45.8,
687,WDUDUR0110                    ,1974,M13,53.8,
700,WDUDUR0110                    ,1975,M13,59.4,
713,WDUDUR0110                    ,1976,M13,63.1,
726,WDUDUR0110                    ,1977,M13,67.4,
739,WDUDUR0110                    ,1978,M13,73.4,
752,WDUDUR0110                    ,1979,M13,81.3,
765,WDUDUR0110                    ,1980,M13,90.1,
778,WDUDUR0110                    ,1981,M13,96.7,
791,WDUDUR0110                    ,1982,M13,100.0,
804,WDUDUR0110                    ,1983,M13,102.8,
817,WDUDUR0110                    ,1984,M13,105.2,
830,WDUDUR0110                    ,1985,M13,106.6,
843,WDUDUR0110                    ,1986,M13,107.5,
856,WDUDUR0110                    ,1987,M13,109.9,
869,WDUDUR0110                    ,1988,M13,114.7,
882,WDUDUR0110                    ,1989,M13,119.0,
895,WDUDUR0110                    ,1990,M13,121.2,
908,WDUDUR0110                    ,1991,M13,122.9,
921,WDUDUR0110                    ,1992,M13,124.4,
934,WDUDUR0110                    ,1993,M13,126.8,
947,WDUDUR0110                    ,1994,M13,130.0,
960,WDUDUR0110                    ,1995,M13,133.9,
973,WDUDUR0110                    ,1996,M13,133.7,
986,WDUDUR0110                    ,1997,M13,133.9,
999,WDUDUR0110                    ,1998,M13,132.6,
1012,WDUDUR0110                    ,1999,M13,132.2,
1025,WDUDUR0110                    ,2000,M13,133.4,
1038,WDUDUR0110                    ,2001,M13,133.2,
1051,WDUDUR0110                    ,2002,M13,132.9,
1064,WDUDUR0110                    ,2003,M13,133.7,
1077,WDUDUR0110                    ,2004,M13,139.6,
1090,WDUDUR0110                    ,2005,M13,144.1,
1103,WDUDUR0110                    ,2006,M13,151.0,
1116,WDUDUR0110                    ,2007,M13,155.0,
1129,WDUDUR0110                    ,2008,M13,162.0,
1142,WDUDUR0110                    ,2009,M13,158.4,
1155,WDUDUR0110                    ,2010,M13,163.1,
1168,WDUDUR0110                    ,2011,M13,168.9,
1181,WDUDUR0110                    ,2012,M13,169.9,
1194,WDUDUR0110                    ,2013,M13,169.9,
1207,WDUDUR0110                    ,2014,M13,171.8,
1220,WDUDUR0110                    ,2015,M13,170.1,
1233,WDUDUR0110                    ,2016,M13,169.3,
1246,WDUDUR0110                    ,2017,M13,173.4,
